id,prov,ccaa,name
03001,ES-A,ES-VC,l'Atzúbia
03002,ES-A,ES-VC,Agost
03003,ES-A,ES-VC,Agres
03004,ES-A,ES-VC,Aigües
03005,ES-A,ES-VC,Albatera
03006,ES-A,ES-VC,Alcalalí
03007,ES-A,ES-VC,Alcocer de Planes
03008,ES-A,ES-VC,Alcoleja
03009,ES-A,ES-VC,Alcoi / Alcoy
03010,ES-A,ES-VC,Alfafara
03011,ES-A,ES-VC,l'Alfàs del Pi
03012,ES-A,ES-VC,Algorfa
03013,ES-A,ES-VC,Algueña
03014,ES-A,ES-VC,Alacant / Alicante
03015,ES-A,ES-VC,Almoradí
03016,ES-A,ES-VC,Almudaina
03017,ES-A,ES-VC,l'Alqueria d'Asnar
03018,ES-A,ES-VC,Altea
03019,ES-A,ES-VC,Aspe
03020,ES-A,ES-VC,Balones
03021,ES-A,ES-VC,Banyeres de Mariola
03022,ES-A,ES-VC,Benasau
03023,ES-A,ES-VC,Beneixama
03024,ES-A,ES-VC,Benejúzar
03025,ES-A,ES-VC,Benferri
03026,ES-A,ES-VC,Beniarbeig
03027,ES-A,ES-VC,Beniardá
03028,ES-A,ES-VC,Beniarrés
03029,ES-A,ES-VC,Benigembla
03030,ES-A,ES-VC,Benidoleig
03031,ES-A,ES-VC,Benidorm
03032,ES-A,ES-VC,Benifallim
03033,ES-A,ES-VC,Benifato
03034,ES-A,ES-VC,Benijófar
03035,ES-A,ES-VC,Benilloba
03036,ES-A,ES-VC,Benillup
03037,ES-A,ES-VC,Benimantell
03038,ES-A,ES-VC,Benimarfull
03039,ES-A,ES-VC,Benimassot
03040,ES-A,ES-VC,Benimeli
03041,ES-A,ES-VC,Benissa
03042,ES-A,ES-VC,el Poble Nou de Benitatxell / Benitachell
03043,ES-A,ES-VC,Biar
03044,ES-A,ES-VC,Bigastro
03045,ES-A,ES-VC,Bolulla
03046,ES-A,ES-VC,Busot
03047,ES-A,ES-VC,Calp
03048,ES-A,ES-VC,Callosa d'en Sarrià
03049,ES-A,ES-VC,Callosa de Segura
03050,ES-A,ES-VC,el Campello
03051,ES-A,ES-VC,el Camp de Mirra / Campo de Mirra
03052,ES-A,ES-VC,Cañada
03053,ES-A,ES-VC,Castalla
03054,ES-A,ES-VC,Castell de Castells
03055,ES-A,ES-VC,Catral
