id,prov,ccaa,name
02001,ES-AB,ES-CM,Abengibre
02002,ES-AB,ES-CM,Alatoz
02003,ES-AB,ES-CM,Albacete
02004,ES-AB,ES-CM,Albatana
02005,ES-AB,ES-CM,Alborea
02006,ES-AB,ES-CM,Alcadozo
02007,ES-AB,ES-CM,Alcalá del Júcar
02008,ES-AB,ES-CM,Alcaraz
02009,ES-AB,ES-CM,Almansa
02010,ES-AB,ES-CM,Alpera
02011,ES-AB,ES-CM,Ayna
02012,ES-AB,ES-CM,Balazote
02013,ES-AB,ES-CM,Balsa de Ves
02014,ES-AB,ES-CM,El Ballestero
02015,ES-AB,ES-CM,Barrax
02016,ES-AB,ES-CM,Bienservida
02017,ES-AB,ES-CM,Bogarra
02018,ES-AB,ES-CM,Bonete
02019,ES-AB,ES-CM,El Bonillo
02020,ES-AB,ES-CM,Carcelén
02021,ES-AB,ES-CM,Casas de Juan Núñez
02022,ES-AB,ES-CM,Casas de Lázaro
02023,ES-AB,ES-CM,Casas de Ves
02024,ES-AB,ES-CM,Casas-Ibáñez
02025,ES-AB,ES-CM,Caudete
02026,ES-AB,ES-CM,Cenizate
02027,ES-AB,ES-CM,Corral-Rubio
02028,ES-AB,ES-CM,Cotillas
02029,ES-AB,ES-CM,Chinchilla de Monte-Aragón
02030,ES-AB,ES-CM,Elche de la Sierra
02031,ES-AB,ES-CM,Férez
02032,ES-AB,ES-CM,Fuensanta
02033,ES-AB,ES-CM,Fuente-Álamo
02034,ES-AB,ES-CM,Fuentealbilla
02035,ES-AB,ES-CM,La Gineta
02036,ES-AB,ES-CM,Golosalvo
02037,ES-AB,ES-CM,Hellín
02038,ES-AB,ES-CM,La Herrera
02039,ES-AB,ES-CM,Higueruela
02040,ES-AB,ES-CM,Hoya-Gonzalo
02041,ES-AB,ES-CM,Jorquera
02042,ES-AB,ES-CM,Letur
02043,ES-AB,ES-CM,Lezuza
02044,ES-AB,ES-CM,Liétor
02045,ES-AB,ES-CM,Madrigueras
02046,ES-AB,ES-CM,Mahora
02047,ES-AB,ES-CM,Masegoso
02048,ES-AB,ES-CM,Minaya
02049,ES-AB,ES-CM,Molinicos
02050,ES-AB,ES-CM,Montalvos
02051,ES-AB,ES-CM,Montealegre del Castillo
02052,ES-AB,ES-CM,Motilleja
02053,ES-AB,ES-CM,Munera
02054,ES-AB,ES-CM,Navas de Jorquera
02055,ES-AB,ES-CM,Nerpio
02056,ES-AB,ES-CM,Ontur
02057,ES-AB,ES-CM,Ossa de Montiel
02058,ES-AB,ES-CM,Paterna del Madera
02059,ES-AB,ES-CM,Peñascosa
02060,ES-AB,ES-CM,Peñas de San Pedro
02061,ES-AB,ES-CM,Pétrola
02062,ES-AB,ES-CM,Povedilla
02063,ES-AB,ES-CM,Pozohondo
02064,ES-AB,ES-CM,Pozo-Lorente
02065,ES-AB,ES-CM,Pozuelo
02066,ES-AB,ES-CM,La Recueja
02067,ES-AB,ES-CM,Riópar
02068,ES-AB,ES-CM,Robledo
02069,ES-AB,ES-CM,La Roda
02070,ES-AB,ES-CM,Salobre
02071,ES-AB,ES-CM,San Pedro
02072,ES-AB,ES-CM,Socovos
02073,ES-AB,ES-CM,Tarazona de la Mancha
02074,ES-AB,ES-CM,Tobarra
02075,ES-AB,ES-CM,Valdeganga
02076,ES-AB,ES-CM,Vianos
02077,ES-AB,ES-CM,Villa de Ves
02078,ES-AB,ES-CM,Villalgordo del Júcar
02079,ES-AB,ES-CM,Villamalea
02080,ES-AB,ES-CM,Villapalacios
02081,ES-AB,ES-CM,Villarrobledo
02082,ES-AB,ES-CM,Villatoya
02083,ES-AB,ES-CM,Villavaliente
02084,ES-AB,ES-CM,Villaverde de Guadalimar
02085,ES-AB,ES-CM,Viveros
02086,ES-AB,ES-CM,Yeste
02901,ES-AB,ES-CM,Pozo Cañada
