id,prov,ccaa,name
04001,ES-AL,ES-AN,Abla
04002,ES-AL,ES-AN,Abrucena
04003,ES-AL,ES-AN,Adra
04004,ES-AL,ES-AN,Albánchez
04005,ES-AL,ES-AN,Alboloduy
04006,ES-AL,ES-AN,Albox
04007,ES-AL,ES-AN,Alcolea
04008,ES-AL,ES-AN,Alcóntar
04009,ES-AL,ES-AN,Alcudia de Monteagud
04010,ES-AL,ES-AN,Alhabia
04011,ES-AL,ES-AN,Alhama de Almería
04012,ES-AL,ES-AN,Alicún
04013,ES-AL,ES-AN,Almería
04014,ES-AL,ES-AN,Almócita
04015,ES-AL,ES-AN,Alsodux
04016,ES-AL,ES-AN,Antas
04017,ES-AL,ES-AN,Arboleas
04018,ES-AL,ES-AN,Armuña de Almanzora
04019,ES-AL,ES-AN,Bacares
04020,ES-AL,ES-AN,Bayárcal
04021,ES-AL,ES-AN,Bayarque
04022,ES-AL,ES-AN,Bédar
04023,ES-AL,ES-AN,Beires
04024,ES-AL,ES-AN,Benahadux
04026,ES-AL,ES-AN,Benitagla
04027,ES-AL,ES-AN,Benizalón
04028,ES-AL,ES-AN,Bentarique
04029,ES-AL,ES-AN,Berja
04030,ES-AL,ES-AN,Canjáyar
04031,ES-AL,ES-AN,Cantoria
04032,ES-AL,ES-AN,Carboneras
04033,ES-AL,ES-AN,Castro de Filabres
04034,ES-AL,ES-AN,Cóbdar
04035,ES-AL,ES-AN,Cuevas del Almanzora
04036,ES-AL,ES-AN,Chercos
04037,ES-AL,ES-AN,Chirivel
04038,ES-AL,ES-AN,Dalías
04041,ES-AL,ES-AN,Enix
04043,ES-AL,ES-AN,Felix
04044,ES-AL,ES-AN,Fines
04045,ES-AL,ES-AN,Fiñana
04046,ES-AL,ES-AN,Fondón
04047,ES-AL,ES-AN,Gádor
04048,ES-AL,ES-AN,Los Gallardos
04049,ES-AL,ES-AN,Garrucha
04050,ES-AL,ES-AN,Gérgal
04051,ES-AL,ES-AN,Huécija
04052,ES-AL,ES-AN,Huércal de Almería
04053,ES-AL,ES-AN,Huércal-Overa
04054,ES-AL,ES-AN,Íllar
04055,ES-AL,ES-AN,Instinción
04056,ES-AL,ES-AN,Laroya
04057,ES-AL,ES-AN,Láujar de Andarax
04058,ES-AL,ES-AN,Líjar
04059,ES-AL,ES-AN,Lubrín
04060,ES-AL,ES-AN,Lucainena de las Torres
04061,ES-AL,ES-AN,Lúcar
04062,ES-AL,ES-AN,Macael
04063,ES-AL,ES-AN,María
04064,ES-AL,ES-AN,Mojácar
04065,ES-AL,ES-AN,Nacimiento
04066,ES-AL,ES-AN,Níjar
04067,ES-AL,ES-AN,Ohanes
04068,ES-AL,ES-AN,Olula de Castro
04069,ES-AL,ES-AN,Olula del Río
04070,ES-AL,ES-AN,Oria
04071,ES-AL,ES-AN,Padules
04072,ES-AL,ES-AN,Partaloa
04073,ES-AL,ES-AN,Paterna del Río
04074,ES-AL,ES-AN,Pechina
04075,ES-AL,ES-AN,Pulpí
04076,ES-AL,ES-AN,Purchena
04077,ES-AL,ES-AN,Rágol
04078,ES-AL,ES-AN,Rioja
04079,ES-AL,ES-AN,Roquetas de Mar
04080,ES-AL,ES-AN,Santa Cruz de Marchena
04081,ES-AL,ES-AN,Santa Fe de Mondújar
04082,ES-AL,ES-AN,Senés
04083,ES-AL,ES-AN,Serón
04084,ES-AL,ES-AN,Sierro
04085,ES-AL,ES-AN,Somontín
04086,ES-AL,ES-AN,Sorbas
04087,ES-AL,ES-AN,Suflí
04088,ES-AL,ES-AN,Tabernas
04089,ES-AL,ES-AN,Taberno
04090,ES-AL,ES-AN,Tahal
04091,ES-AL,ES-AN,Terque
04092,ES-AL,ES-AN,Tíjola
04093,ES-AL,ES-AN,Turre
04094,ES-AL,ES-AN,Turrillas
04095,ES-AL,ES-AN,Uleila del Campo
04096,ES-AL,ES-AN,Urrácal
04097,ES-AL,ES-AN,Velefique
04098,ES-AL,ES-AN,Vélez-Blanco
04099,ES-AL,ES-AN,Vélez-Rubio
04100,ES-AL,ES-AN,Vera
04101,ES-AL,ES-AN,Viator
04102,ES-AL,ES-AN,Vícar
04103,ES-AL,ES-AN,Zurgena
04901,ES-AL,ES-AN,Las Tres Villas
04902,ES-AL,ES-AN,El Ejido
04903,ES-AL,ES-AN,La Mojonera
04904,ES-AL,ES-AN,Balanegra
