id;prov;ccaa;name
-10985742;ES-HU;ES-AR;Comunero de Ansó y Hecho
22001;ES-HU;ES-AR;Abiego
22002;ES-HU;ES-AR;Abizanda
22003;ES-HU;ES-AR;Adahuesca
22004;ES-HU;ES-AR;Agüero
22006;ES-HU;ES-AR;Aísa
22007;ES-HU;ES-AR;Albalate de Cinca
22008;ES-HU;ES-AR;Albalatillo
22009;ES-HU;ES-AR;Albelda
22011;ES-HU;ES-AR;Albero Alto
22012;ES-HU;ES-AR;Albero Bajo
22013;ES-HU;ES-AR;Alberuela de Tubo
22014;ES-HU;ES-AR;Alcalá de Gurrea
22015;ES-HU;ES-AR;Alcalá del Obispo
22016;ES-HU;ES-AR;Alcampell / el Campell
22017;ES-HU;ES-AR;Alcolea de Cinca
22018;ES-HU;ES-AR;Alcubierre
22019;ES-HU;ES-AR;Alerre
22020;ES-HU;ES-AR;Alfántega
22021;ES-HU;ES-AR;Almudévar
22022;ES-HU;ES-AR;Almunia de San Juan
22023;ES-HU;ES-AR;Almuniente
22024;ES-HU;ES-AR;Alquézar
22025;ES-HU;ES-AR;Altorricón / el Torricó
22027;ES-HU;ES-AR;Angüés
22028;ES-HU;ES-AR;Ansó
22029;ES-HU;ES-AR;Antillón
22032;ES-HU;ES-AR;Aragüés del Puerto
22035;ES-HU;ES-AR;Arén
22036;ES-HU;ES-AR;Argavieso
22037;ES-HU;ES-AR;Arguis
22039;ES-HU;ES-AR;Ayerbe
22040;ES-HU;ES-AR;Azanuy-Alins
22041;ES-HU;ES-AR;Azara
22042;ES-HU;ES-AR;Azlor
22043;ES-HU;ES-AR;Baells
22044;ES-HU;ES-AR;Bailo
22045;ES-HU;ES-AR;Baldellou
22046;ES-HU;ES-AR;Ballobar
22047;ES-HU;ES-AR;Banastás
22048;ES-HU;ES-AR;Barbastro
22049;ES-HU;ES-AR;Barbués
22050;ES-HU;ES-AR;Barbuñales
22051;ES-HU;ES-AR;Bárcabo
22052;ES-HU;ES-AR;Belver de Cinca
22053;ES-HU;ES-AR;Benabarre
22054;ES-HU;ES-AR;Benasque
22055;ES-HU;ES-AR;Berbegal
22057;ES-HU;ES-AR;Bielsa
22058;ES-HU;ES-AR;Bierge
22059;ES-HU;ES-AR;Biescas
22060;ES-HU;ES-AR;Binaced
22061;ES-HU;ES-AR;Binéfar
22062;ES-HU;ES-AR;Bisaurri
22063;ES-HU;ES-AR;Biscarrués
