id;prov;ccaa;name
33001;ES-O;ES-AS;Allande
33002;ES-O;ES-AS;Aller
33003;ES-O;ES-AS;Amieva
33004;ES-O;ES-AS;Avilés
33005;ES-O;ES-AS;Belmonte de Miranda
33006;ES-O;ES-AS;Bimenes
33007;ES-O;ES-AS;Boal
33008;ES-O;ES-AS;Cabrales
33009;ES-O;ES-AS;Cabranes
33010;ES-O;ES-AS;Candamo
33011;ES-O;ES-AS;Cangas del Narcea
33012;ES-O;ES-AS;Cangas de Onís
33013;ES-O;ES-AS;Caravia
33014;ES-O;ES-AS;Carreño
33015;ES-O;ES-AS;Caso
33017;ES-O;ES-AS;Castropol
33018;ES-O;ES-AS;Coaña
33019;ES-O;ES-AS;Colunga
33020;ES-O;ES-AS;Corvera de Asturias
33021;ES-O;ES-AS;Cudillero
33022;ES-O;ES-AS;Degaña
33023;ES-O;ES-AS;El Franco
33024;ES-O;ES-AS;Gijón/Xixón
33026;ES-O;ES-AS;Grau/Grado
33027;ES-O;ES-AS;Grandas de Salime
33028;ES-O;ES-AS;Ibias
33029;ES-O;ES-AS;Illano
33030;ES-O;ES-AS;Illas
33031;ES-O;ES-AS;Llangréu/Langreo
33032;ES-O;ES-AS;Laviana
33033;ES-O;ES-AS;Lena
33034;ES-O;ES-AS;Valdés
33035;ES-O;ES-AS;Llanera
33036;ES-O;ES-AS;Llanes
33037;ES-O;ES-AS;Mieres
33038;ES-O;ES-AS;Morcín
33040;ES-O;ES-AS;Nava
33041;ES-O;ES-AS;Navia
33042;ES-O;ES-AS;Noreña
33043;ES-O;ES-AS;Onís
33044;ES-O;ES-AS;Oviedo
33045;ES-O;ES-AS;Parres
33046;ES-O;ES-AS;Peñamellera Alta
33047;ES-O;ES-AS;Peñamellera Baja
33048;ES-O;ES-AS;Pesoz
33049;ES-O;ES-AS;Piloña
33050;ES-O;ES-AS;Ponga
33051;ES-O;ES-AS;Pravia
33052;ES-O;ES-AS;Proaza
33053;ES-O;ES-AS;Quirós
33054;ES-O;ES-AS;Las Regueras
33055;ES-O;ES-AS;Ribadedeva
33056;ES-O;ES-AS;Ribeseya
33057;ES-O;ES-AS;Ribera de Arriba
33058;ES-O;ES-AS;Riosa
33059;ES-O;ES-AS;Salas
33060;ES-O;ES-AS;Samartín del Rei Aurelio
33061;ES-O;ES-AS;San Martín de Oscos
33062;ES-O;ES-AS;Santa Eulalia de Oscos
33063;ES-O;ES-AS;San Tirso de Abres
33064;ES-O;ES-AS;Santo Adriano
33065;ES-O;ES-AS;Sariego
33066;ES-O;ES-AS;Siero
33067;ES-O;ES-AS;Sobrescobio
33068;ES-O;ES-AS;Somiedo
33069;ES-O;ES-AS;Soto del Barco
33070;ES-O;ES-AS;Tapia de Casariego
33071;ES-O;ES-AS;Taramundi
33072;ES-O;ES-AS;Teverga
33073;ES-O;ES-AS;Tineo
33074;ES-O;ES-AS;Vegadeo
33075;ES-O;ES-AS;Villanueva de Oscos
33076;ES-O;ES-AS;Villaviciosa
33077;ES-O;ES-AS;Villayón
33078;ES-O;ES-AS;Yernes y Tameza
