id,prov,ccaa,name
06001,ES-BA,ES-EX,Acedera
06002,ES-BA,ES-EX,Aceuchal
06003,ES-BA,ES-EX,Ahillones
06004,ES-BA,ES-EX,Alange
06005,ES-BA,ES-EX,La Albuera
06006,ES-BA,ES-EX,Alburquerque
06007,ES-BA,ES-EX,Alconchel
06008,ES-BA,ES-EX,Alconera
06009,ES-BA,ES-EX,Aljucén
06010,ES-BA,ES-EX,Almendral
06011,ES-BA,ES-EX,Almendralejo
06012,ES-BA,ES-EX,Arroyo de San Serván
06013,ES-BA,ES-EX,Atalaya
06014,ES-BA,ES-EX,Azuaga
06015,ES-BA,ES-EX,Badajoz
06016,ES-BA,ES-EX,Barcarrota
06017,ES-BA,ES-EX,Baterno
06018,ES-BA,ES-EX,Benquerencia de la Serena
06019,ES-BA,ES-EX,Berlanga
06020,ES-BA,ES-EX,Bienvenida
06021,ES-BA,ES-EX,Bodonal de la Sierra
06022,ES-BA,ES-EX,Burguillos del Cerro
06023,ES-BA,ES-EX,Cabeza del Buey
06024,ES-BA,ES-EX,Cabeza la Vaca
06025,ES-BA,ES-EX,Calamonte
06026,ES-BA,ES-EX,Calera de León
06027,ES-BA,ES-EX,Calzadilla de los Barros
06028,ES-BA,ES-EX,Campanario
06029,ES-BA,ES-EX,Campillo de Llerena
06030,ES-BA,ES-EX,Capilla
06031,ES-BA,ES-EX,Carmonita
06032,ES-BA,ES-EX,El Carrascalejo
06033,ES-BA,ES-EX,Casas de Don Pedro
06034,ES-BA,ES-EX,Casas de Reina
06035,ES-BA,ES-EX,Castilblanco
06036,ES-BA,ES-EX,Castuera
06037,ES-BA,ES-EX,La Codosera
06038,ES-BA,ES-EX,Cordobilla de Lácara
06039,ES-BA,ES-EX,La Coronada
06040,ES-BA,ES-EX,Corte de Peleas
06041,ES-BA,ES-EX,Cristina
06042,ES-BA,ES-EX,Cheles
06043,ES-BA,ES-EX,Don Álvaro
06044,ES-BA,ES-EX,Don Benito
06045,ES-BA,ES-EX,Entrín Bajo
06046,ES-BA,ES-EX,Esparragalejo
06047,ES-BA,ES-EX,Esparragosa de la Serena
06048,ES-BA,ES-EX,Esparragosa de Lares
06049,ES-BA,ES-EX,Feria
06050,ES-BA,ES-EX,Fregenal de la Sierra
06051,ES-BA,ES-EX,Fuenlabrada de los Montes
06052,ES-BA,ES-EX,Fuente de Cantos
06053,ES-BA,ES-EX,Fuente del Arco
06054,ES-BA,ES-EX,Fuente del Maestre
06055,ES-BA,ES-EX,Fuentes de León
06056,ES-BA,ES-EX,Garbayuela
06057,ES-BA,ES-EX,Garlitos
06058,ES-BA,ES-EX,La Garrovilla
06059,ES-BA,ES-EX,Granja de Torrehermosa
06060,ES-BA,ES-EX,Guareña
06061,ES-BA,ES-EX,La Haba
06062,ES-BA,ES-EX,Helechosa de los Montes
06063,ES-BA,ES-EX,Herrera del Duque
06064,ES-BA,ES-EX,Higuera de la Serena
06065,ES-BA,ES-EX,Higuera de Llerena
06066,ES-BA,ES-EX,Higuera de Vargas
06067,ES-BA,ES-EX,Higuera la Real
06068,ES-BA,ES-EX,Hinojosa del Valle
