id,prov,ccaa,name
48001,ES-BI,ES-PV,Abadiño
48002,ES-BI,ES-PV,Abanto y Ciérvana-Abanto Zierbena
48003,ES-BI,ES-PV,Amorebieta-Etxano
48004,ES-BI,ES-PV,Amoroto
48005,ES-BI,ES-PV,Arakaldo
48006,ES-BI,ES-PV,Arantzazu
48007,ES-BI,ES-PV,Munitibar-Arbatzegi Gerrikaitz
48008,ES-BI,ES-PV,Artzentales
48009,ES-BI,ES-PV,Arrankudiaga
48010,ES-BI,ES-PV,Arrieta
48011,ES-BI,ES-PV,Arrigorriaga
48012,ES-BI,ES-PV,Bakio
48013,ES-BI,ES-PV,Barakaldo
48014,ES-BI,ES-PV,Barrika
48015,ES-BI,ES-PV,Basauri
48016,ES-BI,ES-PV,Berango
48017,ES-BI,ES-PV,Bermeo
48018,ES-BI,ES-PV,Berriatua
48019,ES-BI,ES-PV,Berriz
48020,ES-BI,ES-PV,Bilbao
48021,ES-BI,ES-PV,Busturia
48022,ES-BI,ES-PV,Karrantza Harana / Valle de Carranza
48023,ES-BI,ES-PV,Artea
48024,ES-BI,ES-PV,Zeanuri
48025,ES-BI,ES-PV,Zeberio
48026,ES-BI,ES-PV,Dima
48027,ES-BI,ES-PV,Durango
48028,ES-BI,ES-PV,Ea
48029,ES-BI,ES-PV,Etxebarri
48030,ES-BI,ES-PV,Etxebarria
48031,ES-BI,ES-PV,Elantxobe
48032,ES-BI,ES-PV,Elorrio
48033,ES-BI,ES-PV,Ereño
48034,ES-BI,ES-PV,Ermua
48035,ES-BI,ES-PV,Fruiz
48036,ES-BI,ES-PV,Galdakao
48037,ES-BI,ES-PV,Galdames
48038,ES-BI,ES-PV,Gamiz-Fika
48039,ES-BI,ES-PV,Garai
48040,ES-BI,ES-PV,Gatika
48041,ES-BI,ES-PV,Gautegiz Arteaga
48042,ES-BI,ES-PV,Gordexola
48043,ES-BI,ES-PV,Gorliz
48044,ES-BI,ES-PV,Getxo
48045,ES-BI,ES-PV,Güeñes
48046,ES-BI,ES-PV,Gernika-Lumo
48047,ES-BI,ES-PV,Gizaburuaga
48048,ES-BI,ES-PV,Ibarrangelu
48049,ES-BI,ES-PV,Ispaster
48050,ES-BI,ES-PV,Izurtza
48051,ES-BI,ES-PV,Lanestosa
48052,ES-BI,ES-PV,Larrabetzu
48053,ES-BI,ES-PV,Laukiz
48054,ES-BI,ES-PV,Leioa
48055,ES-BI,ES-PV,Lemoa
48056,ES-BI,ES-PV,Lemoiz
48057,ES-BI,ES-PV,Lekeitio
48058,ES-BI,ES-PV,Mallabia
48059,ES-BI,ES-PV,Mañaria
48060,ES-BI,ES-PV,Markina-Xemein
48061,ES-BI,ES-PV,Maruri-Jatabe
48062,ES-BI,ES-PV,Mendata
48063,ES-BI,ES-PV,Mendexa
48064,ES-BI,ES-PV,Meñaka
48065,ES-BI,ES-PV,Ugao-Miraballes
48066,ES-BI,ES-PV,Morga
48067,ES-BI,ES-PV,Muxika
48068,ES-BI,ES-PV,Mundaka
48069,ES-BI,ES-PV,Mungia
48070,ES-BI,ES-PV,Aulesti
48071,ES-BI,ES-PV,Muskiz
48072,ES-BI,ES-PV,Otxandio
48073,ES-BI,ES-PV,Ondarroa
48074,ES-BI,ES-PV,Urduña/Orduña
48075,ES-BI,ES-PV,Orozko
48076,ES-BI,ES-PV,Sukarrieta
48077,ES-BI,ES-PV,Plentzia
48078,ES-BI,ES-PV,Portugalete
48079,ES-BI,ES-PV,Errigoiti
48080,ES-BI,ES-PV,Valle de Trápaga-Trapagaran
48081,ES-BI,ES-PV,Lezama
48082,ES-BI,ES-PV,Santurtzi
48083,ES-BI,ES-PV,Ortuella
48084,ES-BI,ES-PV,Sestao
48085,ES-BI,ES-PV,Sopelana
48086,ES-BI,ES-PV,Sopuerta
48087,ES-BI,ES-PV,Trucios-Turtzioz
48088,ES-BI,ES-PV,Ubide
48089,ES-BI,ES-PV,Urduliz
48090,ES-BI,ES-PV,Balmaseda
48091,ES-BI,ES-PV,Atxondo
48092,ES-BI,ES-PV,Bedia
48093,ES-BI,ES-PV,Areatza
48094,ES-BI,ES-PV,Igorre
48095,ES-BI,ES-PV,Zaldibar
48096,ES-BI,ES-PV,Zalla
48097,ES-BI,ES-PV,Zaratamo
48901,ES-BI,ES-PV,Derio
48902,ES-BI,ES-PV,Erandio
48903,ES-BI,ES-PV,Loiu
48904,ES-BI,ES-PV,Sondika
48905,ES-BI,ES-PV,Zamudio
48906,ES-BI,ES-PV,Forua
48907,ES-BI,ES-PV,Kortezubi
48908,ES-BI,ES-PV,Murueta
48909,ES-BI,ES-PV,Nabarniz
48910,ES-BI,ES-PV,Iurreta
48911,ES-BI,ES-PV,Ajangiz
48912,ES-BI,ES-PV,Alonsotegi
48913,ES-BI,ES-PV,Zierbena
48914,ES-BI,ES-PV,Arratzu
48915,ES-BI,ES-PV,Ziortza-Bolibar
