id,prov,ccaa,name
11001,ES-CA,ES-AN,Alcalá de los Gazules
11002,ES-CA,ES-AN,Alcalá del Valle
11003,ES-CA,ES-AN,Algar
11004,ES-CA,ES-AN,Algeciras
11005,ES-CA,ES-AN,Algodonales
11006,ES-CA,ES-AN,Arcos de la Frontera
11007,ES-CA,ES-AN,Barbate
11008,ES-CA,ES-AN,Los Barrios
11009,ES-CA,ES-AN,Benaocaz
11010,ES-CA,ES-AN,Bornos
11011,ES-CA,ES-AN,El Bosque
11012,ES-CA,ES-AN,Cádiz
11013,ES-CA,ES-AN,Castellar de la Frontera
11014,ES-CA,ES-AN,Conil de la Frontera
11015,ES-CA,ES-AN,Chiclana de la Frontera
11016,ES-CA,ES-AN,Chipiona
11017,ES-CA,ES-AN,Espera
11018,ES-CA,ES-AN,El Gastor
11019,ES-CA,ES-AN,Grazalema
11020,ES-CA,ES-AN,Jerez de la Frontera
11021,ES-CA,ES-AN,Jimena de la Frontera
11022,ES-CA,ES-AN,La Línea de la Concepción
11023,ES-CA,ES-AN,Medina Sidonia
11024,ES-CA,ES-AN,Olvera
11025,ES-CA,ES-AN,Paterna de Rivera
11026,ES-CA,ES-AN,Prado del Rey
11027,ES-CA,ES-AN,El Puerto de Santa María
11028,ES-CA,ES-AN,Puerto Real
11029,ES-CA,ES-AN,Puerto Serrano
11030,ES-CA,ES-AN,Rota
11031,ES-CA,ES-AN,San Fernando
11032,ES-CA,ES-AN,Sanlúcar de Barrameda
11033,ES-CA,ES-AN,San Roque
11034,ES-CA,ES-AN,Setenil de las Bodegas
11035,ES-CA,ES-AN,Tarifa
11036,ES-CA,ES-AN,Torre Alháquime
11037,ES-CA,ES-AN,Trebujena
11038,ES-CA,ES-AN,Ubrique
11039,ES-CA,ES-AN,Vejer de la Frontera
11040,ES-CA,ES-AN,Villaluenga del Rosario
11041,ES-CA,ES-AN,Villamartín
11042,ES-CA,ES-AN,Zahara
11901,ES-CA,ES-AN,Benalup-Casas Viejas
11902,ES-CA,ES-AN,San José del Valle
11903,ES-CA,ES-AN,San Martín del Tesorillo
