id;prov;ccaa;name
-340042;ES-S;ES-CB;Campoo-Cabuérniga
39001;ES-S;ES-CB;Alfoz de Lloredo
39002;ES-S;ES-CB;Ampuero
39003;ES-S;ES-CB;Anievas
39004;ES-S;ES-CB;Arenas de Iguña
39005;ES-S;ES-CB;Argoños
39006;ES-S;ES-CB;Arnuero
39007;ES-S;ES-CB;Arredondo
39008;ES-S;ES-CB;El Astillero
39009;ES-S;ES-CB;Bárcena de Cicero
39010;ES-S;ES-CB;Bárcena de Pie de Concha
39011;ES-S;ES-CB;Bareyo
39012;ES-S;ES-CB;Cabezón de la Sal
39013;ES-S;ES-CB;Cabezón de Liébana
39014;ES-S;ES-CB;Cabuérniga
39015;ES-S;ES-CB;Camaleño
39016;ES-S;ES-CB;Camargo
39017;ES-S;ES-CB;Campoo de Yuso
39018;ES-S;ES-CB;Cartes
39019;ES-S;ES-CB;Castañeda
39020;ES-S;ES-CB;Castro-Urdiales
39021;ES-S;ES-CB;Cieza
39022;ES-S;ES-CB;Cillorigo de Liébana
39023;ES-S;ES-CB;Colindres
39024;ES-S;ES-CB;Comillas
39025;ES-S;ES-CB;Los Corrales de Buelna
39026;ES-S;ES-CB;Corvera de Toranzo
39027;ES-S;ES-CB;Campoo de Enmedio
39028;ES-S;ES-CB;Entrambasaguas
39029;ES-S;ES-CB;Escalante
39030;ES-S;ES-CB;Guriezo
39031;ES-S;ES-CB;Hazas de Cesto
39032;ES-S;ES-CB;Hermandad de Campoo de Suso
39033;ES-S;ES-CB;Herrerías
39034;ES-S;ES-CB;Lamasón
39035;ES-S;ES-CB;Laredo
39036;ES-S;ES-CB;Liendo
39037;ES-S;ES-CB;Liérganes
39038;ES-S;ES-CB;Limpias
39039;ES-S;ES-CB;Luena
39040;ES-S;ES-CB;Marina de Cudeyo
39041;ES-S;ES-CB;Mazcuerras
39042;ES-S;ES-CB;Medio Cudeyo
39043;ES-S;ES-CB;Meruelo
39044;ES-S;ES-CB;Miengo
39045;ES-S;ES-CB;Miera
39046;ES-S;ES-CB;Molledo
39047;ES-S;ES-CB;Noja
39048;ES-S;ES-CB;Penagos
39049;ES-S;ES-CB;Peñarrubia
39050;ES-S;ES-CB;Pesaguero
39051;ES-S;ES-CB;Pesquera
39052;ES-S;ES-CB;Piélagos
39053;ES-S;ES-CB;Polaciones
39054;ES-S;ES-CB;Polanco
39055;ES-S;ES-CB;Potes
39056;ES-S;ES-CB;Puente Viesgo
39057;ES-S;ES-CB;Ramales de la Victoria
39058;ES-S;ES-CB;Rasines
39059;ES-S;ES-CB;Reinosa
39060;ES-S;ES-CB;Reocín
39061;ES-S;ES-CB;Ribamontán al Mar
39062;ES-S;ES-CB;Ribamontán al Monte
39063;ES-S;ES-CB;Rionansa
39064;ES-S;ES-CB;Riotuerto
39065;ES-S;ES-CB;Las Rozas de Valdearroyo
39066;ES-S;ES-CB;Ruente
39067;ES-S;ES-CB;Ruesga
39068;ES-S;ES-CB;Ruiloba
39069;ES-S;ES-CB;San Felices de Buelna
39070;ES-S;ES-CB;San Miguel de Aguayo
39071;ES-S;ES-CB;San Pedro del Romeral
39072;ES-S;ES-CB;San Roque de Riomiera
39073;ES-S;ES-CB;Santa Cruz de Bezana
39074;ES-S;ES-CB;Santa María de Cayón
39075;ES-S;ES-CB;Santander
39076;ES-S;ES-CB;Santillana del Mar
39077;ES-S;ES-CB;Santiurde de Reinosa
39078;ES-S;ES-CB;Santiurde de Toranzo
39079;ES-S;ES-CB;Santoña
39080;ES-S;ES-CB;San Vicente de la Barquera
39081;ES-S;ES-CB;Saro
39082;ES-S;ES-CB;Selaya
39083;ES-S;ES-CB;Soba
39084;ES-S;ES-CB;Solórzano
39085;ES-S;ES-CB;Suances
39086;ES-S;ES-CB;Los Tojos
39087;ES-S;ES-CB;Torrelavega
39088;ES-S;ES-CB;Tresviso
39089;ES-S;ES-CB;Tudanca
39090;ES-S;ES-CB;Udías
39091;ES-S;ES-CB;Valdáliga
39092;ES-S;ES-CB;Valdeolea
39093;ES-S;ES-CB;Valdeprado del Río
39094;ES-S;ES-CB;Valderredible
39095;ES-S;ES-CB;Val de San Vicente
39096;ES-S;ES-CB;Vega de Liébana
39097;ES-S;ES-CB;Vega de Pas
39098;ES-S;ES-CB;Villacarriedo
39099;ES-S;ES-CB;Villaescusa
39100;ES-S;ES-CB;Villafufre
39101;ES-S;ES-CB;Valle de Villaverde
39102;ES-S;ES-CB;Voto
