id,prov,ccaa,name
10001,ES-CC,ES-EX,Abadía
10002,ES-CC,ES-EX,Abertura
10003,ES-CC,ES-EX,Acebo
10004,ES-CC,ES-EX,Acehúche
10005,ES-CC,ES-EX,Aceituna
10006,ES-CC,ES-EX,Ahigal
10007,ES-CC,ES-EX,Albalá
10008,ES-CC,ES-EX,Alcántara
10009,ES-CC,ES-EX,Alcollarín
10010,ES-CC,ES-EX,Alcuéscar
10011,ES-CC,ES-EX,Aldeacentenera
10012,ES-CC,ES-EX,Aldea del Cano
10013,ES-CC,ES-EX,La Aldea del Obispo
10014,ES-CC,ES-EX,Aldeanueva de la Vera
10015,ES-CC,ES-EX,Aldeanueva del Camino
10016,ES-CC,ES-EX,Aldehuela de Jerte
10017,ES-CC,ES-EX,Alía
10018,ES-CC,ES-EX,Aliseda
10019,ES-CC,ES-EX,Almaraz
10020,ES-CC,ES-EX,Almoharín
10021,ES-CC,ES-EX,Arroyo de la Luz
10022,ES-CC,ES-EX,Arroyomolinos de la Vera
10023,ES-CC,ES-EX,Arroyomolinos
10024,ES-CC,ES-EX,Baños de Montemayor
10025,ES-CC,ES-EX,Barrado
10026,ES-CC,ES-EX,Belvís de Monroy
10027,ES-CC,ES-EX,Benquerencia
10028,ES-CC,ES-EX,Berrocalejo
10029,ES-CC,ES-EX,Berzocana
10030,ES-CC,ES-EX,Bohonal de Ibor
10031,ES-CC,ES-EX,Botija
10032,ES-CC,ES-EX,Brozas
10033,ES-CC,ES-EX,Cabañas del Castillo
10034,ES-CC,ES-EX,Cabezabellosa
10035,ES-CC,ES-EX,Cabezuela del Valle
10036,ES-CC,ES-EX,Cabrero
10037,ES-CC,ES-EX,Cáceres
10038,ES-CC,ES-EX,Cachorrilla
10039,ES-CC,ES-EX,Cadalso
10040,ES-CC,ES-EX,Calzadilla
10041,ES-CC,ES-EX,Caminomorisco
10042,ES-CC,ES-EX,Campillo de Deleitosa
10043,ES-CC,ES-EX,Campo Lugar
10044,ES-CC,ES-EX,Cañamero
10045,ES-CC,ES-EX,Cañaveral
10046,ES-CC,ES-EX,Carbajo
10047,ES-CC,ES-EX,Carcaboso
10048,ES-CC,ES-EX,Carrascalejo
10049,ES-CC,ES-EX,Casar de Cáceres
10050,ES-CC,ES-EX,Casar de Palomero
10051,ES-CC,ES-EX,Casares de las Hurdes
10052,ES-CC,ES-EX,Casas de Don Antonio
10053,ES-CC,ES-EX,Casas de Don Gómez
10054,ES-CC,ES-EX,Casas del Castañar
10055,ES-CC,ES-EX,Casas del Monte
10056,ES-CC,ES-EX,Casas de Millán
10057,ES-CC,ES-EX,Casas de Miravete
10058,ES-CC,ES-EX,Casatejada
10059,ES-CC,ES-EX,Casillas de Coria
10060,ES-CC,ES-EX,Castañar de Ibor
10061,ES-CC,ES-EX,Ceclavín
10062,ES-CC,ES-EX,Cedillo
10063,ES-CC,ES-EX,Cerezo
10064,ES-CC,ES-EX,Cilleros
10065,ES-CC,ES-EX,Collado de la Vera
10066,ES-CC,ES-EX,Conquista de la Sierra
10067,ES-CC,ES-EX,Coria
10068,ES-CC,ES-EX,Cuacos de Yuste
10069,ES-CC,ES-EX,La Cumbre
10070,ES-CC,ES-EX,Deleitosa
10071,ES-CC,ES-EX,Descargamaría
10072,ES-CC,ES-EX,Eljas
10073,ES-CC,ES-EX,Escurial
10075,ES-CC,ES-EX,Fresnedoso de Ibor
10076,ES-CC,ES-EX,Galisteo
10077,ES-CC,ES-EX,Garciaz
10078,ES-CC,ES-EX,La Garganta
10079,ES-CC,ES-EX,Garganta la Olla
10080,ES-CC,ES-EX,Gargantilla
10081,ES-CC,ES-EX,Gargüera de la Vera
10082,ES-CC,ES-EX,Garrovillas de Alconétar
10083,ES-CC,ES-EX,Garvín
10084,ES-CC,ES-EX,Gata
10085,ES-CC,ES-EX,El Gordo
10086,ES-CC,ES-EX,La Granja
10087,ES-CC,ES-EX,Guadalupe
10088,ES-CC,ES-EX,Guijo de Coria
10089,ES-CC,ES-EX,Guijo de Galisteo
10090,ES-CC,ES-EX,Guijo de Granadilla
10091,ES-CC,ES-EX,Guijo de Santa Bárbara
10092,ES-CC,ES-EX,Herguijuela
10093,ES-CC,ES-EX,Hernán-Pérez
10094,ES-CC,ES-EX,Herrera de Alcántara
10095,ES-CC,ES-EX,Herreruela
10096,ES-CC,ES-EX,Hervás
10097,ES-CC,ES-EX,Higuera
10098,ES-CC,ES-EX,Hinojal
10099,ES-CC,ES-EX,Holguera
10100,ES-CC,ES-EX,Hoyos
10101,ES-CC,ES-EX,Huélaga
10102,ES-CC,ES-EX,Ibahernando
10103,ES-CC,ES-EX,Jaraicejo
10104,ES-CC,ES-EX,Jaraíz de la Vera
10105,ES-CC,ES-EX,Jarandilla de la Vera
10106,ES-CC,ES-EX,Jarilla
10107,ES-CC,ES-EX,Jerte
10108,ES-CC,ES-EX,Ladrillar
10109,ES-CC,ES-EX,Logrosán
10110,ES-CC,ES-EX,Losar de la Vera
10111,ES-CC,ES-EX,Madrigal de la Vera
10112,ES-CC,ES-EX,Madrigalejo
10113,ES-CC,ES-EX,Madroñera
10114,ES-CC,ES-EX,Majadas
10115,ES-CC,ES-EX,Malpartida de Cáceres
10116,ES-CC,ES-EX,Malpartida de Plasencia
10117,ES-CC,ES-EX,Marchagaz
10118,ES-CC,ES-EX,Mata de Alcántara
10119,ES-CC,ES-EX,Membrío
10120,ES-CC,ES-EX,Mesas de Ibor
10121,ES-CC,ES-EX,Miajadas
10122,ES-CC,ES-EX,Millanes
10123,ES-CC,ES-EX,Mirabel
10124,ES-CC,ES-EX,Mohedas de Granadilla
10125,ES-CC,ES-EX,Monroy
10126,ES-CC,ES-EX,Montánchez
10127,ES-CC,ES-EX,Montehermoso
10128,ES-CC,ES-EX,Moraleja
10129,ES-CC,ES-EX,Morcillo
10130,ES-CC,ES-EX,Navaconcejo
10131,ES-CC,ES-EX,Navalmoral de la Mata
10132,ES-CC,ES-EX,Navalvillar de Ibor
10133,ES-CC,ES-EX,Navas del Madroño
10134,ES-CC,ES-EX,Navezuelas
10135,ES-CC,ES-EX,Nuñomoral
10136,ES-CC,ES-EX,Oliva de Plasencia
10137,ES-CC,ES-EX,Palomero
10138,ES-CC,ES-EX,Pasarón de la Vera
10139,ES-CC,ES-EX,Pedroso de Acim
10140,ES-CC,ES-EX,Peraleda de la Mata
10141,ES-CC,ES-EX,Peraleda de San Román
10142,ES-CC,ES-EX,Perales del Puerto
10143,ES-CC,ES-EX,Pescueza
10144,ES-CC,ES-EX,La Pesga
10145,ES-CC,ES-EX,Piedras Albas
10146,ES-CC,ES-EX,Pinofranqueado
10147,ES-CC,ES-EX,Piornal
10148,ES-CC,ES-EX,Plasencia
10149,ES-CC,ES-EX,Plasenzuela
10150,ES-CC,ES-EX,Portaje
10151,ES-CC,ES-EX,Portezuelo
10152,ES-CC,ES-EX,Pozuelo de Zarzón
10153,ES-CC,ES-EX,Puerto de Santa Cruz
10154,ES-CC,ES-EX,Rebollar
10155,ES-CC,ES-EX,Riolobos
10156,ES-CC,ES-EX,Robledillo de Gata
10157,ES-CC,ES-EX,Robledillo de la Vera
10158,ES-CC,ES-EX,Robledillo de Trujillo
10159,ES-CC,ES-EX,Robledollano
10160,ES-CC,ES-EX,Romangordo
10161,ES-CC,ES-EX,Ruanes
10162,ES-CC,ES-EX,Salorino
10163,ES-CC,ES-EX,Salvatierra de Santiago
10164,ES-CC,ES-EX,San Martín de Trevejo
10165,ES-CC,ES-EX,Santa Ana
10166,ES-CC,ES-EX,Santa Cruz de la Sierra
10167,ES-CC,ES-EX,Santa Cruz de Paniagua
10168,ES-CC,ES-EX,Santa Marta de Magasca
10169,ES-CC,ES-EX,Santiago de Alcántara
10170,ES-CC,ES-EX,Santiago del Campo
10171,ES-CC,ES-EX,Santibáñez el Alto
10172,ES-CC,ES-EX,Santibáñez el Bajo
10173,ES-CC,ES-EX,Saucedilla
10174,ES-CC,ES-EX,Segura de Toro
10175,ES-CC,ES-EX,Serradilla
10176,ES-CC,ES-EX,Serrejón
10177,ES-CC,ES-EX,Sierra de Fuentes
10178,ES-CC,ES-EX,Talaván
10179,ES-CC,ES-EX,Talaveruela de la Vera
10180,ES-CC,ES-EX,Talayuela
10181,ES-CC,ES-EX,Tejeda de Tiétar
10182,ES-CC,ES-EX,Toril
10183,ES-CC,ES-EX,Tornavacas
10184,ES-CC,ES-EX,El Torno
10185,ES-CC,ES-EX,Torrecilla de los Ángeles
10186,ES-CC,ES-EX,Torrecillas de la Tiesa
10187,ES-CC,ES-EX,Torre de Don Miguel
10188,ES-CC,ES-EX,Torre de Santa María
10189,ES-CC,ES-EX,Torrejoncillo
10190,ES-CC,ES-EX,Torrejón el Rubio
10191,ES-CC,ES-EX,Torremenga
10192,ES-CC,ES-EX,Torremocha
10193,ES-CC,ES-EX,Torreorgaz
10194,ES-CC,ES-EX,Torrequemada
10195,ES-CC,ES-EX,Trujillo
10196,ES-CC,ES-EX,Valdastillas
10197,ES-CC,ES-EX,Valdecañas de Tajo
10198,ES-CC,ES-EX,Valdefuentes
10199,ES-CC,ES-EX,Valdehúncar
10200,ES-CC,ES-EX,Valdelacasa de Tajo
10201,ES-CC,ES-EX,Valdemorales
10202,ES-CC,ES-EX,Valdeobispo
10203,ES-CC,ES-EX,Valencia de Alcántara
10204,ES-CC,ES-EX,Valverde de la Vera
10205,ES-CC,ES-EX,Valverde del Fresno
10206,ES-CC,ES-EX,Viandar de la Vera
10207,ES-CC,ES-EX,Villa del Campo
10208,ES-CC,ES-EX,Villa del Rey
10209,ES-CC,ES-EX,Villamesías
10210,ES-CC,ES-EX,Villamiel
10211,ES-CC,ES-EX,Villanueva de la Sierra
10212,ES-CC,ES-EX,Villanueva de la Vera
10213,ES-CC,ES-EX,Villar del Pedroso
10214,ES-CC,ES-EX,Villar de Plasencia
10215,ES-CC,ES-EX,Villasbuenas de Gata
10216,ES-CC,ES-EX,Zarza de Granadilla
10217,ES-CC,ES-EX,Zarza de Montánchez
10218,ES-CC,ES-EX,Zarza la Mayor
10219,ES-CC,ES-EX,Zorita
10901,ES-CC,ES-EX,Rosalejo
10902,ES-CC,ES-EX,Vegaviana
10903,ES-CC,ES-EX,Alagón del Río
10904,ES-CC,ES-EX,Tiétar
10905,ES-CC,ES-EX,Pueblonuevo de Miramontes
