id;prov;ccaa;name
02001;ES-AB;ES-CM;Abengibre
02002;ES-AB;ES-CM;Alatoz
02003;ES-AB;ES-CM;Albacete
02004;ES-AB;ES-CM;Albatana
02005;ES-AB;ES-CM;Alborea
02006;ES-AB;ES-CM;Alcadozo
02007;ES-AB;ES-CM;Alcalá del Júcar
02008;ES-AB;ES-CM;Alcaraz
02009;ES-AB;ES-CM;Almansa
02010;ES-AB;ES-CM;Alpera
02011;ES-AB;ES-CM;Ayna
02012;ES-AB;ES-CM;Balazote
02013;ES-AB;ES-CM;Balsa de Ves
02014;ES-AB;ES-CM;El Ballestero
02015;ES-AB;ES-CM;Barrax
02016;ES-AB;ES-CM;Bienservida
02017;ES-AB;ES-CM;Bogarra
02018;ES-AB;ES-CM;Bonete
02019;ES-AB;ES-CM;El Bonillo
02020;ES-AB;ES-CM;Carcelén
02021;ES-AB;ES-CM;Casas de Juan Núñez
02022;ES-AB;ES-CM;Casas de Lázaro
02023;ES-AB;ES-CM;Casas de Ves
02024;ES-AB;ES-CM;Casas-Ibáñez
02025;ES-AB;ES-CM;Caudete
02026;ES-AB;ES-CM;Cenizate
02027;ES-AB;ES-CM;Corral-Rubio
02028;ES-AB;ES-CM;Cotillas
02029;ES-AB;ES-CM;Chinchilla de Monte-Aragón
02030;ES-AB;ES-CM;Elche de la Sierra
02031;ES-AB;ES-CM;Férez
02032;ES-AB;ES-CM;Fuensanta
02033;ES-AB;ES-CM;Fuente-Álamo
02034;ES-AB;ES-CM;Fuentealbilla
02035;ES-AB;ES-CM;La Gineta
02036;ES-AB;ES-CM;Golosalvo
02037;ES-AB;ES-CM;Hellín
02038;ES-AB;ES-CM;La Herrera
02039;ES-AB;ES-CM;Higueruela
02040;ES-AB;ES-CM;Hoya-Gonzalo
02041;ES-AB;ES-CM;Jorquera
02042;ES-AB;ES-CM;Letur
02043;ES-AB;ES-CM;Lezuza
02044;ES-AB;ES-CM;Liétor
02045;ES-AB;ES-CM;Madrigueras
02046;ES-AB;ES-CM;Mahora
02047;ES-AB;ES-CM;Masegoso
02048;ES-AB;ES-CM;Minaya
02049;ES-AB;ES-CM;Molinicos
02050;ES-AB;ES-CM;Montalvos
02051;ES-AB;ES-CM;Montealegre del Castillo
02052;ES-AB;ES-CM;Motilleja
