id;prov;ccaa;name
35001;ES-GC;ES-CN;Agaete
35002;ES-GC;ES-CN;Agüimes
35003;ES-GC;ES-CN;Antigua
35004;ES-GC;ES-CN;Arrecife
35005;ES-GC;ES-CN;Artenara
35006;ES-GC;ES-CN;Arucas
35007;ES-GC;ES-CN;Betancuria
35008;ES-GC;ES-CN;Firgas
35009;ES-GC;ES-CN;Gáldar
35010;ES-GC;ES-CN;Haría
35011;ES-GC;ES-CN;Ingenio
35012;ES-GC;ES-CN;Mogán
35013;ES-GC;ES-CN;Moya
35014;ES-GC;ES-CN;La Oliva
35015;ES-GC;ES-CN;Pájara
35016;ES-GC;ES-CN;Las Palmas de Gran Canaria
35017;ES-GC;ES-CN;Puerto del Rosario
35018;ES-GC;ES-CN;San Bartolomé
35019;ES-GC;ES-CN;San Bartolomé de Tirajana
35020;ES-GC;ES-CN;La Aldea de San Nicolás
35021;ES-GC;ES-CN;Santa Brígida
35022;ES-GC;ES-CN;Santa Lucía de Tirajana
35023;ES-GC;ES-CN;Santa María de Guía de Gran Canaria
35024;ES-GC;ES-CN;Teguise
35025;ES-GC;ES-CN;Tejeda
35026;ES-GC;ES-CN;Telde
35027;ES-GC;ES-CN;Teror
35028;ES-GC;ES-CN;Tías
35029;ES-GC;ES-CN;Tinajo
35030;ES-GC;ES-CN;Tuineje
35031;ES-GC;ES-CN;Valsequillo de Gran Canaria
35032;ES-GC;ES-CN;Valleseco
35033;ES-GC;ES-CN;Vega de San Mateo
35034;ES-GC;ES-CN;Yaiza
38001;ES-TF;ES-CN;Adeje
38002;ES-TF;ES-CN;Agulo
38003;ES-TF;ES-CN;Alajeró
38004;ES-TF;ES-CN;Arafo
38005;ES-TF;ES-CN;Arico
38006;ES-TF;ES-CN;Arona
38007;ES-TF;ES-CN;Barlovento
38008;ES-TF;ES-CN;Breña Alta
38009;ES-TF;ES-CN;Breña Baja
38010;ES-TF;ES-CN;Buenavista del Norte
38011;ES-TF;ES-CN;Candelaria
38012;ES-TF;ES-CN;Fasnia
38013;ES-TF;ES-CN;Frontera
38014;ES-TF;ES-CN;Fuencaliente de la Palma
38015;ES-TF;ES-CN;Garachico
38016;ES-TF;ES-CN;Garafía
38017;ES-TF;ES-CN;Granadilla de Abona
38018;ES-TF;ES-CN;La Guancha
38019;ES-TF;ES-CN;Guía de Isora
38020;ES-TF;ES-CN;Güímar
38021;ES-TF;ES-CN;Hermigua
38022;ES-TF;ES-CN;Icod de los Vinos
38024;ES-TF;ES-CN;Los Llanos de Aridane
38025;ES-TF;ES-CN;La Matanza de Acentejo
38026;ES-TF;ES-CN;La Orotava
38027;ES-TF;ES-CN;El Paso
38028;ES-TF;ES-CN;Puerto de la Cruz
38029;ES-TF;ES-CN;Puntagorda
38030;ES-TF;ES-CN;Puntallana
38031;ES-TF;ES-CN;Los Realejos
38032;ES-TF;ES-CN;El Rosario
38033;ES-TF;ES-CN;San Andrés y Sauces
38034;ES-TF;ES-CN;San Juan de la Rambla
38035;ES-TF;ES-CN;San Miguel de Abona
38036;ES-TF;ES-CN;San Sebastián de la Gomera
38037;ES-TF;ES-CN;Santa Cruz de la Palma
38038;ES-TF;ES-CN;Santa Cruz de Tenerife
38039;ES-TF;ES-CN;Santa Úrsula
38040;ES-TF;ES-CN;Santiago del Teide
38041;ES-TF;ES-CN;El Sauzal
38042;ES-TF;ES-CN;Los Silos
38043;ES-TF;ES-CN;Tacoronte
38044;ES-TF;ES-CN;El Tanque
38045;ES-TF;ES-CN;Tazacorte
38046;ES-TF;ES-CN;Tegueste
38047;ES-TF;ES-CN;Tijarafe
38048;ES-TF;ES-CN;Valverde
38049;ES-TF;ES-CN;Valle Gran Rey
38050;ES-TF;ES-CN;Vallehermoso
38051;ES-TF;ES-CN;La Victoria de Acentejo
38052;ES-TF;ES-CN;Vilaflor
38053;ES-TF;ES-CN;Villa de Mazo
38901;ES-TF;ES-CN;El Pinar de El Hierro
