id,prov,ccaa,name
14001,ES-CO,ES-AN,Adamuz
14002,ES-CO,ES-AN,Aguilar de la Frontera
14003,ES-CO,ES-AN,Alcaracejos
14004,ES-CO,ES-AN,Almedinilla
14005,ES-CO,ES-AN,Almodóvar del Río
14006,ES-CO,ES-AN,Añora
14007,ES-CO,ES-AN,Baena
14008,ES-CO,ES-AN,Belalcázar
14009,ES-CO,ES-AN,Belmez
14010,ES-CO,ES-AN,Benamejí
14011,ES-CO,ES-AN,Los Blázquez
14012,ES-CO,ES-AN,Bujalance
14013,ES-CO,ES-AN,Cabra
14014,ES-CO,ES-AN,Cañete de las Torres
14015,ES-CO,ES-AN,Carcabuey
14016,ES-CO,ES-AN,Cardeña
14017,ES-CO,ES-AN,La Carlota
14018,ES-CO,ES-AN,El Carpio
14019,ES-CO,ES-AN,Castro del Río
14020,ES-CO,ES-AN,Conquista
14021,ES-CO,ES-AN,Córdoba
14022,ES-CO,ES-AN,Doña Mencía
14023,ES-CO,ES-AN,Dos Torres
14024,ES-CO,ES-AN,Encinas Reales
14025,ES-CO,ES-AN,Espejo
14026,ES-CO,ES-AN,Espiel
14027,ES-CO,ES-AN,Fernán-Núñez
14028,ES-CO,ES-AN,Fuente la Lancha
14029,ES-CO,ES-AN,Fuente Obejuna
14030,ES-CO,ES-AN,Fuente Palmera
14031,ES-CO,ES-AN,Fuente-Tójar
14032,ES-CO,ES-AN,La Granjuela
14033,ES-CO,ES-AN,Guadalcázar
14034,ES-CO,ES-AN,El Guijo
14035,ES-CO,ES-AN,Hinojosa del Duque
14036,ES-CO,ES-AN,Hornachuelos
14037,ES-CO,ES-AN,Iznájar
14038,ES-CO,ES-AN,Lucena
14039,ES-CO,ES-AN,Luque
14040,ES-CO,ES-AN,Montalbán de Córdoba
14041,ES-CO,ES-AN,Montemayor
14042,ES-CO,ES-AN,Montilla
14043,ES-CO,ES-AN,Montoro
14044,ES-CO,ES-AN,Monturque
14045,ES-CO,ES-AN,Moriles
14046,ES-CO,ES-AN,Nueva Carteya
14047,ES-CO,ES-AN,Obejo
14048,ES-CO,ES-AN,Palenciana
14049,ES-CO,ES-AN,Palma del Río
14050,ES-CO,ES-AN,Pedro Abad
14051,ES-CO,ES-AN,Pedroche
14052,ES-CO,ES-AN,Peñarroya-Pueblonuevo
14053,ES-CO,ES-AN,Posadas
14054,ES-CO,ES-AN,Pozoblanco
14055,ES-CO,ES-AN,Priego de Córdoba
14056,ES-CO,ES-AN,Puente Genil
14057,ES-CO,ES-AN,La Rambla
14058,ES-CO,ES-AN,Rute
14059,ES-CO,ES-AN,San Sebastián de los Ballesteros
14060,ES-CO,ES-AN,Santaella
14061,ES-CO,ES-AN,Santa Eufemia
14062,ES-CO,ES-AN,Torrecampo
14063,ES-CO,ES-AN,Valenzuela
14064,ES-CO,ES-AN,Valsequillo
14065,ES-CO,ES-AN,La Victoria
14066,ES-CO,ES-AN,Villa del Río
14067,ES-CO,ES-AN,Villafranca de Córdoba
14068,ES-CO,ES-AN,Villaharta
14069,ES-CO,ES-AN,Villanueva de Córdoba
14070,ES-CO,ES-AN,Villanueva del Duque
14071,ES-CO,ES-AN,Villanueva del Rey
14072,ES-CO,ES-AN,Villaralto
14073,ES-CO,ES-AN,Villaviciosa de Córdoba
14074,ES-CO,ES-AN,El Viso
14075,ES-CO,ES-AN,Zuheros
14901,ES-CO,ES-AN,Fuente Carreteros
14902,ES-CO,ES-AN,La Guijarrosa
