id,prov,ccaa,name
13001,ES-CR,ES-CM,Abenójar
13002,ES-CR,ES-CM,Agudo
13003,ES-CR,ES-CM,Alamillo
13004,ES-CR,ES-CM,Albaladejo
13005,ES-CR,ES-CM,Alcázar de San Juan
13006,ES-CR,ES-CM,Alcoba
13007,ES-CR,ES-CM,Alcolea de Calatrava
13008,ES-CR,ES-CM,Alcubillas
13009,ES-CR,ES-CM,Aldea del Rey
13010,ES-CR,ES-CM,Alhambra
13011,ES-CR,ES-CM,Almadén
13012,ES-CR,ES-CM,Almadenejos
13013,ES-CR,ES-CM,Almagro
13014,ES-CR,ES-CM,Almedina
13015,ES-CR,ES-CM,Almodóvar del Campo
13016,ES-CR,ES-CM,Almuradiel
13017,ES-CR,ES-CM,Anchuras
13018,ES-CR,ES-CM,Arenas de San Juan
13019,ES-CR,ES-CM,Argamasilla de Alba
13020,ES-CR,ES-CM,Argamasilla de Calatrava
13021,ES-CR,ES-CM,Arroba de los Montes
13022,ES-CR,ES-CM,Ballesteros de Calatrava
13023,ES-CR,ES-CM,Bolaños de Calatrava
13024,ES-CR,ES-CM,Brazatortas
13025,ES-CR,ES-CM,Cabezarados
13026,ES-CR,ES-CM,Cabezarrubias del Puerto
13027,ES-CR,ES-CM,Calzada de Calatrava
13028,ES-CR,ES-CM,Campo de Criptana
13029,ES-CR,ES-CM,Cañada de Calatrava
13030,ES-CR,ES-CM,Caracuel de Calatrava
13031,ES-CR,ES-CM,Carrión de Calatrava
13032,ES-CR,ES-CM,Carrizosa
13033,ES-CR,ES-CM,Castellar de Santiago
13034,ES-CR,ES-CM,Ciudad Real
13035,ES-CR,ES-CM,Corral de Calatrava
13036,ES-CR,ES-CM,Los Cortijos
13037,ES-CR,ES-CM,Cózar
13038,ES-CR,ES-CM,Chillón
13039,ES-CR,ES-CM,Daimiel
13040,ES-CR,ES-CM,Fernán Caballero
13041,ES-CR,ES-CM,Fontanarejo
13042,ES-CR,ES-CM,Fuencaliente
13043,ES-CR,ES-CM,Fuenllana
13044,ES-CR,ES-CM,Fuente el Fresno
13045,ES-CR,ES-CM,Granátula de Calatrava
13046,ES-CR,ES-CM,Guadalmez
13047,ES-CR,ES-CM,Herencia
13048,ES-CR,ES-CM,Hinojosas de Calatrava
13049,ES-CR,ES-CM,Horcajo de los Montes
13050,ES-CR,ES-CM,Las Labores
13051,ES-CR,ES-CM,Luciana
13052,ES-CR,ES-CM,Malagón
13053,ES-CR,ES-CM,Manzanares
13054,ES-CR,ES-CM,Membrilla
13055,ES-CR,ES-CM,Mestanza
13056,ES-CR,ES-CM,Miguelturra
13057,ES-CR,ES-CM,Montiel
13058,ES-CR,ES-CM,Moral de Calatrava
13059,ES-CR,ES-CM,Navalpino
13060,ES-CR,ES-CM,Navas de Estena
13061,ES-CR,ES-CM,Pedro Muñoz
13062,ES-CR,ES-CM,Picón
13063,ES-CR,ES-CM,Piedrabuena
13064,ES-CR,ES-CM,Poblete
13065,ES-CR,ES-CM,Porzuna
13066,ES-CR,ES-CM,Pozuelo de Calatrava
13067,ES-CR,ES-CM,Los Pozuelos de Calatrava
13068,ES-CR,ES-CM,Puebla de Don Rodrigo
13069,ES-CR,ES-CM,Puebla del Príncipe
13070,ES-CR,ES-CM,Puerto Lápice
13071,ES-CR,ES-CM,Puertollano
13072,ES-CR,ES-CM,Retuerta del Bullaque
13073,ES-CR,ES-CM,Saceruela
13074,ES-CR,ES-CM,San Carlos del Valle
13075,ES-CR,ES-CM,San Lorenzo de Calatrava
13076,ES-CR,ES-CM,Santa Cruz de los Cáñamos
13077,ES-CR,ES-CM,Santa Cruz de Mudela
13078,ES-CR,ES-CM,Socuéllamos
13079,ES-CR,ES-CM,La Solana
13080,ES-CR,ES-CM,Solana del Pino
13081,ES-CR,ES-CM,Terrinches
13082,ES-CR,ES-CM,Tomelloso
13083,ES-CR,ES-CM,Torralba de Calatrava
13084,ES-CR,ES-CM,Torre de Juan Abad
13085,ES-CR,ES-CM,Torrenueva
13086,ES-CR,ES-CM,Valdemanco del Esteras
13087,ES-CR,ES-CM,Valdepeñas
13088,ES-CR,ES-CM,Valenzuela de Calatrava
13089,ES-CR,ES-CM,Villahermosa
13090,ES-CR,ES-CM,Villamanrique
13091,ES-CR,ES-CM,Villamayor de Calatrava
13092,ES-CR,ES-CM,Villanueva de la Fuente
13093,ES-CR,ES-CM,Villanueva de los Infantes
13094,ES-CR,ES-CM,Villanueva de San Carlos
13095,ES-CR,ES-CM,Villar del Pozo
13096,ES-CR,ES-CM,Villarrubia de los Ojos
13097,ES-CR,ES-CM,Villarta de San Juan
13098,ES-CR,ES-CM,Viso del Marqués
13901,ES-CR,ES-CM,El Robledo
13902,ES-CR,ES-CM,Ruidera
13903,ES-CR,ES-CM,Arenales de San Gregorio
13904,ES-CR,ES-CM,Llanos del Caudillo
