id,prov,ccaa,name
16001,ES-CU,ES-CM,Abia de la Obispalía
16002,ES-CU,ES-CM,El Acebrón
16003,ES-CU,ES-CM,Alarcón
16004,ES-CU,ES-CM,Albaladejo del Cuende
16005,ES-CU,ES-CM,Albalate de las Nogueras
16006,ES-CU,ES-CM,Albendea
16007,ES-CU,ES-CM,La Alberca de Záncara
16008,ES-CU,ES-CM,Alcalá de la Vega
16009,ES-CU,ES-CM,Alcantud
16010,ES-CU,ES-CM,Alcázar del Rey
16011,ES-CU,ES-CM,Alcohujate
16012,ES-CU,ES-CM,Alconchel de la Estrella
16013,ES-CU,ES-CM,Algarra
16014,ES-CU,ES-CM,Aliaguilla
16015,ES-CU,ES-CM,La Almarcha
16016,ES-CU,ES-CM,Almendros
16017,ES-CU,ES-CM,Almodóvar del Pinar
16018,ES-CU,ES-CM,Almonacid del Marquesado
16019,ES-CU,ES-CM,Altarejos
16020,ES-CU,ES-CM,Arandilla del Arroyo
16022,ES-CU,ES-CM,Arcos de la Sierra
16023,ES-CU,ES-CM,Chillarón de Cuenca
16024,ES-CU,ES-CM,Arguisuelas
16025,ES-CU,ES-CM,Arrancacepas
16026,ES-CU,ES-CM,Atalaya del Cañavate
16027,ES-CU,ES-CM,Barajas de Melo
16029,ES-CU,ES-CM,Barchín del Hoyo
16030,ES-CU,ES-CM,Bascuñana de San Pedro
16031,ES-CU,ES-CM,Beamud
16032,ES-CU,ES-CM,Belinchón
16033,ES-CU,ES-CM,Belmonte
16034,ES-CU,ES-CM,Belmontejo
16035,ES-CU,ES-CM,Beteta
16036,ES-CU,ES-CM,Boniches
16038,ES-CU,ES-CM,Buciegas
16039,ES-CU,ES-CM,Buenache de Alarcón
16040,ES-CU,ES-CM,Buenache de la Sierra
16041,ES-CU,ES-CM,Buendía
16042,ES-CU,ES-CM,Campillo de Altobuey
16043,ES-CU,ES-CM,Campillos-Paravientos
16044,ES-CU,ES-CM,Campillos-Sierra
16045,ES-CU,ES-CM,Canalejas del Arroyo
16046,ES-CU,ES-CM,Cañada del Hoyo
16047,ES-CU,ES-CM,Cañada Juncosa
16048,ES-CU,ES-CM,Cañamares
16049,ES-CU,ES-CM,El Cañavate
16050,ES-CU,ES-CM,Cañaveras
16051,ES-CU,ES-CM,Cañaveruelas
16052,ES-CU,ES-CM,Cañete
16053,ES-CU,ES-CM,Cañizares
16055,ES-CU,ES-CM,Carboneras de Guadazaón
16056,ES-CU,ES-CM,Cardenete
16057,ES-CU,ES-CM,Carrascosa
16058,ES-CU,ES-CM,Carrascosa de Haro
16060,ES-CU,ES-CM,Casas de Benítez
16061,ES-CU,ES-CM,Casas de Fernando Alonso
16062,ES-CU,ES-CM,Casas de Garcimolina
16063,ES-CU,ES-CM,Casas de Guijarro
16064,ES-CU,ES-CM,Casas de Haro
16065,ES-CU,ES-CM,Casas de los Pinos
16066,ES-CU,ES-CM,Casasimarro
16067,ES-CU,ES-CM,Castejón
16068,ES-CU,ES-CM,Castillejo de Iniesta
16070,ES-CU,ES-CM,Castillejo-Sierra
16071,ES-CU,ES-CM,Castillo-Albaráñez
16072,ES-CU,ES-CM,Castillo de Garcimuñoz
16073,ES-CU,ES-CM,Cervera del Llano
16074,ES-CU,ES-CM,La Cierva
16078,ES-CU,ES-CM,Cuenca
16079,ES-CU,ES-CM,Cueva del Hierro
16081,ES-CU,ES-CM,Chumillas
16082,ES-CU,ES-CM,Enguídanos
16083,ES-CU,ES-CM,Fresneda de Altarejos
16084,ES-CU,ES-CM,Fresneda de la Sierra
16085,ES-CU,ES-CM,La Frontera
16086,ES-CU,ES-CM,Fuente de Pedro Naharro
16087,ES-CU,ES-CM,Fuentelespino de Haro
16088,ES-CU,ES-CM,Fuentelespino de Moya
16089,ES-CU,ES-CM,Fuentes
16091,ES-CU,ES-CM,Fuertescusa
16092,ES-CU,ES-CM,Gabaldón
16093,ES-CU,ES-CM,Garaballa
16094,ES-CU,ES-CM,Gascueña
16095,ES-CU,ES-CM,Graja de Campalbo
16096,ES-CU,ES-CM,Graja de Iniesta
16097,ES-CU,ES-CM,Henarejos
16098,ES-CU,ES-CM,El Herrumblar
16099,ES-CU,ES-CM,La Hinojosa
16100,ES-CU,ES-CM,Los Hinojosos
16101,ES-CU,ES-CM,El Hito
16102,ES-CU,ES-CM,Honrubia
16103,ES-CU,ES-CM,Hontanaya
16104,ES-CU,ES-CM,Hontecillas
16106,ES-CU,ES-CM,Horcajo de Santiago
16107,ES-CU,ES-CM,Huélamo
16108,ES-CU,ES-CM,Huelves
16109,ES-CU,ES-CM,Huérguina
16110,ES-CU,ES-CM,Huerta de la Obispalía
16111,ES-CU,ES-CM,Huerta del Marquesado
16112,ES-CU,ES-CM,Huete
16113,ES-CU,ES-CM,Iniesta
16115,ES-CU,ES-CM,Laguna del Marquesado
16116,ES-CU,ES-CM,Lagunaseca
16117,ES-CU,ES-CM,Landete
16118,ES-CU,ES-CM,Ledaña
16119,ES-CU,ES-CM,Leganiel
16121,ES-CU,ES-CM,Las Majadas
16122,ES-CU,ES-CM,Mariana
16123,ES-CU,ES-CM,Masegosa
16124,ES-CU,ES-CM,Las Mesas
16125,ES-CU,ES-CM,Minglanilla
16126,ES-CU,ES-CM,Mira
16128,ES-CU,ES-CM,Monreal del Llano
16129,ES-CU,ES-CM,Montalbanejo
16130,ES-CU,ES-CM,Montalbo
16131,ES-CU,ES-CM,Monteagudo de las Salinas
16132,ES-CU,ES-CM,Mota de Altarejos
16133,ES-CU,ES-CM,Mota del Cuervo
16134,ES-CU,ES-CM,Motilla del Palancar
16135,ES-CU,ES-CM,Moya
16137,ES-CU,ES-CM,Narboneta
16139,ES-CU,ES-CM,Olivares de Júcar
16140,ES-CU,ES-CM,Olmeda de la Cuesta
16141,ES-CU,ES-CM,Olmeda del Rey
16142,ES-CU,ES-CM,Olmedilla de Alarcón
16143,ES-CU,ES-CM,Olmedilla de Eliz
16145,ES-CU,ES-CM,Osa de la Vega
16146,ES-CU,ES-CM,Pajarón
16147,ES-CU,ES-CM,Pajaroncillo
16148,ES-CU,ES-CM,Palomares del Campo
16149,ES-CU,ES-CM,Palomera
16150,ES-CU,ES-CM,Paracuellos
16151,ES-CU,ES-CM,Paredes
16152,ES-CU,ES-CM,La Parra de las Vegas
16153,ES-CU,ES-CM,El Pedernoso
16154,ES-CU,ES-CM,Las Pedroñeras
16155,ES-CU,ES-CM,El Peral
16156,ES-CU,ES-CM,La Peraleja
16157,ES-CU,ES-CM,La Pesquera
16158,ES-CU,ES-CM,El Picazo
16159,ES-CU,ES-CM,Pinarejo
16160,ES-CU,ES-CM,Pineda de Gigüela
16161,ES-CU,ES-CM,Piqueras del Castillo
16162,ES-CU,ES-CM,Portalrubio de Guadamejud
16163,ES-CU,ES-CM,Portilla
16165,ES-CU,ES-CM,Poyatos
16166,ES-CU,ES-CM,Pozoamargo
16167,ES-CU,ES-CM,Pozorrubio
16169,ES-CU,ES-CM,El Pozuelo
16170,ES-CU,ES-CM,Priego
16171,ES-CU,ES-CM,El Provencio
16172,ES-CU,ES-CM,Puebla de Almenara
16173,ES-CU,ES-CM,El Valle de Altomira
16174,ES-CU,ES-CM,Puebla del Salvador
16175,ES-CU,ES-CM,Quintanar del Rey
16176,ES-CU,ES-CM,Rada de Haro
16177,ES-CU,ES-CM,Reíllo
16181,ES-CU,ES-CM,Rozalén del Monte
16185,ES-CU,ES-CM,Saceda-Trasierra
16186,ES-CU,ES-CM,Saelices
16187,ES-CU,ES-CM,Salinas del Manzano
16188,ES-CU,ES-CM,Salmeroncillos
16189,ES-CU,ES-CM,Salvacañete
16190,ES-CU,ES-CM,San Clemente
16191,ES-CU,ES-CM,San Lorenzo de la Parrilla
16192,ES-CU,ES-CM,San Martín de Boniches
16193,ES-CU,ES-CM,San Pedro Palmiches
16194,ES-CU,ES-CM,Santa Cruz de Moya
16195,ES-CU,ES-CM,Santa María del Campo Rus
16196,ES-CU,ES-CM,Santa María de los Llanos
16197,ES-CU,ES-CM,Santa María del Val
16198,ES-CU,ES-CM,Sisante
16199,ES-CU,ES-CM,Solera de Gabaldón
16202,ES-CU,ES-CM,Talayuelas
16203,ES-CU,ES-CM,Tarancón
16204,ES-CU,ES-CM,Tébar
16205,ES-CU,ES-CM,Tejadillos
16206,ES-CU,ES-CM,Tinajas
16209,ES-CU,ES-CM,Torralba
