id,prov,ccaa,name
35001,ES-GC,ES-CN,Agaete
35002,ES-GC,ES-CN,Agüimes
35003,ES-GC,ES-CN,Antigua
35004,ES-GC,ES-CN,Arrecife
35005,ES-GC,ES-CN,Artenara
35006,ES-GC,ES-CN,Arucas
35007,ES-GC,ES-CN,Betancuria
35008,ES-GC,ES-CN,Firgas
35009,ES-GC,ES-CN,Gáldar
35010,ES-GC,ES-CN,Haría
35011,ES-GC,ES-CN,Ingenio
35012,ES-GC,ES-CN,Mogán
35013,ES-GC,ES-CN,Moya
35014,ES-GC,ES-CN,La Oliva
35015,ES-GC,ES-CN,Pájara
35016,ES-GC,ES-CN,Las Palmas de Gran Canaria
35017,ES-GC,ES-CN,Puerto del Rosario
35018,ES-GC,ES-CN,San Bartolomé
35019,ES-GC,ES-CN,San Bartolomé de Tirajana
35020,ES-GC,ES-CN,La Aldea de San Nicolás
35021,ES-GC,ES-CN,Santa Brígida
35022,ES-GC,ES-CN,Santa Lucía de Tirajana
35023,ES-GC,ES-CN,Santa María de Guía de Gran Canaria
35024,ES-GC,ES-CN,Teguise
35025,ES-GC,ES-CN,Tejeda
35026,ES-GC,ES-CN,Telde
35027,ES-GC,ES-CN,Teror
35028,ES-GC,ES-CN,Tías
35029,ES-GC,ES-CN,Tinajo
35030,ES-GC,ES-CN,Tuineje
35031,ES-GC,ES-CN,Valsequillo de Gran Canaria
35032,ES-GC,ES-CN,Valleseco
35033,ES-GC,ES-CN,Vega de San Mateo
35034,ES-GC,ES-CN,Yaiza
