id,prov,ccaa,name
18001,ES-GR,ES-AN,Agrón
18002,ES-GR,ES-AN,Alamedilla
18003,ES-GR,ES-AN,Albolote
18004,ES-GR,ES-AN,Albondón
18005,ES-GR,ES-AN,Albuñán
18006,ES-GR,ES-AN,Albuñol
18007,ES-GR,ES-AN,Albuñuelas
18010,ES-GR,ES-AN,Aldeire
18011,ES-GR,ES-AN,Alfacar
18012,ES-GR,ES-AN,Algarinejo
18013,ES-GR,ES-AN,Alhama de Granada
18014,ES-GR,ES-AN,Alhendín
18015,ES-GR,ES-AN,Alicún de Ortega
18016,ES-GR,ES-AN,Almegíjar
18017,ES-GR,ES-AN,Almuñécar
18018,ES-GR,ES-AN,Alquife
18020,ES-GR,ES-AN,Arenas del Rey
18021,ES-GR,ES-AN,Armilla
18022,ES-GR,ES-AN,Atarfe
18023,ES-GR,ES-AN,Baza
18024,ES-GR,ES-AN,Beas de Granada
18025,ES-GR,ES-AN,Beas de Guadix
18027,ES-GR,ES-AN,Benalúa
18028,ES-GR,ES-AN,Benalúa de las Villas
18029,ES-GR,ES-AN,Benamaurel
18030,ES-GR,ES-AN,Bérchules
18032,ES-GR,ES-AN,Bubión
18033,ES-GR,ES-AN,Busquístar
18034,ES-GR,ES-AN,Cacín
18035,ES-GR,ES-AN,Cádiar
18036,ES-GR,ES-AN,Cájar
18037,ES-GR,ES-AN,Calicasas
18038,ES-GR,ES-AN,Campotéjar
18039,ES-GR,ES-AN,Caniles
18040,ES-GR,ES-AN,Cáñar
18042,ES-GR,ES-AN,Capileira
18043,ES-GR,ES-AN,Carataunas
18044,ES-GR,ES-AN,Cástaras
18045,ES-GR,ES-AN,Castilléjar
18046,ES-GR,ES-AN,Castril
18047,ES-GR,ES-AN,Cenes de la Vega
18048,ES-GR,ES-AN,Cijuela
18049,ES-GR,ES-AN,Cogollos de Guadix
18050,ES-GR,ES-AN,Cogollos de la Vega
18051,ES-GR,ES-AN,Colomera
