id,prov,ccaa,name
19001,ES-GU,ES-CM,Abánades
19002,ES-GU,ES-CM,Ablanque
19003,ES-GU,ES-CM,Adobes
19004,ES-GU,ES-CM,Alaminos
19005,ES-GU,ES-CM,Alarilla
19006,ES-GU,ES-CM,Albalate de Zorita
19007,ES-GU,ES-CM,Albares
19008,ES-GU,ES-CM,Albendiego
19009,ES-GU,ES-CM,Alcocer
19010,ES-GU,ES-CM,Alcolea de las Peñas
19011,ES-GU,ES-CM,Alcolea del Pinar
19013,ES-GU,ES-CM,Alcoroches
19015,ES-GU,ES-CM,Aldeanueva de Guadalajara
19016,ES-GU,ES-CM,Algar de Mesa
19017,ES-GU,ES-CM,Algora
19018,ES-GU,ES-CM,Alhóndiga
19019,ES-GU,ES-CM,Alique
19020,ES-GU,ES-CM,Almadrones
19021,ES-GU,ES-CM,Almoguera
19022,ES-GU,ES-CM,Almonacid de Zorita
19023,ES-GU,ES-CM,Alocén
19024,ES-GU,ES-CM,Alovera
19027,ES-GU,ES-CM,Alustante
19031,ES-GU,ES-CM,Angón
19032,ES-GU,ES-CM,Anguita
19033,ES-GU,ES-CM,Anquela del Ducado
19034,ES-GU,ES-CM,Anquela del Pedregal
19036,ES-GU,ES-CM,Aranzueque
19037,ES-GU,ES-CM,Arbancón
19038,ES-GU,ES-CM,Arbeteta
19039,ES-GU,ES-CM,Argecilla
19040,ES-GU,ES-CM,Armallones
19041,ES-GU,ES-CM,Armuña de Tajuña
19042,ES-GU,ES-CM,Arroyo de las Fraguas
19043,ES-GU,ES-CM,Atanzón
19044,ES-GU,ES-CM,Atienza
19045,ES-GU,ES-CM,Auñón
19046,ES-GU,ES-CM,Azuqueca de Henares
19047,ES-GU,ES-CM,Baides
19048,ES-GU,ES-CM,Baños de Tajo
19049,ES-GU,ES-CM,Bañuelos
19050,ES-GU,ES-CM,Barriopedro
19051,ES-GU,ES-CM,Berninches
19052,ES-GU,ES-CM,La Bodera
19053,ES-GU,ES-CM,Brihuega
19054,ES-GU,ES-CM,Budia
19055,ES-GU,ES-CM,Bujalaro
19057,ES-GU,ES-CM,Bustares
19058,ES-GU,ES-CM,Cabanillas del Campo
19059,ES-GU,ES-CM,Campillo de Dueñas
19060,ES-GU,ES-CM,Campillo de Ranas
19061,ES-GU,ES-CM,Campisábalos
19064,ES-GU,ES-CM,Canredondo
19065,ES-GU,ES-CM,Cantalojas
19066,ES-GU,ES-CM,Cañizar
19067,ES-GU,ES-CM,El Cardoso de la Sierra
19070,ES-GU,ES-CM,Casa de Uceda
19071,ES-GU,ES-CM,El Casar
19073,ES-GU,ES-CM,Casas de San Galindo
19074,ES-GU,ES-CM,Caspueñas
19075,ES-GU,ES-CM,Castejón de Henares
19076,ES-GU,ES-CM,Castellar de la Muela
19078,ES-GU,ES-CM,Castilforte
19079,ES-GU,ES-CM,Castilnuevo
19080,ES-GU,ES-CM,Cendejas de Enmedio
19081,ES-GU,ES-CM,Cendejas de la Torre
19082,ES-GU,ES-CM,Centenera
19086,ES-GU,ES-CM,Cifuentes
19087,ES-GU,ES-CM,Cincovillas
19088,ES-GU,ES-CM,Ciruelas
19089,ES-GU,ES-CM,Ciruelos del Pinar
19090,ES-GU,ES-CM,Cobeta
19091,ES-GU,ES-CM,Cogollor
19092,ES-GU,ES-CM,Cogolludo
19095,ES-GU,ES-CM,Condemios de Abajo
19096,ES-GU,ES-CM,Condemios de Arriba
19097,ES-GU,ES-CM,Congostrina
19098,ES-GU,ES-CM,Copernal
19099,ES-GU,ES-CM,Corduente
19102,ES-GU,ES-CM,El Cubillo de Uceda
19103,ES-GU,ES-CM,Checa
19104,ES-GU,ES-CM,Chequilla
19105,ES-GU,ES-CM,Chiloeches
19106,ES-GU,ES-CM,Chillarón del Rey
19107,ES-GU,ES-CM,Driebes
19108,ES-GU,ES-CM,Durón
19109,ES-GU,ES-CM,Embid
19110,ES-GU,ES-CM,Escamilla
19111,ES-GU,ES-CM,Escariche
19112,ES-GU,ES-CM,Escopete
19113,ES-GU,ES-CM,Espinosa de Henares
19114,ES-GU,ES-CM,Esplegares
19115,ES-GU,ES-CM,Establés
19116,ES-GU,ES-CM,Estriégana
19117,ES-GU,ES-CM,Fontanar
19118,ES-GU,ES-CM,Fuembellida
19119,ES-GU,ES-CM,Fuencemillán
19120,ES-GU,ES-CM,Fuentelahiguera de Albatages
19121,ES-GU,ES-CM,Fuentelencina
19122,ES-GU,ES-CM,Fuentelsaz
19123,ES-GU,ES-CM,Fuentelviejo
19124,ES-GU,ES-CM,Fuentenovilla
19125,ES-GU,ES-CM,Gajanejos
19126,ES-GU,ES-CM,Galápagos
19127,ES-GU,ES-CM,Galve de Sorbe
19129,ES-GU,ES-CM,Gascueña de Bornova
19130,ES-GU,ES-CM,Guadalajara
19132,ES-GU,ES-CM,Henche
19133,ES-GU,ES-CM,Heras de Ayuso
19134,ES-GU,ES-CM,Herrería
19135,ES-GU,ES-CM,Hiendelaencina
19136,ES-GU,ES-CM,Hijes
19138,ES-GU,ES-CM,Hita
19139,ES-GU,ES-CM,Hombrados
19142,ES-GU,ES-CM,Hontoba
19143,ES-GU,ES-CM,Horche
19145,ES-GU,ES-CM,Hortezuela de Océn
19146,ES-GU,ES-CM,La Huerce
19147,ES-GU,ES-CM,Huérmeces del Cerro
19148,ES-GU,ES-CM,Huertahernando
19150,ES-GU,ES-CM,Hueva
19151,ES-GU,ES-CM,Humanes
19152,ES-GU,ES-CM,Illana
19153,ES-GU,ES-CM,Iniéstola
19154,ES-GU,ES-CM,Las Inviernas
19155,ES-GU,ES-CM,Irueste
19156,ES-GU,ES-CM,Jadraque
19157,ES-GU,ES-CM,Jirueque
19159,ES-GU,ES-CM,Ledanca
19160,ES-GU,ES-CM,Loranca de Tajuña
19161,ES-GU,ES-CM,Lupiana
19162,ES-GU,ES-CM,Luzaga
19163,ES-GU,ES-CM,Luzón
19165,ES-GU,ES-CM,Majaelrayo
19166,ES-GU,ES-CM,Málaga del Fresno
19167,ES-GU,ES-CM,Malaguilla
19168,ES-GU,ES-CM,Mandayona
19169,ES-GU,ES-CM,Mantiel
19170,ES-GU,ES-CM,Maranchón
19171,ES-GU,ES-CM,Marchamalo
19172,ES-GU,ES-CM,Masegoso de Tajuña
19173,ES-GU,ES-CM,Matarrubia
19174,ES-GU,ES-CM,Matillas
19175,ES-GU,ES-CM,Mazarete
19176,ES-GU,ES-CM,Mazuecos
19177,ES-GU,ES-CM,Medranda
19178,ES-GU,ES-CM,Megina
19179,ES-GU,ES-CM,Membrillera
19181,ES-GU,ES-CM,Miedes de Atienza
19182,ES-GU,ES-CM,La Mierla
19183,ES-GU,ES-CM,Milmarcos
19184,ES-GU,ES-CM,Millana
19185,ES-GU,ES-CM,La Miñosa
19186,ES-GU,ES-CM,Mirabueno
19187,ES-GU,ES-CM,Miralrío
19188,ES-GU,ES-CM,Mochales
19189,ES-GU,ES-CM,Mohernando
19190,ES-GU,ES-CM,Molina de Aragón
19191,ES-GU,ES-CM,Monasterio
19192,ES-GU,ES-CM,Mondéjar
19193,ES-GU,ES-CM,Montarrón
19194,ES-GU,ES-CM,Moratilla de los Meleros
