id,prov,ccaa,name
21001,ES-H,ES-AN,Alájar
21002,ES-H,ES-AN,Aljaraque
21003,ES-H,ES-AN,El Almendro
21004,ES-H,ES-AN,Almonaster la Real
21005,ES-H,ES-AN,Almonte
21006,ES-H,ES-AN,Alosno
21007,ES-H,ES-AN,Aracena
21008,ES-H,ES-AN,Aroche
21009,ES-H,ES-AN,Arroyomolinos de León
21010,ES-H,ES-AN,Ayamonte
21011,ES-H,ES-AN,Beas
21012,ES-H,ES-AN,Berrocal
21013,ES-H,ES-AN,Bollullos Par del Condado
21014,ES-H,ES-AN,Bonares
21015,ES-H,ES-AN,Cabezas Rubias
21016,ES-H,ES-AN,Cala
21017,ES-H,ES-AN,Calañas
21018,ES-H,ES-AN,El Campillo
21019,ES-H,ES-AN,Campofrío
21020,ES-H,ES-AN,Cañaveral de León
21021,ES-H,ES-AN,Cartaya
21022,ES-H,ES-AN,Castaño del Robledo
21023,ES-H,ES-AN,El Cerro de Andévalo
21024,ES-H,ES-AN,Corteconcepción
21025,ES-H,ES-AN,Cortegana
21026,ES-H,ES-AN,Cortelazor
21027,ES-H,ES-AN,Cumbres de Enmedio
21028,ES-H,ES-AN,Cumbres de San Bartolomé
21029,ES-H,ES-AN,Cumbres Mayores
21030,ES-H,ES-AN,Chucena
21031,ES-H,ES-AN,Encinasola
21032,ES-H,ES-AN,Escacena del Campo
21033,ES-H,ES-AN,Fuenteheridos
21034,ES-H,ES-AN,Galaroza
21035,ES-H,ES-AN,Gibraleón
21036,ES-H,ES-AN,La Granada de Río-Tinto
21037,ES-H,ES-AN,El Granado
21038,ES-H,ES-AN,Higuera de la Sierra
21039,ES-H,ES-AN,Hinojales
21040,ES-H,ES-AN,Hinojos
21041,ES-H,ES-AN,Huelva
21042,ES-H,ES-AN,Isla Cristina
21043,ES-H,ES-AN,Jabugo
21044,ES-H,ES-AN,Lepe
21045,ES-H,ES-AN,Linares de la Sierra
21046,ES-H,ES-AN,Lucena del Puerto
21047,ES-H,ES-AN,Manzanilla
21048,ES-H,ES-AN,Los Marines
21049,ES-H,ES-AN,Minas de Riotinto
21050,ES-H,ES-AN,Moguer
21051,ES-H,ES-AN,La Nava
21052,ES-H,ES-AN,Nerva
21053,ES-H,ES-AN,Niebla
21054,ES-H,ES-AN,La Palma del Condado
21055,ES-H,ES-AN,Palos de la Frontera
21056,ES-H,ES-AN,Paterna del Campo
21057,ES-H,ES-AN,Paymogo
21058,ES-H,ES-AN,Puebla de Guzmán
21059,ES-H,ES-AN,Puerto Moral
21060,ES-H,ES-AN,Punta Umbría
21061,ES-H,ES-AN,Rociana del Condado
21062,ES-H,ES-AN,Rosal de la Frontera
21063,ES-H,ES-AN,San Bartolomé de la Torre
21064,ES-H,ES-AN,San Juan del Puerto
21065,ES-H,ES-AN,Sanlúcar de Guadiana
21066,ES-H,ES-AN,San Silvestre de Guzmán
21067,ES-H,ES-AN,Santa Ana la Real
21068,ES-H,ES-AN,Santa Bárbara de Casa
21069,ES-H,ES-AN,Santa Olalla del Cala
21070,ES-H,ES-AN,Trigueros
21071,ES-H,ES-AN,Valdelarco
21072,ES-H,ES-AN,Valverde del Camino
21073,ES-H,ES-AN,Villablanca
21074,ES-H,ES-AN,Villalba del Alcor
21075,ES-H,ES-AN,Villanueva de las Cruces
21076,ES-H,ES-AN,Villanueva de los Castillejos
21077,ES-H,ES-AN,Villarrasa
21078,ES-H,ES-AN,Zalamea la Real
21079,ES-H,ES-AN,Zufre
21902,ES-H,ES-AN,La Zarza-Perrunal
