id;prov;ccaa;name
07001;ES-PM;ES-IB;Alaró
07002;ES-PM;ES-IB;Alaior
07003;ES-PM;ES-IB;Alcúdia
07004;ES-PM;ES-IB;Algaida
07005;ES-PM;ES-IB;Andratx
07006;ES-PM;ES-IB;Artà
07007;ES-PM;ES-IB;Banyalbufar
07008;ES-PM;ES-IB;Binissalem
07009;ES-PM;ES-IB;Búger
07010;ES-PM;ES-IB;Bunyola
07011;ES-PM;ES-IB;Calvià
07012;ES-PM;ES-IB;Campanet
07013;ES-PM;ES-IB;Campos
07014;ES-PM;ES-IB;Capdepera
07015;ES-PM;ES-IB;Ciutadella
07016;ES-PM;ES-IB;Consell
07017;ES-PM;ES-IB;Costitx
07018;ES-PM;ES-IB;Deià
07019;ES-PM;ES-IB;Escorca
07020;ES-PM;ES-IB;Esporles
07021;ES-PM;ES-IB;Estellencs
07022;ES-PM;ES-IB;Felanitx
07023;ES-PM;ES-IB;Ferreries
07024;ES-PM;ES-IB;Formentera
07025;ES-PM;ES-IB;Fornalutx
07026;ES-PM;ES-IB;Eivissa
07027;ES-PM;ES-IB;Inca
07028;ES-PM;ES-IB;Lloret de Vistalegre
07029;ES-PM;ES-IB;Lloseta
07030;ES-PM;ES-IB;Llubí
07031;ES-PM;ES-IB;Llucmajor
07032;ES-PM;ES-IB;Maó
07033;ES-PM;ES-IB;Manacor
07034;ES-PM;ES-IB;Mancor de la Vall
07035;ES-PM;ES-IB;Maria de la Salut
07036;ES-PM;ES-IB;Marratxí
07037;ES-PM;ES-IB;es Mercadal
07038;ES-PM;ES-IB;Montuïri
07039;ES-PM;ES-IB;Muro
07040;ES-PM;ES-IB;Palma
07041;ES-PM;ES-IB;Petra
07042;ES-PM;ES-IB;Pollença
07043;ES-PM;ES-IB;Porreres
07044;ES-PM;ES-IB;sa Pobla
07045;ES-PM;ES-IB;Puigpunyent
07046;ES-PM;ES-IB;Sant Antoni de Portmany
07047;ES-PM;ES-IB;Sencelles
07048;ES-PM;ES-IB;Sant Josep de sa Talaia
07049;ES-PM;ES-IB;Sant Joan
07050;ES-PM;ES-IB;Sant Joan de Labritja
07051;ES-PM;ES-IB;Sant Llorenç des Cardassar
07052;ES-PM;ES-IB;Sant Lluís
07053;ES-PM;ES-IB;Santa Eugènia
07054;ES-PM;ES-IB;Santa Eulària des Riu
07055;ES-PM;ES-IB;Santa Margalida
07056;ES-PM;ES-IB;Santa María del Camí
07057;ES-PM;ES-IB;Santanyí
07058;ES-PM;ES-IB;Selva
07059;ES-PM;ES-IB;ses Salines
07060;ES-PM;ES-IB;Sineu
07061;ES-PM;ES-IB;Sóller
07062;ES-PM;ES-IB;Son Servera
07063;ES-PM;ES-IB;Valldemossa
07064;ES-PM;ES-IB;es Castell
07065;ES-PM;ES-IB;Vilafranca de Bonany
07901;ES-PM;ES-IB;Ariany
07902;ES-PM;ES-IB;es Migjorn Gran
