id,prov,ccaa,name
23001,ES-J,ES-AN,Albanchez de Mágina
23002,ES-J,ES-AN,Alcalá la Real
23003,ES-J,ES-AN,Alcaudete
23004,ES-J,ES-AN,Aldeaquemada
23005,ES-J,ES-AN,Andújar
23006,ES-J,ES-AN,Arjona
23007,ES-J,ES-AN,Arjonilla
23008,ES-J,ES-AN,Arquillos
23009,ES-J,ES-AN,Baeza
23010,ES-J,ES-AN,Bailén
23011,ES-J,ES-AN,Baños de la Encina
23012,ES-J,ES-AN,Beas de Segura
23014,ES-J,ES-AN,Begíjar
23015,ES-J,ES-AN,Bélmez de la Moraleda
23016,ES-J,ES-AN,Benatae
23017,ES-J,ES-AN,Cabra del Santo Cristo
23018,ES-J,ES-AN,Cambil
23019,ES-J,ES-AN,Campillo de Arenas
23020,ES-J,ES-AN,Canena
23021,ES-J,ES-AN,Carboneros
23024,ES-J,ES-AN,La Carolina
23025,ES-J,ES-AN,Castellar
23026,ES-J,ES-AN,Castillo de Locubín
23027,ES-J,ES-AN,Cazalilla
23028,ES-J,ES-AN,Cazorla
23029,ES-J,ES-AN,Chiclana de Segura
23030,ES-J,ES-AN,Chilluévar
23031,ES-J,ES-AN,Escañuela
23032,ES-J,ES-AN,Espeluy
23033,ES-J,ES-AN,Frailes
23034,ES-J,ES-AN,Fuensanta de Martos
23035,ES-J,ES-AN,Fuerte del Rey
23037,ES-J,ES-AN,Génave
23038,ES-J,ES-AN,La Guardia de Jaén
23039,ES-J,ES-AN,Guarromán
23040,ES-J,ES-AN,Lahiguera
23041,ES-J,ES-AN,Higuera de Calatrava
23042,ES-J,ES-AN,Hinojares
23043,ES-J,ES-AN,Hornos
23044,ES-J,ES-AN,Huelma
23045,ES-J,ES-AN,Huesa
23046,ES-J,ES-AN,Ibros
23047,ES-J,ES-AN,La Iruela
23048,ES-J,ES-AN,Iznatoraf
23049,ES-J,ES-AN,Jabalquinto
23050,ES-J,ES-AN,Jaén
23051,ES-J,ES-AN,Jamilena
23052,ES-J,ES-AN,Jimena
23053,ES-J,ES-AN,Jódar
23054,ES-J,ES-AN,Larva
23055,ES-J,ES-AN,Linares
23056,ES-J,ES-AN,Lopera
23057,ES-J,ES-AN,Lupión
23058,ES-J,ES-AN,Mancha Real
23059,ES-J,ES-AN,Marmolejo
23060,ES-J,ES-AN,Martos
23061,ES-J,ES-AN,Mengíbar
23062,ES-J,ES-AN,Montizón
23063,ES-J,ES-AN,Navas de San Juan
23064,ES-J,ES-AN,Noalejo
23065,ES-J,ES-AN,Orcera
23066,ES-J,ES-AN,Peal de Becerro
23067,ES-J,ES-AN,Pegalajar
23069,ES-J,ES-AN,Porcuna
23070,ES-J,ES-AN,Pozo Alcón
23071,ES-J,ES-AN,Puente de Génave
23072,ES-J,ES-AN,La Puerta de Segura
23073,ES-J,ES-AN,Quesada
23074,ES-J,ES-AN,Rus
23075,ES-J,ES-AN,Sabiote
23076,ES-J,ES-AN,Santa Elena
23077,ES-J,ES-AN,Santiago de Calatrava
23079,ES-J,ES-AN,Santisteban del Puerto
23080,ES-J,ES-AN,Santo Tomé
23081,ES-J,ES-AN,Segura de la Sierra
23082,ES-J,ES-AN,Siles
23084,ES-J,ES-AN,Sorihuela del Guadalimar
23085,ES-J,ES-AN,Torreblascopedro
23086,ES-J,ES-AN,Torre del Campo
23087,ES-J,ES-AN,Torredonjimeno
23088,ES-J,ES-AN,Torreperogil
23090,ES-J,ES-AN,Torres
23091,ES-J,ES-AN,Torres de Albánchez
23092,ES-J,ES-AN,Úbeda
23093,ES-J,ES-AN,Valdepeñas de Jaén
23094,ES-J,ES-AN,Vilches
23095,ES-J,ES-AN,Villacarrillo
23096,ES-J,ES-AN,Villanueva de la Reina
23097,ES-J,ES-AN,Villanueva del Arzobispo
23098,ES-J,ES-AN,Villardompardo
23099,ES-J,ES-AN,Los Villares
23101,ES-J,ES-AN,Villarrodrigo
23901,ES-J,ES-AN,Cárcheles
23902,ES-J,ES-AN,Bedmar y Garcíez
23903,ES-J,ES-AN,Villatorres
23904,ES-J,ES-AN,Santiago-Pontones
23905,ES-J,ES-AN,Arroyo del Ojanco
