id,prov,ccaa,name
25001,ES-L,ES-CT,Abella de la Conca
25002,ES-L,ES-CT,Àger
25003,ES-L,ES-CT,Agramunt
25004,ES-L,ES-CT,els Alamús
25005,ES-L,ES-CT,Alàs i Cerc
25006,ES-L,ES-CT,l'Albagés
25007,ES-L,ES-CT,Albatàrrec
25008,ES-L,ES-CT,Albesa
25009,ES-L,ES-CT,l'Albi
25010,ES-L,ES-CT,Alcanó
25011,ES-L,ES-CT,Alcarràs
25012,ES-L,ES-CT,Alcoletge
25013,ES-L,ES-CT,Alfarràs
25014,ES-L,ES-CT,Alfés
25015,ES-L,ES-CT,Algerri
25016,ES-L,ES-CT,Alguaire
25017,ES-L,ES-CT,Alins
25019,ES-L,ES-CT,Almacelles
25020,ES-L,ES-CT,Almatret
25021,ES-L,ES-CT,Almenar
25022,ES-L,ES-CT,Alòs de Balaguer
25023,ES-L,ES-CT,Alpicat
25024,ES-L,ES-CT,Alt Àneu
25025,ES-L,ES-CT,Naut Aran
25027,ES-L,ES-CT,Anglesola
25029,ES-L,ES-CT,Arbeca
25030,ES-L,ES-CT,el Pont de Bar
25031,ES-L,ES-CT,Arres
25032,ES-L,ES-CT,Arsèguel
25033,ES-L,ES-CT,Artesa de Lleida
25034,ES-L,ES-CT,Artesa de Segre
25035,ES-L,ES-CT,la Sentiu de Sió
25036,ES-L,ES-CT,Aspa
25037,ES-L,ES-CT,les Avellanes i Santa Linya
25038,ES-L,ES-CT,Aitona
25039,ES-L,ES-CT,Baix Pallars
25040,ES-L,ES-CT,Balaguer
25041,ES-L,ES-CT,Barbens
25042,ES-L,ES-CT,la Baronia de Rialb
25043,ES-L,ES-CT,la Vall de Boí
25044,ES-L,ES-CT,Bassella
25045,ES-L,ES-CT,Bausen
25046,ES-L,ES-CT,Belianes
25047,ES-L,ES-CT,Bellcaire d'Urgell
25048,ES-L,ES-CT,Bell-lloc d'Urgell
25049,ES-L,ES-CT,Bellmunt d'Urgell
25050,ES-L,ES-CT,Bellpuig
25051,ES-L,ES-CT,Bellver de Cerdanya
25052,ES-L,ES-CT,Bellvís
25053,ES-L,ES-CT,Benavent de Segrià
25055,ES-L,ES-CT,Biosca
25056,ES-L,ES-CT,Bovera
25057,ES-L,ES-CT,es Bòrdes
25058,ES-L,ES-CT,les Borges Blanques
25059,ES-L,ES-CT,Bossòst
25060,ES-L,ES-CT,Cabanabona
25061,ES-L,ES-CT,Cabó
25062,ES-L,ES-CT,Camarasa
25063,ES-L,ES-CT,Canejan
25064,ES-L,ES-CT,Castellar de la Ribera
25067,ES-L,ES-CT,Castelldans
25068,ES-L,ES-CT,Castellnou de Seana
25069,ES-L,ES-CT,Castelló de Farfanya
25070,ES-L,ES-CT,Castellserà
25071,ES-L,ES-CT,Cava
25072,ES-L,ES-CT,Cervera
25073,ES-L,ES-CT,Cervià de les Garrigues
25074,ES-L,ES-CT,Ciutadilla
25075,ES-L,ES-CT,Clariana de Cardener
25076,ES-L,ES-CT,el Cogul
25077,ES-L,ES-CT,Coll de Nargó
25078,ES-L,ES-CT,Corbins
25079,ES-L,ES-CT,Cubells
25081,ES-L,ES-CT,l'Espluga Calba
25082,ES-L,ES-CT,Espot
25085,ES-L,ES-CT,Estaràs
25086,ES-L,ES-CT,Esterri d'Àneu
25087,ES-L,ES-CT,Esterri de Cardós
25088,ES-L,ES-CT,Estamariu
25089,ES-L,ES-CT,Farrera
25092,ES-L,ES-CT,la Floresta
25093,ES-L,ES-CT,Fondarella
25094,ES-L,ES-CT,Foradada
25096,ES-L,ES-CT,la Fuliola
25097,ES-L,ES-CT,Fulleda
25098,ES-L,ES-CT,Gavet de la Conca
25099,ES-L,ES-CT,Golmés
25100,ES-L,ES-CT,Gósol
25101,ES-L,ES-CT,la Granadella
25102,ES-L,ES-CT,la Granja d'Escarp
25103,ES-L,ES-CT,Granyanella
25104,ES-L,ES-CT,Granyena de Segarra
25105,ES-L,ES-CT,Granyena de les Garrigues
25109,ES-L,ES-CT,Guimerà
25110,ES-L,ES-CT,Guissona
25111,ES-L,ES-CT,Guixers
25112,ES-L,ES-CT,Ivars de Noguera
25113,ES-L,ES-CT,Ivars d'Urgell
25114,ES-L,ES-CT,Ivorra
25115,ES-L,ES-CT,Isona i Conca Dellà
25118,ES-L,ES-CT,Juncosa
25119,ES-L,ES-CT,Juneda
25120,ES-L,ES-CT,Lleida
25121,ES-L,ES-CT,Les
25122,ES-L,ES-CT,Linyola
25123,ES-L,ES-CT,Lladorre
25124,ES-L,ES-CT,Lladurs
25125,ES-L,ES-CT,Llardecans
25126,ES-L,ES-CT,Llavorsí
25127,ES-L,ES-CT,Lles de Cerdanya
25128,ES-L,ES-CT,Llimiana
25129,ES-L,ES-CT,Llobera
25130,ES-L,ES-CT,Maldà
25131,ES-L,ES-CT,Massalcoreig
25132,ES-L,ES-CT,Massoteres
25133,ES-L,ES-CT,Maials
25134,ES-L,ES-CT,Menàrguens
25135,ES-L,ES-CT,Miralcamp
25136,ES-L,ES-CT,la Molsosa
25137,ES-L,ES-CT,Mollerussa
25138,ES-L,ES-CT,Montgai
25139,ES-L,ES-CT,Montellà i Martinet
25140,ES-L,ES-CT,Montferrer i Castellbò
25141,ES-L,ES-CT,Montoliu de Segarra
25142,ES-L,ES-CT,Montoliu de Lleida
25143,ES-L,ES-CT,Montornès de Segarra
25145,ES-L,ES-CT,Nalec
25146,ES-L,ES-CT,Navès
25148,ES-L,ES-CT,Odèn
25149,ES-L,ES-CT,Oliana
25150,ES-L,ES-CT,Oliola
25151,ES-L,ES-CT,Olius
25152,ES-L,ES-CT,les Oluges
25153,ES-L,ES-CT,els Omellons
25154,ES-L,ES-CT,els Omells de na Gaia
25155,ES-L,ES-CT,Organyà
25156,ES-L,ES-CT,Os de Balaguer
25157,ES-L,ES-CT,Ossó de Sió
25158,ES-L,ES-CT,el Palau d'Anglesola
25161,ES-L,ES-CT,Conca de Dalt
25163,ES-L,ES-CT,la Coma i la Pedra
25164,ES-L,ES-CT,Penelles
25165,ES-L,ES-CT,Peramola
25166,ES-L,ES-CT,Pinell de Solsonès
25167,ES-L,ES-CT,Pinós
25168,ES-L,ES-CT,el Poal
25169,ES-L,ES-CT,la Pobla de Cérvoles
25170,ES-L,ES-CT,Bellaguarda
25171,ES-L,ES-CT,la Pobla de Segur
25172,ES-L,ES-CT,Ponts
25173,ES-L,ES-CT,el Pont de Suert
25174,ES-L,ES-CT,la Portella
25175,ES-L,ES-CT,Prats i Sansor
25176,ES-L,ES-CT,Preixana
25177,ES-L,ES-CT,Preixens
25179,ES-L,ES-CT,Prullans
25180,ES-L,ES-CT,Puiggròs
25181,ES-L,ES-CT,Puigverd d'Agramunt
25182,ES-L,ES-CT,Puigverd de Lleida
25183,ES-L,ES-CT,Rialp
25185,ES-L,ES-CT,Ribera d'Urgellet
25186,ES-L,ES-CT,Riner
25189,ES-L,ES-CT,Rosselló
25190,ES-L,ES-CT,Salàs de Pallars
25191,ES-L,ES-CT,Sanaüja
25192,ES-L,ES-CT,Sant Guim de Freixenet
25193,ES-L,ES-CT,Sant Llorenç de Morunys
25194,ES-L,ES-CT,Sant Ramon
25196,ES-L,ES-CT,Sant Esteve de la Sarga
25197,ES-L,ES-CT,Sant Guim de la Plana
25200,ES-L,ES-CT,Sarroca de Lleida
25201,ES-L,ES-CT,Sarroca de Bellera
25202,ES-L,ES-CT,Senterada
25203,ES-L,ES-CT,la Seu d'Urgell
25204,ES-L,ES-CT,Seròs
25205,ES-L,ES-CT,Sidamon
25206,ES-L,ES-CT,el Soleràs
25207,ES-L,ES-CT,Solsona
25208,ES-L,ES-CT,Soriguera
25209,ES-L,ES-CT,Sort
25210,ES-L,ES-CT,Soses
25211,ES-L,ES-CT,Sudanell
25212,ES-L,ES-CT,Sunyer
25215,ES-L,ES-CT,Talarn
25216,ES-L,ES-CT,Talavera
25217,ES-L,ES-CT,Tàrrega
25218,ES-L,ES-CT,Tarrés
25219,ES-L,ES-CT,Tarroja de Segarra
25220,ES-L,ES-CT,Térmens
25221,ES-L,ES-CT,Tírvia
25222,ES-L,ES-CT,Tiurana
25223,ES-L,ES-CT,Torà
25224,ES-L,ES-CT,els Torms
25225,ES-L,ES-CT,Tornabous
25226,ES-L,ES-CT,Torrebesses
25227,ES-L,ES-CT,la Torre de Cabdella
25228,ES-L,ES-CT,Torrefarrera
25230,ES-L,ES-CT,Torregrossa
25231,ES-L,ES-CT,Torrelameu
25232,ES-L,ES-CT,Torres de Segre
25233,ES-L,ES-CT,Torre-serona
25234,ES-L,ES-CT,Tremp
25238,ES-L,ES-CT,Vallbona de les Monges
25239,ES-L,ES-CT,les Valls de Valira
25240,ES-L,ES-CT,Vallfogona de Balaguer
25242,ES-L,ES-CT,Verdú
25243,ES-L,ES-CT,Vielha e Mijaran
25244,ES-L,ES-CT,Vilagrassa
25245,ES-L,ES-CT,Vilaller
25247,ES-L,ES-CT,Vilamòs
25248,ES-L,ES-CT,Vilanova de Bellpuig
25249,ES-L,ES-CT,Vilanova de l'Aguda
25250,ES-L,ES-CT,Vilanova de Meià
25251,ES-L,ES-CT,Vilanova de Segrià
25252,ES-L,ES-CT,Vila-sana
25253,ES-L,ES-CT,el Vilosell
25254,ES-L,ES-CT,Vilanova de la Barca
25255,ES-L,ES-CT,Vinaixa
25901,ES-L,ES-CT,Vall de Cardós
25902,ES-L,ES-CT,Sant Martí de Riucorb
25903,ES-L,ES-CT,La Guingueta d'Àneu
25904,ES-L,ES-CT,Castell de Mur
25905,ES-L,ES-CT,Ribera d'Ondara
