id,prov,ccaa,name
-10985729,ES-LE,ES-CL,Mancomunidad de Villagatón y Quintana del Castillo
24001,ES-LE,ES-CL,Acebedo
24002,ES-LE,ES-CL,Algadefe
24003,ES-LE,ES-CL,Alija del Infantado
24004,ES-LE,ES-CL,Almanza
24005,ES-LE,ES-CL,La Antigua
24006,ES-LE,ES-CL,Ardón
24007,ES-LE,ES-CL,Arganza
24008,ES-LE,ES-CL,Astorga
24009,ES-LE,ES-CL,Balboa
24010,ES-LE,ES-CL,La Bañeza
24011,ES-LE,ES-CL,Barjas
24012,ES-LE,ES-CL,Los Barrios de Luna
24014,ES-LE,ES-CL,Bembibre
24015,ES-LE,ES-CL,Benavides
24016,ES-LE,ES-CL,Benuza
24017,ES-LE,ES-CL,Bercianos del Páramo
24018,ES-LE,ES-CL,Bercianos del Real Camino
24019,ES-LE,ES-CL,Berlanga del Bierzo
24020,ES-LE,ES-CL,Boca de Huérgano
24021,ES-LE,ES-CL,Boñar
24022,ES-LE,ES-CL,Borrenes
24023,ES-LE,ES-CL,Brazuelo
24024,ES-LE,ES-CL,El Burgo Ranero
24025,ES-LE,ES-CL,Burón
24026,ES-LE,ES-CL,Bustillo del Páramo
24027,ES-LE,ES-CL,Cabañas Raras
24028,ES-LE,ES-CL,Cabreros del Río
24029,ES-LE,ES-CL,Cabrillanes
24030,ES-LE,ES-CL,Cacabelos
24031,ES-LE,ES-CL,Calzada del Coto
24032,ES-LE,ES-CL,Campazas
24033,ES-LE,ES-CL,Campo de Villavidel
24034,ES-LE,ES-CL,Camponaraya
24036,ES-LE,ES-CL,Candín
24037,ES-LE,ES-CL,Cármenes
24038,ES-LE,ES-CL,Carracedelo
24039,ES-LE,ES-CL,Carrizo
24040,ES-LE,ES-CL,Carrocera
24041,ES-LE,ES-CL,Carucedo
24042,ES-LE,ES-CL,Castilfalé
24043,ES-LE,ES-CL,Castrillo de Cabrera
24044,ES-LE,ES-CL,Castrillo de la Valduerna
24046,ES-LE,ES-CL,Castrocalbón
24047,ES-LE,ES-CL,Castrocontrigo
24049,ES-LE,ES-CL,Castropodame
24050,ES-LE,ES-CL,Castrotierra de Valmadrigal
24051,ES-LE,ES-CL,Cea
24052,ES-LE,ES-CL,Cebanico
24053,ES-LE,ES-CL,Cebrones del Río
24054,ES-LE,ES-CL,Cimanes de la Vega
24055,ES-LE,ES-CL,Cimanes del Tejar
24056,ES-LE,ES-CL,Cistierna
24057,ES-LE,ES-CL,Congosto
24058,ES-LE,ES-CL,Corbillos de los Oteros
24059,ES-LE,ES-CL,Corullón
24060,ES-LE,ES-CL,Crémenes
24061,ES-LE,ES-CL,Cuadros
24062,ES-LE,ES-CL,Cubillas de los Oteros
24063,ES-LE,ES-CL,Cubillas de Rueda
24064,ES-LE,ES-CL,Cubillos del Sil
24065,ES-LE,ES-CL,Chozas de Abajo
24066,ES-LE,ES-CL,Destriana
24067,ES-LE,ES-CL,Encinedo
24068,ES-LE,ES-CL,La Ercina
24069,ES-LE,ES-CL,Escobar de Campos
24070,ES-LE,ES-CL,Fabero
24071,ES-LE,ES-CL,Folgoso de la Ribera
24073,ES-LE,ES-CL,Fresno de la Vega
24074,ES-LE,ES-CL,Fuentes de Carbajal
24076,ES-LE,ES-CL,Garrafe de Torío
24077,ES-LE,ES-CL,Gordaliza del Pino
24078,ES-LE,ES-CL,Gordoncillo
24079,ES-LE,ES-CL,Gradefes
24080,ES-LE,ES-CL,Grajal de Campos
24081,ES-LE,ES-CL,Gusendos de los Oteros
24082,ES-LE,ES-CL,Hospital de Órbigo
24083,ES-LE,ES-CL,Igüeña
24084,ES-LE,ES-CL,Izagre
24086,ES-LE,ES-CL,Joarilla de las Matas
24087,ES-LE,ES-CL,Laguna Dalga
24088,ES-LE,ES-CL,Laguna de Negrillos
24089,ES-LE,ES-CL,León
24090,ES-LE,ES-CL,Lucillo
24091,ES-LE,ES-CL,Luyego
24092,ES-LE,ES-CL,Llamas de la Ribera
24093,ES-LE,ES-CL,Magaz de Cepeda
24094,ES-LE,ES-CL,Mansilla de las Mulas
24095,ES-LE,ES-CL,Mansilla Mayor
24096,ES-LE,ES-CL,Maraña
24097,ES-LE,ES-CL,Matadeón de los Oteros
24098,ES-LE,ES-CL,Matallana de Torío
24099,ES-LE,ES-CL,Matanza
24100,ES-LE,ES-CL,Molinaseca
24101,ES-LE,ES-CL,Murias de Paredes
24102,ES-LE,ES-CL,Noceda del Bierzo
24103,ES-LE,ES-CL,Oencia
24104,ES-LE,ES-CL,Las Omañas
24105,ES-LE,ES-CL,Onzonilla
24106,ES-LE,ES-CL,Oseja de Sajambre
24107,ES-LE,ES-CL,Pajares de los Oteros
24108,ES-LE,ES-CL,Palacios de la Valduerna
24109,ES-LE,ES-CL,Palacios del Sil
24110,ES-LE,ES-CL,Páramo del Sil
24112,ES-LE,ES-CL,Peranzanes
24113,ES-LE,ES-CL,Pobladura de Pelayo García
24114,ES-LE,ES-CL,La Pola de Gordón
24115,ES-LE,ES-CL,Ponferrada
24116,ES-LE,ES-CL,Posada de Valdeón
24117,ES-LE,ES-CL,Pozuelo del Páramo
24118,ES-LE,ES-CL,Prado de la Guzpeña
24119,ES-LE,ES-CL,Priaranza del Bierzo
24120,ES-LE,ES-CL,Prioro
24121,ES-LE,ES-CL,Puebla de Lillo
24122,ES-LE,ES-CL,Puente de Domingo Flórez
24123,ES-LE,ES-CL,Quintana del Castillo
24124,ES-LE,ES-CL,Quintana del Marco
24125,ES-LE,ES-CL,Quintana y Congosto
24127,ES-LE,ES-CL,Regueras de Arriba
24129,ES-LE,ES-CL,Reyero
24130,ES-LE,ES-CL,Riaño
24131,ES-LE,ES-CL,Riego de la Vega
24132,ES-LE,ES-CL,Riello
24133,ES-LE,ES-CL,Rioseco de Tapia
24134,ES-LE,ES-CL,La Robla
24136,ES-LE,ES-CL,Roperuelos del Páramo
24137,ES-LE,ES-CL,Sabero
24139,ES-LE,ES-CL,Sahagún
24141,ES-LE,ES-CL,San Adrián del Valle
24142,ES-LE,ES-CL,San Andrés del Rabanedo
24143,ES-LE,ES-CL,Sancedo
24144,ES-LE,ES-CL,San Cristóbal de la Polantera
24145,ES-LE,ES-CL,San Emiliano
24146,ES-LE,ES-CL,San Esteban de Nogales
24148,ES-LE,ES-CL,San Justo de la Vega
24149,ES-LE,ES-CL,San Millán de los Caballeros
24150,ES-LE,ES-CL,San Pedro Bercianos
24151,ES-LE,ES-CL,Santa Colomba de Curueño
24152,ES-LE,ES-CL,Santa Colomba de Somoza
24153,ES-LE,ES-CL,Santa Cristina de Valmadrigal
24154,ES-LE,ES-CL,Santa Elena de Jamuz
24155,ES-LE,ES-CL,Santa María de la Isla
24156,ES-LE,ES-CL,Santa María del Monte de Cea
24157,ES-LE,ES-CL,Santa María del Páramo
24158,ES-LE,ES-CL,Santa María de Ordás
24159,ES-LE,ES-CL,Santa Marina del Rey
24160,ES-LE,ES-CL,Santas Martas
24161,ES-LE,ES-CL,Santiago Millas
24162,ES-LE,ES-CL,Santovenia de la Valdoncina
24163,ES-LE,ES-CL,Sariegos
24164,ES-LE,ES-CL,Sena de Luna
24165,ES-LE,ES-CL,Sobrado
24166,ES-LE,ES-CL,Soto de la Vega
24167,ES-LE,ES-CL,Soto y Amío
24168,ES-LE,ES-CL,Toral de los Guzmanes
24169,ES-LE,ES-CL,Toreno
24170,ES-LE,ES-CL,Torre del Bierzo
24171,ES-LE,ES-CL,Trabadelo
24172,ES-LE,ES-CL,Truchas
24173,ES-LE,ES-CL,Turcia
24174,ES-LE,ES-CL,Urdiales del Páramo
24175,ES-LE,ES-CL,Valdefresno
24176,ES-LE,ES-CL,Valdefuentes del Páramo
24177,ES-LE,ES-CL,Valdelugueros
24178,ES-LE,ES-CL,Valdemora
24179,ES-LE,ES-CL,Valdepiélago
24180,ES-LE,ES-CL,Valdepolo
24181,ES-LE,ES-CL,Valderas
24182,ES-LE,ES-CL,Valderrey
24183,ES-LE,ES-CL,Valderrueda
24184,ES-LE,ES-CL,Valdesamario
24185,ES-LE,ES-CL,Val de San Lorenzo
24187,ES-LE,ES-CL,Valdevimbre
24188,ES-LE,ES-CL,Valencia de Don Juan
24189,ES-LE,ES-CL,Valverde de la Virgen
24190,ES-LE,ES-CL,Valverde-Enrique
24191,ES-LE,ES-CL,Vallecillo
24193,ES-LE,ES-CL,La Vecilla
24194,ES-LE,ES-CL,Vegacervera
24196,ES-LE,ES-CL,Vega de Espinareda
24197,ES-LE,ES-CL,Vega de Infanzones
24198,ES-LE,ES-CL,Vega de Valcarce
24199,ES-LE,ES-CL,Vegaquemada
24201,ES-LE,ES-CL,Vegas del Condado
24202,ES-LE,ES-CL,Villablino
24203,ES-LE,ES-CL,Villabraz
24205,ES-LE,ES-CL,Villadangos del Páramo
24206,ES-LE,ES-CL,Toral de los Vados
24207,ES-LE,ES-CL,Villademor de la Vega
24209,ES-LE,ES-CL,Villafranca del Bierzo
24210,ES-LE,ES-CL,Villagatón
24211,ES-LE,ES-CL,Villamandos
24212,ES-LE,ES-CL,Villamañán
24213,ES-LE,ES-CL,Villamartín de Don Sancho
24214,ES-LE,ES-CL,Villamejil
24215,ES-LE,ES-CL,Villamol
24216,ES-LE,ES-CL,Villamontán de la Valduerna
24217,ES-LE,ES-CL,Villamoratiel de las Matas
24218,ES-LE,ES-CL,Villanueva de las Manzanas
24219,ES-LE,ES-CL,Villaobispo de Otero
24221,ES-LE,ES-CL,Villaquejida
24222,ES-LE,ES-CL,Villaquilambre
24223,ES-LE,ES-CL,Villarejo de Órbigo
24224,ES-LE,ES-CL,Villares de Órbigo
24225,ES-LE,ES-CL,Villasabariego
24226,ES-LE,ES-CL,Villaselán
24227,ES-LE,ES-CL,Villaturiel
24228,ES-LE,ES-CL,Villazala
24229,ES-LE,ES-CL,Villazanzo de Valderaduey
24230,ES-LE,ES-CL,Zotes del Páramo
24901,ES-LE,ES-CL,Villamanín
24902,ES-LE,ES-CL,Villaornate y Castro
-347492,ES-LE,ES-CL,Comunidad de Castrotierra de la Valduerna
53053,ES-LE,ES-CL,Comunidad de Soto de la Vega y Villazala
