id,prov,ccaa,name
27001,ES-LU,ES-GA,Abadín
27002,ES-LU,ES-GA,Alfoz
27003,ES-LU,ES-GA,Antas de Ulla
27004,ES-LU,ES-GA,Baleira
27005,ES-LU,ES-GA,Barreiros
27006,ES-LU,ES-GA,Becerreá
27007,ES-LU,ES-GA,Begonte
27008,ES-LU,ES-GA,Bóveda
27009,ES-LU,ES-GA,Carballedo
27010,ES-LU,ES-GA,Castro de Rei
27011,ES-LU,ES-GA,Castroverde
27012,ES-LU,ES-GA,Cervantes
27013,ES-LU,ES-GA,Cervo
27014,ES-LU,ES-GA,O Corgo
27015,ES-LU,ES-GA,Cospeito
27016,ES-LU,ES-GA,Chantada
27017,ES-LU,ES-GA,Folgoso do Courel
27018,ES-LU,ES-GA,A Fonsagrada
27019,ES-LU,ES-GA,Foz
27020,ES-LU,ES-GA,Friol
27021,ES-LU,ES-GA,Xermade
27022,ES-LU,ES-GA,Guitiriz
27023,ES-LU,ES-GA,Guntín
27024,ES-LU,ES-GA,O Incio
27025,ES-LU,ES-GA,Xove
27026,ES-LU,ES-GA,Láncara
27027,ES-LU,ES-GA,Lourenzá
27028,ES-LU,ES-GA,Lugo
27029,ES-LU,ES-GA,Meira
27030,ES-LU,ES-GA,Mondoñedo
27031,ES-LU,ES-GA,Monforte de Lemos
27032,ES-LU,ES-GA,Monterroso
27033,ES-LU,ES-GA,Muras
27034,ES-LU,ES-GA,Navia de Suarna
27035,ES-LU,ES-GA,Negueira de Muñiz
27037,ES-LU,ES-GA,As Nogais
27038,ES-LU,ES-GA,Ourol
27039,ES-LU,ES-GA,Outeiro de Rei
27040,ES-LU,ES-GA,Palas de Rei
27041,ES-LU,ES-GA,Pantón
27042,ES-LU,ES-GA,Paradela
27043,ES-LU,ES-GA,O Páramo
27044,ES-LU,ES-GA,A Pastoriza
27045,ES-LU,ES-GA,Pedrafita do Cebreiro
27046,ES-LU,ES-GA,Pol
27047,ES-LU,ES-GA,A Pobra do Brollón
27048,ES-LU,ES-GA,A Pontenova
27049,ES-LU,ES-GA,Portomarín
27050,ES-LU,ES-GA,Quiroga
27051,ES-LU,ES-GA,Ribadeo
27052,ES-LU,ES-GA,Ribas de Sil
27053,ES-LU,ES-GA,Ribeira de Piquín
27054,ES-LU,ES-GA,Riotorto
27055,ES-LU,ES-GA,Samos
27056,ES-LU,ES-GA,Rábade
27057,ES-LU,ES-GA,Sarria
27058,ES-LU,ES-GA,O Saviñao
27059,ES-LU,ES-GA,Sober
27060,ES-LU,ES-GA,Taboada
27061,ES-LU,ES-GA,Trabada
27062,ES-LU,ES-GA,Triacastela
27063,ES-LU,ES-GA,O Valadouro
27064,ES-LU,ES-GA,O Vicedo
27065,ES-LU,ES-GA,Vilalba
27066,ES-LU,ES-GA,Viveiro
27901,ES-LU,ES-GA,Baralla
27902,ES-LU,ES-GA,Burela
