id,prov,ccaa,name
29001,ES-MA,ES-AN,Alameda
29002,ES-MA,ES-AN,Alcaucín
29003,ES-MA,ES-AN,Alfarnate
29004,ES-MA,ES-AN,Alfarnatejo
29005,ES-MA,ES-AN,Algarrobo
29006,ES-MA,ES-AN,Algatocín
29007,ES-MA,ES-AN,Alhaurín de la Torre
29008,ES-MA,ES-AN,Alhaurín el Grande
29009,ES-MA,ES-AN,Almáchar
29010,ES-MA,ES-AN,Almargen
29011,ES-MA,ES-AN,Almogía
29012,ES-MA,ES-AN,Álora
29013,ES-MA,ES-AN,Alozaina
29014,ES-MA,ES-AN,Alpandeire
29015,ES-MA,ES-AN,Antequera
29016,ES-MA,ES-AN,Árchez
29017,ES-MA,ES-AN,Archidona
29018,ES-MA,ES-AN,Ardales
29019,ES-MA,ES-AN,Arenas
29020,ES-MA,ES-AN,Arriate
29021,ES-MA,ES-AN,Atajate
29022,ES-MA,ES-AN,Benadalid
29023,ES-MA,ES-AN,Benahavís
29024,ES-MA,ES-AN,Benalauría
29025,ES-MA,ES-AN,Benalmádena
29026,ES-MA,ES-AN,Benamargosa
29027,ES-MA,ES-AN,Benamocarra
29028,ES-MA,ES-AN,Benaoján
29029,ES-MA,ES-AN,Benarrabá
29030,ES-MA,ES-AN,El Borge
29031,ES-MA,ES-AN,El Burgo
29032,ES-MA,ES-AN,Campillos
29033,ES-MA,ES-AN,Canillas de Aceituno
29034,ES-MA,ES-AN,Canillas de Albaida
29035,ES-MA,ES-AN,Cañete la Real
29036,ES-MA,ES-AN,Carratraca
29037,ES-MA,ES-AN,Cartajima
29038,ES-MA,ES-AN,Cártama
29039,ES-MA,ES-AN,Casabermeja
29040,ES-MA,ES-AN,Casarabonela
29041,ES-MA,ES-AN,Casares
29042,ES-MA,ES-AN,Coín
29043,ES-MA,ES-AN,Colmenar
29044,ES-MA,ES-AN,Comares
29045,ES-MA,ES-AN,Cómpeta
29046,ES-MA,ES-AN,Cortes de la Frontera
29047,ES-MA,ES-AN,Cuevas Bajas
29048,ES-MA,ES-AN,Cuevas del Becerro
29049,ES-MA,ES-AN,Cuevas de San Marcos
29050,ES-MA,ES-AN,Cútar
29051,ES-MA,ES-AN,Estepona
29052,ES-MA,ES-AN,Faraján
29053,ES-MA,ES-AN,Frigiliana
29054,ES-MA,ES-AN,Fuengirola
29055,ES-MA,ES-AN,Fuente de Piedra
29056,ES-MA,ES-AN,Gaucín
29057,ES-MA,ES-AN,Genalguacil
29058,ES-MA,ES-AN,Guaro
29059,ES-MA,ES-AN,Humilladero
29060,ES-MA,ES-AN,Igualeja
29061,ES-MA,ES-AN,Istán
29062,ES-MA,ES-AN,Iznate
29063,ES-MA,ES-AN,Jimera de Líbar
29064,ES-MA,ES-AN,Jubrique
29065,ES-MA,ES-AN,Júzcar
29066,ES-MA,ES-AN,Macharaviaya
29067,ES-MA,ES-AN,Málaga
29068,ES-MA,ES-AN,Manilva
29069,ES-MA,ES-AN,Marbella
29070,ES-MA,ES-AN,Mijas
29071,ES-MA,ES-AN,Moclinejo
29072,ES-MA,ES-AN,Mollina
29073,ES-MA,ES-AN,Monda
29074,ES-MA,ES-AN,Montejaque
29075,ES-MA,ES-AN,Nerja
29076,ES-MA,ES-AN,Ojén
29077,ES-MA,ES-AN,Parauta
29079,ES-MA,ES-AN,Periana
29080,ES-MA,ES-AN,Pizarra
29081,ES-MA,ES-AN,Pujerra
29082,ES-MA,ES-AN,Rincón de la Victoria
29083,ES-MA,ES-AN,Riogordo
29084,ES-MA,ES-AN,Ronda
29085,ES-MA,ES-AN,Salares
29086,ES-MA,ES-AN,Sayalonga
29087,ES-MA,ES-AN,Sedella
29088,ES-MA,ES-AN,Sierra de Yeguas
29089,ES-MA,ES-AN,Teba
29090,ES-MA,ES-AN,Tolox
29091,ES-MA,ES-AN,Torrox
29092,ES-MA,ES-AN,Totalán
29093,ES-MA,ES-AN,Valle de Abdalajís
29094,ES-MA,ES-AN,Vélez-Málaga
29095,ES-MA,ES-AN,Villanueva de Algaidas
29096,ES-MA,ES-AN,Villanueva del Rosario
29097,ES-MA,ES-AN,Villanueva del Trabuco
29098,ES-MA,ES-AN,Villanueva de Tapia
29099,ES-MA,ES-AN,Viñuela
29100,ES-MA,ES-AN,Yunquera
29901,ES-MA,ES-AN,Torremolinos
29902,ES-MA,ES-AN,Villanueva de la Concepción
29903,ES-MA,ES-AN,Montecorto
29904,ES-MA,ES-AN,Serrato
