id;prov;ccaa;name
30001;ES-MU;ES-MC;Abanilla
30002;ES-MU;ES-MC;Abarán
30003;ES-MU;ES-MC;Águilas
30004;ES-MU;ES-MC;Albudeite
30005;ES-MU;ES-MC;Alcantarilla
30006;ES-MU;ES-MC;Aledo
30007;ES-MU;ES-MC;Alguazas
30008;ES-MU;ES-MC;Alhama de Murcia
30009;ES-MU;ES-MC;Archena
30010;ES-MU;ES-MC;Beniel
30011;ES-MU;ES-MC;Blanca
30012;ES-MU;ES-MC;Bullas
30013;ES-MU;ES-MC;Calasparra
30014;ES-MU;ES-MC;Campos del Río
30015;ES-MU;ES-MC;Caravaca de la Cruz
30016;ES-MU;ES-MC;Cartagena
30017;ES-MU;ES-MC;Cehegín
30018;ES-MU;ES-MC;Ceutí
30019;ES-MU;ES-MC;Cieza
30020;ES-MU;ES-MC;Fortuna
30021;ES-MU;ES-MC;Fuente Álamo de Murcia
30022;ES-MU;ES-MC;Jumilla
30023;ES-MU;ES-MC;Librilla
30024;ES-MU;ES-MC;Lorca
30025;ES-MU;ES-MC;Lorquí
30026;ES-MU;ES-MC;Mazarrón
30027;ES-MU;ES-MC;Molina de Segura
30028;ES-MU;ES-MC;Moratalla
30029;ES-MU;ES-MC;Mula
30030;ES-MU;ES-MC;Murcia
30031;ES-MU;ES-MC;Ojós
30032;ES-MU;ES-MC;Pliego
30033;ES-MU;ES-MC;Puerto Lumbreras
30034;ES-MU;ES-MC;Ricote
30035;ES-MU;ES-MC;San Javier
30036;ES-MU;ES-MC;San Pedro del Pinatar
30037;ES-MU;ES-MC;Torre Pacheco
30038;ES-MU;ES-MC;Las Torres de Cotillas
30039;ES-MU;ES-MC;Totana
30040;ES-MU;ES-MC;Ulea
30041;ES-MU;ES-MC;La Unión
30042;ES-MU;ES-MC;Villanueva del Río Segura
30043;ES-MU;ES-MC;Yecla
30901;ES-MU;ES-MC;Santomera
30902;ES-MU;ES-MC;Los Alcázares
