id,prov,ccaa,name
-10305068,ES-NA,ES-NC,Facería 75
-10305069,ES-NA,ES-NC,Facería 32
-10305085,ES-NA,ES-NC,Facería 30
-10305106,ES-NA,ES-NC,Facería 24
-10305118,ES-NA,ES-NC,Facería 21
-10305119,ES-NA,ES-NC,Facería 108
-10305146,ES-NA,ES-NC,Facería 35
-10305147,ES-NA,ES-NC,Facería 63
-10305150,ES-NA,ES-NC,Facería 44
-10305151,ES-NA,ES-NC,Facería 43
-10305156,ES-NA,ES-NC,Facería 84
-10305171,ES-NA,ES-NC,Facería 79
-10305183,ES-NA,ES-NC,Facería 41
-10305184,ES-NA,ES-NC,Facería 40
-10305185,ES-NA,ES-NC,Facería 39
-10305186,ES-NA,ES-NC,Facería 45
-10305187,ES-NA,ES-NC,Facería 103
-10305188,ES-NA,ES-NC,Facería 85
-10305235,ES-NA,ES-NC,Facería 56
-10305236,ES-NA,ES-NC,Facería 55
-10305242,ES-NA,ES-NC,Facería 50
-10305244,ES-NA,ES-NC,Facería 52
-10305249,ES-NA,ES-NC,Facería 17
-10305250,ES-NA,ES-NC,Facería 14
-10305257,ES-NA,ES-NC,Facería 107
-10305258,ES-NA,ES-NC,Facería 106
-10305262,ES-NA,ES-NC,Facería 8
-10305272,ES-NA,ES-NC,Facería 28
-10305273,ES-NA,ES-NC,Facería 26
-10305299,ES-NA,ES-NC,Facería 38
-10305300,ES-NA,ES-NC,Facería 83
-10305329,ES-NA,ES-NC,Facería 36
-10305330,ES-NA,ES-NC,Facería 37
-10305348,ES-NA,ES-NC,Facería 82
-10305349,ES-NA,ES-NC,Facería 81
-10305368,ES-NA,ES-NC,Facería 49
-10305384,ES-NA,ES-NC,Facería 71
-10305385,ES-NA,ES-NC,Facería 76
-10305386,ES-NA,ES-NC,Facería 74
-10305528,ES-NA,ES-NC,Facería 15
-10305529,ES-NA,ES-NC,Facería 11
-10305530,ES-NA,ES-NC,Facería 92
-10305546,ES-NA,ES-NC,Facería 9
-10305574,ES-NA,ES-NC,Facería 10 / 10. partzuergoa
-10305575,ES-NA,ES-NC,Facería 2 / 2. partzuergoa
-10305580,ES-NA,ES-NC,Facería 16
-10305589,ES-NA,ES-NC,Facería 88
-10305598,ES-NA,ES-NC,Facería 86
-10305605,ES-NA,ES-NC,Facería 91
-10305606,ES-NA,ES-NC,Facería 87
-10305619,ES-NA,ES-NC,Facería 70
-10305674,ES-NA,ES-NC,Facería 22
-10305675,ES-NA,ES-NC,Facería 104
-10305682,ES-NA,ES-NC,Andia
31001,ES-NA,ES-NC,Abáigar
31002,ES-NA,ES-NC,Abárzuza/Abartzuza
31003,ES-NA,ES-NC,Abaurregaina / Abaurrea Alta
31004,ES-NA,ES-NC,Abaurrepea / Abaurrea Baja
31005,ES-NA,ES-NC,Aberin
31006,ES-NA,ES-NC,Ablitas
31007,ES-NA,ES-NC,Adiós
31008,ES-NA,ES-NC,Aguilar de Codés
31009,ES-NA,ES-NC,Aibar/Oibar
31010,ES-NA,ES-NC,Altsasu/Alsasua
31011,ES-NA,ES-NC,Allín / Allin
31012,ES-NA,ES-NC,Allo
31013,ES-NA,ES-NC,Améscoa Baja
31014,ES-NA,ES-NC,Ancín/Antzin
31015,ES-NA,ES-NC,Andosilla
31016,ES-NA,ES-NC,Ansoáin/Antsoain
31017,ES-NA,ES-NC,Anue
31018,ES-NA,ES-NC,Añorbe
31019,ES-NA,ES-NC,Aoiz/Agoitz
31020,ES-NA,ES-NC,Araitz
31021,ES-NA,ES-NC,Aranarache/Aranaratxe
31022,ES-NA,ES-NC,Arantza
31023,ES-NA,ES-NC,Aranguren
31024,ES-NA,ES-NC,Arano
31025,ES-NA,ES-NC,Arakil
31026,ES-NA,ES-NC,Aras
31027,ES-NA,ES-NC,Arbizu
31028,ES-NA,ES-NC,Arce/Artzi
31029,ES-NA,ES-NC,Los Arcos
31030,ES-NA,ES-NC,Arellano
31031,ES-NA,ES-NC,Areso
31032,ES-NA,ES-NC,Arguedas
31033,ES-NA,ES-NC,Aria
31034,ES-NA,ES-NC,Aribe
31035,ES-NA,ES-NC,Armañanzas
31036,ES-NA,ES-NC,Arróniz
31037,ES-NA,ES-NC,Arruazu
31038,ES-NA,ES-NC,Artajona
31039,ES-NA,ES-NC,Artazu
31040,ES-NA,ES-NC,Atetz / Atez
31041,ES-NA,ES-NC,Ayegui
31042,ES-NA,ES-NC,Azagra
31043,ES-NA,ES-NC,Azuelo
31044,ES-NA,ES-NC,Bakaiku
31045,ES-NA,ES-NC,Barásoain
31046,ES-NA,ES-NC,Barbarin
31047,ES-NA,ES-NC,Bargota
31048,ES-NA,ES-NC,Barillas
31049,ES-NA,ES-NC,Basaburua
31050,ES-NA,ES-NC,Baztan
31051,ES-NA,ES-NC,Beire
31052,ES-NA,ES-NC,Belascoáin
31053,ES-NA,ES-NC,Berbinzana
31054,ES-NA,ES-NC,Bertizarana
31055,ES-NA,ES-NC,Betelu
31056,ES-NA,ES-NC,Biurrun-Olcoz
31057,ES-NA,ES-NC,Buñuel
31058,ES-NA,ES-NC,Auritz/Burguete
31059,ES-NA,ES-NC,Burgui/Burgi
31060,ES-NA,ES-NC,Burlada/Burlata
31061,ES-NA,ES-NC,El Busto
31062,ES-NA,ES-NC,Cabanillas
31063,ES-NA,ES-NC,Cabredo
31064,ES-NA,ES-NC,Cadreita
31065,ES-NA,ES-NC,Caparroso
31066,ES-NA,ES-NC,Cárcar
31067,ES-NA,ES-NC,Carcastillo
31068,ES-NA,ES-NC,Cascante
31069,ES-NA,ES-NC,Cáseda
31070,ES-NA,ES-NC,Castejón
31071,ES-NA,ES-NC,Castillonuevo
31072,ES-NA,ES-NC,Cintruénigo
31073,ES-NA,ES-NC,Ziordia
31074,ES-NA,ES-NC,Cirauqui
31075,ES-NA,ES-NC,Ciriza / Ziritza
31076,ES-NA,ES-NC,Cizur
31077,ES-NA,ES-NC,Corella
31078,ES-NA,ES-NC,Cortes
31079,ES-NA,ES-NC,Desojo
31080,ES-NA,ES-NC,Dicastillo
31081,ES-NA,ES-NC,Donamaria
31082,ES-NA,ES-NC,Etxalar
31083,ES-NA,ES-NC,Echarri/Etxarri
