id,prov,ccaa,name
34001,ES-P,ES-CL,Abarca de Campos
34003,ES-P,ES-CL,Abia de las Torres
34004,ES-P,ES-CL,Aguilar de Campoo
34005,ES-P,ES-CL,Alar del Rey
34006,ES-P,ES-CL,Alba de Cerrato
34009,ES-P,ES-CL,Amayuelas de Arriba
34010,ES-P,ES-CL,Ampudia
34011,ES-P,ES-CL,Amusco
34012,ES-P,ES-CL,Antigüedad
34015,ES-P,ES-CL,Arconada
34017,ES-P,ES-CL,Astudillo
34018,ES-P,ES-CL,Autilla del Pino
34019,ES-P,ES-CL,Autillo de Campos
34020,ES-P,ES-CL,Ayuela
34022,ES-P,ES-CL,Baltanás
34023,ES-P,ES-CL,Venta de Baños
34024,ES-P,ES-CL,Baquerín de Campos
34025,ES-P,ES-CL,Bárcena de Campos
34027,ES-P,ES-CL,Barruelo de Santullán
34028,ES-P,ES-CL,Báscones de Ojeda
34029,ES-P,ES-CL,Becerril de Campos
34031,ES-P,ES-CL,Belmonte de Campos
34032,ES-P,ES-CL,Berzosilla
34033,ES-P,ES-CL,Boada de Campos
34034,ES-P,ES-CL,Boadilla del Camino
34035,ES-P,ES-CL,Boadilla de Rioseco
34036,ES-P,ES-CL,Brañosera
34037,ES-P,ES-CL,Buenavista de Valdavia
34038,ES-P,ES-CL,Bustillo de la Vega
34039,ES-P,ES-CL,Bustillo del Páramo de Carrión
34041,ES-P,ES-CL,Calahorra de Boedo
34042,ES-P,ES-CL,Calzada de los Molinos
34045,ES-P,ES-CL,Capillas
34046,ES-P,ES-CL,Cardeñosa de Volpejera
34047,ES-P,ES-CL,Carrión de los Condes
34048,ES-P,ES-CL,Castil de Vela
34049,ES-P,ES-CL,Castrejón de la Peña
34050,ES-P,ES-CL,Castrillo de Don Juan
34051,ES-P,ES-CL,Castrillo de Onielo
34052,ES-P,ES-CL,Castrillo de Villavega
34053,ES-P,ES-CL,Castromocho
34055,ES-P,ES-CL,Cervatos de la Cueza
34056,ES-P,ES-CL,Cervera de Pisuerga
34057,ES-P,ES-CL,Cevico de la Torre
34058,ES-P,ES-CL,Cevico Navero
34059,ES-P,ES-CL,Cisneros
34060,ES-P,ES-CL,Cobos de Cerrato
34061,ES-P,ES-CL,Collazos de Boedo
34062,ES-P,ES-CL,Congosto de Valdavia
34063,ES-P,ES-CL,Cordovilla la Real
34066,ES-P,ES-CL,Cubillas de Cerrato
34067,ES-P,ES-CL,Dehesa de Montejo
34068,ES-P,ES-CL,Dehesa de Romanos
34069,ES-P,ES-CL,Dueñas
34070,ES-P,ES-CL,Espinosa de Cerrato
34071,ES-P,ES-CL,Espinosa de Villagonzalo
34072,ES-P,ES-CL,Frechilla
34073,ES-P,ES-CL,Fresno del Río
34074,ES-P,ES-CL,Frómista
34076,ES-P,ES-CL,Fuentes de Nava
34077,ES-P,ES-CL,Fuentes de Valdepero
34079,ES-P,ES-CL,Grijota
34080,ES-P,ES-CL,Guardo
34081,ES-P,ES-CL,Guaza de Campos
34082,ES-P,ES-CL,Hérmedes de Cerrato
34083,ES-P,ES-CL,Herrera de Pisuerga
34084,ES-P,ES-CL,Herrera de Valdecañas
34086,ES-P,ES-CL,Hontoria de Cerrato
34087,ES-P,ES-CL,Hornillos de Cerrato
34088,ES-P,ES-CL,Husillos
34089,ES-P,ES-CL,Itero de la Vega
34091,ES-P,ES-CL,Lagartos
34092,ES-P,ES-CL,Lantadilla
34093,ES-P,ES-CL,La Vid de Ojeda
34094,ES-P,ES-CL,Ledigos
34096,ES-P,ES-CL,Lomas
34098,ES-P,ES-CL,Magaz de Pisuerga
34099,ES-P,ES-CL,Manquillos
34100,ES-P,ES-CL,Mantinos
34101,ES-P,ES-CL,Marcilla de Campos
34102,ES-P,ES-CL,Mazariegos
34103,ES-P,ES-CL,Mazuecos de Valdeginate
34104,ES-P,ES-CL,Melgar de Yuso
34106,ES-P,ES-CL,Meneses de Campos
34107,ES-P,ES-CL,Micieces de Ojeda
34108,ES-P,ES-CL,Monzón de Campos
34109,ES-P,ES-CL,Moratinos
34110,ES-P,ES-CL,Mudá
34112,ES-P,ES-CL,Nogal de las Huertas
34113,ES-P,ES-CL,Olea de Boedo
34114,ES-P,ES-CL,Olmos de Ojeda
34116,ES-P,ES-CL,Osornillo
34120,ES-P,ES-CL,Palencia
34121,ES-P,ES-CL,Palenzuela
34122,ES-P,ES-CL,Páramo de Boedo
34123,ES-P,ES-CL,Paredes de Nava
34124,ES-P,ES-CL,Payo de Ojeda
34125,ES-P,ES-CL,Pedraza de Campos
34126,ES-P,ES-CL,Pedrosa de la Vega
34127,ES-P,ES-CL,Perales
34129,ES-P,ES-CL,Pino del Río
34130,ES-P,ES-CL,Piña de Campos
34131,ES-P,ES-CL,Población de Arroyo
34132,ES-P,ES-CL,Población de Campos
34133,ES-P,ES-CL,Población de Cerrato
34134,ES-P,ES-CL,Polentinos
34135,ES-P,ES-CL,Pomar de Valdivia
34136,ES-P,ES-CL,Poza de la Vega
34137,ES-P,ES-CL,Pozo de Urama
34139,ES-P,ES-CL,Prádanos de Ojeda
34140,ES-P,ES-CL,La Puebla de Valdavia
34141,ES-P,ES-CL,Quintana del Puente
34143,ES-P,ES-CL,Quintanilla de Onsoña
34146,ES-P,ES-CL,Reinoso de Cerrato
34147,ES-P,ES-CL,Renedo de la Vega
34149,ES-P,ES-CL,Requena de Campos
34151,ES-P,ES-CL,Respenda de la Peña
34152,ES-P,ES-CL,Revenga de Campos
34154,ES-P,ES-CL,Revilla de Collazos
34155,ES-P,ES-CL,Ribas de Campos
34156,ES-P,ES-CL,Riberos de la Cueza
34157,ES-P,ES-CL,Saldaña
34158,ES-P,ES-CL,Salinas de Pisuerga
34159,ES-P,ES-CL,San Cebrián de Campos
34160,ES-P,ES-CL,San Cebrián de Mudá
34161,ES-P,ES-CL,San Cristóbal de Boedo
34163,ES-P,ES-CL,San Mamés de Campos
34165,ES-P,ES-CL,San Román de la Cuba
34167,ES-P,ES-CL,Santa Cecilia del Alcor
34168,ES-P,ES-CL,Santa Cruz de Boedo
34169,ES-P,ES-CL,Santervás de la Vega
34170,ES-P,ES-CL,Santibáñez de Ecla
34171,ES-P,ES-CL,Santibáñez de la Peña
34174,ES-P,ES-CL,Santoyo
34175,ES-P,ES-CL,La Serna
34176,ES-P,ES-CL,Sotobañado y Priorato
34177,ES-P,ES-CL,Soto de Cerrato
34178,ES-P,ES-CL,Tabanera de Cerrato
34179,ES-P,ES-CL,Tabanera de Valdavia
34180,ES-P,ES-CL,Támara de Campos
34181,ES-P,ES-CL,Tariego de Cerrato
34182,ES-P,ES-CL,Torquemada
34184,ES-P,ES-CL,Torremormojón
34185,ES-P,ES-CL,Triollo
34186,ES-P,ES-CL,Valbuena de Pisuerga
34189,ES-P,ES-CL,Valdeolmillos
34190,ES-P,ES-CL,Valderrábano
34192,ES-P,ES-CL,Valde-Ucieza
34196,ES-P,ES-CL,Valle de Cerrato
34199,ES-P,ES-CL,Velilla del Río Carrión
34201,ES-P,ES-CL,Vertavillo
34202,ES-P,ES-CL,Villabasta de Valdavia
34204,ES-P,ES-CL,Villacidaler
34205,ES-P,ES-CL,Villaconancio
34206,ES-P,ES-CL,Villada
34208,ES-P,ES-CL,Villaeles de Valdavia
34210,ES-P,ES-CL,Villahán
34211,ES-P,ES-CL,Villaherreros
34213,ES-P,ES-CL,Villalaco
34214,ES-P,ES-CL,Villalba de Guardo
34215,ES-P,ES-CL,Villalcázar de Sirga
34216,ES-P,ES-CL,Villalcón
34217,ES-P,ES-CL,Villalobón
34218,ES-P,ES-CL,Villaluenga de la Vega
34220,ES-P,ES-CL,Villamartín de Campos
34221,ES-P,ES-CL,Villamediana
34222,ES-P,ES-CL,Villameriel
34223,ES-P,ES-CL,Villamoronta
34224,ES-P,ES-CL,Villamuera de la Cueza
34225,ES-P,ES-CL,Villamuriel de Cerrato
34227,ES-P,ES-CL,Villanueva del Rebollar
34228,ES-P,ES-CL,Villanuño de Valdavia
34229,ES-P,ES-CL,Villaprovedo
34230,ES-P,ES-CL,Villarmentero de Campos
34231,ES-P,ES-CL,Villarrabé
34232,ES-P,ES-CL,Villarramiel
34233,ES-P,ES-CL,Villasarracino
34234,ES-P,ES-CL,Villasila de Valdavia
34236,ES-P,ES-CL,Villaturde
34237,ES-P,ES-CL,Villaumbrales
34238,ES-P,ES-CL,Villaviudas
34240,ES-P,ES-CL,Villerías de Campos
34241,ES-P,ES-CL,Villodre
34242,ES-P,ES-CL,Villodrigo
34243,ES-P,ES-CL,Villoldo
34245,ES-P,ES-CL,Villota del Páramo
34246,ES-P,ES-CL,Villovieco
34901,ES-P,ES-CL,Osorno la Mayor
34902,ES-P,ES-CL,Valle del Retortillo
34903,ES-P,ES-CL,Loma de Ucieza
34904,ES-P,ES-CL,La Pernía
