id,prov,ccaa,name
36001,ES-PO,ES-GA,Arbo
36002,ES-PO,ES-GA,Barro
36003,ES-PO,ES-GA,Baiona
36004,ES-PO,ES-GA,Bueu
36005,ES-PO,ES-GA,Caldas de Reis
36006,ES-PO,ES-GA,Cambados
36007,ES-PO,ES-GA,Campo Lameiro
36008,ES-PO,ES-GA,Cangas
36009,ES-PO,ES-GA,A Cañiza
36010,ES-PO,ES-GA,Catoira
36013,ES-PO,ES-GA,Covelo
36014,ES-PO,ES-GA,Crecente
36015,ES-PO,ES-GA,Cuntis
36016,ES-PO,ES-GA,Dozón
36017,ES-PO,ES-GA,A Estrada
36018,ES-PO,ES-GA,Forcarei
36019,ES-PO,ES-GA,Fornelos de Montes
36020,ES-PO,ES-GA,Agolada
36021,ES-PO,ES-GA,Gondomar
36022,ES-PO,ES-GA,O Grove
36023,ES-PO,ES-GA,A Guarda
36024,ES-PO,ES-GA,Lalín
36025,ES-PO,ES-GA,A Lama
36026,ES-PO,ES-GA,Marín
36027,ES-PO,ES-GA,Meaño
36028,ES-PO,ES-GA,Meis
36029,ES-PO,ES-GA,Moaña
36030,ES-PO,ES-GA,Mondariz
36031,ES-PO,ES-GA,Mondariz-Balneario
36032,ES-PO,ES-GA,Moraña
36033,ES-PO,ES-GA,Mos
36034,ES-PO,ES-GA,As Neves
36035,ES-PO,ES-GA,Nigrán
36036,ES-PO,ES-GA,Oia
36037,ES-PO,ES-GA,Pazos de Borbén
36038,ES-PO,ES-GA,Pontevedra
36039,ES-PO,ES-GA,O Porriño
36040,ES-PO,ES-GA,Portas
36041,ES-PO,ES-GA,Poio
36042,ES-PO,ES-GA,Ponteareas
36043,ES-PO,ES-GA,Ponte Caldelas
36044,ES-PO,ES-GA,Pontecesures
36045,ES-PO,ES-GA,Redondela
36046,ES-PO,ES-GA,Ribadumia
36047,ES-PO,ES-GA,Rodeiro
36048,ES-PO,ES-GA,O Rosal
36049,ES-PO,ES-GA,Salceda de Caselas
36050,ES-PO,ES-GA,Salvaterra de Miño
36051,ES-PO,ES-GA,Sanxenxo
36052,ES-PO,ES-GA,Silleda
36053,ES-PO,ES-GA,Soutomaior
36054,ES-PO,ES-GA,Tomiño
36055,ES-PO,ES-GA,Tui
36056,ES-PO,ES-GA,Valga
36057,ES-PO,ES-GA,Vigo
36059,ES-PO,ES-GA,Vila de Cruces
36060,ES-PO,ES-GA,Vilagarcía de Arousa
36061,ES-PO,ES-GA,Vilanova de Arousa
36901,ES-PO,ES-GA,A Illa de Arousa
36902,ES-PO,ES-GA,Cerdedo-Cotobade
