id;prov;ccaa;name
26001;ES-LO;ES-RI;Ábalos
26002;ES-LO;ES-RI;Agoncillo
26003;ES-LO;ES-RI;Aguilar del Río Alhama
26004;ES-LO;ES-RI;Ajamil
26005;ES-LO;ES-RI;Albelda de Iregua
26006;ES-LO;ES-RI;Alberite
26007;ES-LO;ES-RI;Alcanadre
26008;ES-LO;ES-RI;Aldeanueva de Ebro
26009;ES-LO;ES-RI;Alesanco
26010;ES-LO;ES-RI;Alesón
26011;ES-LO;ES-RI;Alfaro
26012;ES-LO;ES-RI;Almarza de Cameros
26013;ES-LO;ES-RI;Anguciana
26014;ES-LO;ES-RI;Anguiano
26015;ES-LO;ES-RI;Arenzana de Abajo
26016;ES-LO;ES-RI;Arenzana de Arriba
26017;ES-LO;ES-RI;Arnedillo
26018;ES-LO;ES-RI;Arnedo
26019;ES-LO;ES-RI;Arrúbal
26020;ES-LO;ES-RI;Ausejo
26021;ES-LO;ES-RI;Autol
26022;ES-LO;ES-RI;Azofra
26023;ES-LO;ES-RI;Badarán
26024;ES-LO;ES-RI;Bañares
26025;ES-LO;ES-RI;Baños de Rioja
26026;ES-LO;ES-RI;Baños de Río Tobía
26027;ES-LO;ES-RI;Berceo
26028;ES-LO;ES-RI;Bergasa
26029;ES-LO;ES-RI;Bergasillas Bajera
26030;ES-LO;ES-RI;Bezares
26031;ES-LO;ES-RI;Bobadilla
26032;ES-LO;ES-RI;Brieva de Cameros
26033;ES-LO;ES-RI;Briñas
26034;ES-LO;ES-RI;Briones
26035;ES-LO;ES-RI;Cabezón de Cameros
26036;ES-LO;ES-RI;Calahorra
26037;ES-LO;ES-RI;Camprovín
26038;ES-LO;ES-RI;Canales de la Sierra
26039;ES-LO;ES-RI;Canillas de Río Tuerto
26040;ES-LO;ES-RI;Cañas
26041;ES-LO;ES-RI;Cárdenas
26042;ES-LO;ES-RI;Casalarreina
26043;ES-LO;ES-RI;Castañares de Rioja
26044;ES-LO;ES-RI;Castroviejo
26045;ES-LO;ES-RI;Cellorigo
26046;ES-LO;ES-RI;Cenicero
26047;ES-LO;ES-RI;Cervera del Río Alhama
26048;ES-LO;ES-RI;Cidamón
26049;ES-LO;ES-RI;Cihuri
26050;ES-LO;ES-RI;Cirueña
26051;ES-LO;ES-RI;Clavijo
26052;ES-LO;ES-RI;Cordovín
26053;ES-LO;ES-RI;Corera
26054;ES-LO;ES-RI;Cornago
26055;ES-LO;ES-RI;Corporales
26056;ES-LO;ES-RI;Cuzcurrita de Río Tirón
26057;ES-LO;ES-RI;Daroca de Rioja
26058;ES-LO;ES-RI;Enciso
26059;ES-LO;ES-RI;Entrena
26060;ES-LO;ES-RI;Estollo
26061;ES-LO;ES-RI;Ezcaray
26062;ES-LO;ES-RI;Foncea
26063;ES-LO;ES-RI;Fonzaleche
26064;ES-LO;ES-RI;Fuenmayor
26065;ES-LO;ES-RI;Galbárruli
26066;ES-LO;ES-RI;Galilea
26067;ES-LO;ES-RI;Gallinero de Cameros
26068;ES-LO;ES-RI;Gimileo
26069;ES-LO;ES-RI;Grañón
26070;ES-LO;ES-RI;Grávalos
26071;ES-LO;ES-RI;Haro
26072;ES-LO;ES-RI;Herce
26073;ES-LO;ES-RI;Herramélluri
26074;ES-LO;ES-RI;Hervías
26075;ES-LO;ES-RI;Hormilla
26076;ES-LO;ES-RI;Hormilleja
26077;ES-LO;ES-RI;Hornillos de Cameros
26078;ES-LO;ES-RI;Hornos de Moncalvillo
26079;ES-LO;ES-RI;Huércanos
26080;ES-LO;ES-RI;Igea
26081;ES-LO;ES-RI;Jalón de Cameros
26082;ES-LO;ES-RI;Laguna de Cameros
26083;ES-LO;ES-RI;Lagunilla del Jubera
26084;ES-LO;ES-RI;Lardero
26086;ES-LO;ES-RI;Ledesma de la Cogolla
26087;ES-LO;ES-RI;Leiva
