id,prov,ccaa,name
-10977404,ES-SA,ES-CL,Coto Mancomunado
37001,ES-SA,ES-CL,Abusejo
37002,ES-SA,ES-CL,Agallas
37003,ES-SA,ES-CL,Ahigal de los Aceiteros
37004,ES-SA,ES-CL,Ahigal de Villarino
37005,ES-SA,ES-CL,La Alameda de Gardón
37006,ES-SA,ES-CL,La Alamedilla
37007,ES-SA,ES-CL,Alaraz
37008,ES-SA,ES-CL,Alba de Tormes
37009,ES-SA,ES-CL,Alba de Yeltes
37010,ES-SA,ES-CL,La Alberca
37011,ES-SA,ES-CL,La Alberguería de Argañán
37012,ES-SA,ES-CL,Alconada
37013,ES-SA,ES-CL,Aldeacipreste
37014,ES-SA,ES-CL,Aldeadávila de la Ribera
37015,ES-SA,ES-CL,Aldea del Obispo
37016,ES-SA,ES-CL,Aldealengua
37017,ES-SA,ES-CL,Aldeanueva de Figueroa
37018,ES-SA,ES-CL,Aldeanueva de la Sierra
37019,ES-SA,ES-CL,Aldearrodrigo
37020,ES-SA,ES-CL,Aldearrubia
37021,ES-SA,ES-CL,Aldeaseca de Alba
37022,ES-SA,ES-CL,Aldeaseca de la Frontera
37023,ES-SA,ES-CL,Aldeatejada
37024,ES-SA,ES-CL,Aldeavieja de Tormes
37025,ES-SA,ES-CL,Aldehuela de la Bóveda
37026,ES-SA,ES-CL,Aldehuela de Yeltes
37027,ES-SA,ES-CL,Almenara de Tormes
37028,ES-SA,ES-CL,Almendra
37029,ES-SA,ES-CL,Anaya de Alba
37030,ES-SA,ES-CL,Añover de Tormes
37031,ES-SA,ES-CL,Arabayona de Mógica
37032,ES-SA,ES-CL,Arapiles
37033,ES-SA,ES-CL,Arcediano
37034,ES-SA,ES-CL,El Arco
37035,ES-SA,ES-CL,Armenteros
37036,ES-SA,ES-CL,San Miguel del Robledo
37037,ES-SA,ES-CL,La Atalaya
37038,ES-SA,ES-CL,Babilafuente
37039,ES-SA,ES-CL,Bañobárez
37040,ES-SA,ES-CL,Barbadillo
37041,ES-SA,ES-CL,Barbalos
37042,ES-SA,ES-CL,Barceo
37044,ES-SA,ES-CL,Barruecopardo
37045,ES-SA,ES-CL,La Bastida
37046,ES-SA,ES-CL,Béjar
37047,ES-SA,ES-CL,Beleña
37049,ES-SA,ES-CL,Bermellar
37050,ES-SA,ES-CL,Berrocal de Huebra
