id,prov,ccaa,name
40001,ES-SG,ES-CL,Abades
40002,ES-SG,ES-CL,Adrada de Pirón
40003,ES-SG,ES-CL,Adrados
40004,ES-SG,ES-CL,Aguilafuente
40005,ES-SG,ES-CL,Alconada de Maderuelo
40006,ES-SG,ES-CL,Aldealcorvo
40007,ES-SG,ES-CL,Aldealengua de Pedraza
40008,ES-SG,ES-CL,Aldealengua de Santa María
40009,ES-SG,ES-CL,Aldeanueva de la Serrezuela
40010,ES-SG,ES-CL,Aldeanueva del Codonal
40012,ES-SG,ES-CL,Aldea Real
40013,ES-SG,ES-CL,Aldeasoña
40014,ES-SG,ES-CL,Aldehorno
40015,ES-SG,ES-CL,Aldehuela del Codonal
40016,ES-SG,ES-CL,Aldeonte
40017,ES-SG,ES-CL,Anaya
40018,ES-SG,ES-CL,Añe
40019,ES-SG,ES-CL,Arahuetes
40020,ES-SG,ES-CL,Arcones
40021,ES-SG,ES-CL,Arevalillo de Cega
40022,ES-SG,ES-CL,Armuña
40024,ES-SG,ES-CL,Ayllón
40025,ES-SG,ES-CL,Barbolla
40026,ES-SG,ES-CL,Basardilla
40028,ES-SG,ES-CL,Bercial
40029,ES-SG,ES-CL,Bercimuel
40030,ES-SG,ES-CL,Bernardos
40031,ES-SG,ES-CL,Bernuy de Porreros
40032,ES-SG,ES-CL,Boceguillas
40033,ES-SG,ES-CL,Brieva
40034,ES-SG,ES-CL,Caballar
40035,ES-SG,ES-CL,Cabañas de Polendos
40036,ES-SG,ES-CL,Cabezuela
40037,ES-SG,ES-CL,Calabazas de Fuentidueña
40039,ES-SG,ES-CL,Campo de San Pedro
40040,ES-SG,ES-CL,Cantalejo
40041,ES-SG,ES-CL,Cantimpalos
40043,ES-SG,ES-CL,Carbonero el Mayor
40044,ES-SG,ES-CL,Carrascal del Río
40045,ES-SG,ES-CL,Casla
40046,ES-SG,ES-CL,Castillejo de Mesleón
40047,ES-SG,ES-CL,Castro de Fuentidueña
40048,ES-SG,ES-CL,Castrojimeno
40049,ES-SG,ES-CL,Castroserna de Abajo
40051,ES-SG,ES-CL,Castroserracín
40052,ES-SG,ES-CL,Cedillo de la Torre
40053,ES-SG,ES-CL,Cerezo de Abajo
40054,ES-SG,ES-CL,Cerezo de Arriba
40055,ES-SG,ES-CL,Cilleruelo de San Mamés
40056,ES-SG,ES-CL,Cobos de Fuentidueña
40057,ES-SG,ES-CL,Coca
40058,ES-SG,ES-CL,Codorniz
40059,ES-SG,ES-CL,Collado Hermoso
40060,ES-SG,ES-CL,Condado de Castilnovo
40061,ES-SG,ES-CL,Corral de Ayllón
40062,ES-SG,ES-CL,Cubillo
40063,ES-SG,ES-CL,Cuéllar
40065,ES-SG,ES-CL,Chañe
40068,ES-SG,ES-CL,Domingo García
40069,ES-SG,ES-CL,Donhierro
40070,ES-SG,ES-CL,Duruelo
40071,ES-SG,ES-CL,Encinas
40072,ES-SG,ES-CL,Encinillas
40073,ES-SG,ES-CL,Escalona del Prado
40074,ES-SG,ES-CL,Escarabajosa de Cabezas
40075,ES-SG,ES-CL,Escobar de Polendos
40076,ES-SG,ES-CL,El Espinar
40077,ES-SG,ES-CL,Espirdo
40078,ES-SG,ES-CL,Fresneda de Cuéllar
40079,ES-SG,ES-CL,Fresno de Cantespino
40080,ES-SG,ES-CL,Fresno de la Fuente
40081,ES-SG,ES-CL,Frumales
40082,ES-SG,ES-CL,Fuente de Santa Cruz
40083,ES-SG,ES-CL,Fuente el Olmo de Fuentidueña
40084,ES-SG,ES-CL,Fuente el Olmo de Íscar
40086,ES-SG,ES-CL,Fuentepelayo
40087,ES-SG,ES-CL,Fuentepiñel
40088,ES-SG,ES-CL,Fuenterrebollo
40089,ES-SG,ES-CL,Fuentesaúco de Fuentidueña
40091,ES-SG,ES-CL,Fuentesoto
40092,ES-SG,ES-CL,Fuentidueña
40093,ES-SG,ES-CL,Gallegos
40094,ES-SG,ES-CL,Garcillán
40095,ES-SG,ES-CL,Gomezserracín
40097,ES-SG,ES-CL,Grajera
40099,ES-SG,ES-CL,Honrubia de la Cuesta
40100,ES-SG,ES-CL,Hontalbilla
40101,ES-SG,ES-CL,Hontanares de Eresma
40103,ES-SG,ES-CL,Los Huertos
40104,ES-SG,ES-CL,Ituero y Lama
40105,ES-SG,ES-CL,Juarros de Riomoros
40106,ES-SG,ES-CL,Juarros de Voltoya
40107,ES-SG,ES-CL,Labajos
40108,ES-SG,ES-CL,Laguna de Contreras
40109,ES-SG,ES-CL,Languilla
40110,ES-SG,ES-CL,Lastras de Cuéllar
40111,ES-SG,ES-CL,Lastras del Pozo
40112,ES-SG,ES-CL,La Lastrilla
40113,ES-SG,ES-CL,La Losa
40115,ES-SG,ES-CL,Maderuelo
40118,ES-SG,ES-CL,Marazuela
40119,ES-SG,ES-CL,Martín Miguel
40120,ES-SG,ES-CL,Martín Muñoz de la Dehesa
40121,ES-SG,ES-CL,Martín Muñoz de las Posadas
40122,ES-SG,ES-CL,Marugán
40123,ES-SG,ES-CL,Matabuena
40124,ES-SG,ES-CL,Mata de Cuéllar
40125,ES-SG,ES-CL,La Matilla
40126,ES-SG,ES-CL,Melque de Cercos
40127,ES-SG,ES-CL,Membibre de la Hoz
40128,ES-SG,ES-CL,Migueláñez
40129,ES-SG,ES-CL,Montejo de Arévalo
40130,ES-SG,ES-CL,Montejo de la Vega de la Serrezuela
40131,ES-SG,ES-CL,Monterrubio
40132,ES-SG,ES-CL,Moral de Hornuez
40134,ES-SG,ES-CL,Mozoncillo
40135,ES-SG,ES-CL,Muñopedro
40136,ES-SG,ES-CL,Muñoveros
40138,ES-SG,ES-CL,Nava de la Asunción
40139,ES-SG,ES-CL,Navafría
40140,ES-SG,ES-CL,Navalilla
40141,ES-SG,ES-CL,Navalmanzano
40142,ES-SG,ES-CL,Navares de Ayuso
40143,ES-SG,ES-CL,Navares de Enmedio
40144,ES-SG,ES-CL,Navares de las Cuevas
40145,ES-SG,ES-CL,Navas de Oro
40146,ES-SG,ES-CL,Navas de San Antonio
40148,ES-SG,ES-CL,Nieva
40149,ES-SG,ES-CL,Olombrada
40150,ES-SG,ES-CL,Orejana
40151,ES-SG,ES-CL,Ortigosa de Pestaño
40152,ES-SG,ES-CL,Otero de Herreros
40154,ES-SG,ES-CL,Pajarejos
40155,ES-SG,ES-CL,Palazuelos de Eresma
40156,ES-SG,ES-CL,Pedraza
40157,ES-SG,ES-CL,Pelayos del Arroyo
40158,ES-SG,ES-CL,Perosillo
40159,ES-SG,ES-CL,Pinarejos
40160,ES-SG,ES-CL,Pinarnegrillo
40161,ES-SG,ES-CL,Carabias
40162,ES-SG,ES-CL,Prádena
40163,ES-SG,ES-CL,Puebla de Pedraza
40164,ES-SG,ES-CL,Rapariegos
40165,ES-SG,ES-CL,Rebollo
40166,ES-SG,ES-CL,Remondo
40168,ES-SG,ES-CL,Riaguas de San Bartolomé
40170,ES-SG,ES-CL,Riaza
40171,ES-SG,ES-CL,Ribota
40172,ES-SG,ES-CL,Riofrío de Riaza
40173,ES-SG,ES-CL,Roda de Eresma
40174,ES-SG,ES-CL,Sacramenia
40176,ES-SG,ES-CL,Samboal
40177,ES-SG,ES-CL,San Cristóbal de Cuéllar
40178,ES-SG,ES-CL,San Cristóbal de la Vega
40179,ES-SG,ES-CL,Sanchonuño
40180,ES-SG,ES-CL,Sangarcía
40181,ES-SG,ES-CL,Real Sitio de San Ildefonso
40182,ES-SG,ES-CL,San Martín y Mudrián
40183,ES-SG,ES-CL,San Miguel de Bernuy
40184,ES-SG,ES-CL,San Pedro de Gaíllos
40185,ES-SG,ES-CL,Santa María la Real de Nieva
40186,ES-SG,ES-CL,Santa Marta del Cerro
40188,ES-SG,ES-CL,Santiuste de Pedraza
40189,ES-SG,ES-CL,Santiuste de San Juan Bautista
40190,ES-SG,ES-CL,Santo Domingo de Pirón
40191,ES-SG,ES-CL,Santo Tomé del Puerto
40192,ES-SG,ES-CL,Sauquillo de Cabezas
40193,ES-SG,ES-CL,Sebúlcor
40194,ES-SG,ES-CL,Segovia
40195,ES-SG,ES-CL,Sepúlveda
40196,ES-SG,ES-CL,Sequera de Fresno
40198,ES-SG,ES-CL,Sotillo
40199,ES-SG,ES-CL,Sotosalbos
40200,ES-SG,ES-CL,Tabanera la Luenga
40201,ES-SG,ES-CL,Tolocirio
40202,ES-SG,ES-CL,Torreadrada
40203,ES-SG,ES-CL,Torrecaballeros
