id,prov,ccaa,name
42001,ES-SO,ES-CL,Abejar
42003,ES-SO,ES-CL,Adradas
42004,ES-SO,ES-CL,Ágreda
42006,ES-SO,ES-CL,Alconaba
42007,ES-SO,ES-CL,Alcubilla de Avellaneda
42008,ES-SO,ES-CL,Alcubilla de las Peñas
42009,ES-SO,ES-CL,Aldealafuente
42010,ES-SO,ES-CL,Aldealices
42011,ES-SO,ES-CL,Aldealpozo
42012,ES-SO,ES-CL,Aldealseñor
42013,ES-SO,ES-CL,Aldehuela de Periáñez
42014,ES-SO,ES-CL,Las Aldehuelas
42015,ES-SO,ES-CL,Alentisque
42016,ES-SO,ES-CL,Aliud
42017,ES-SO,ES-CL,Almajano
42018,ES-SO,ES-CL,Almaluez
42019,ES-SO,ES-CL,Almarza
42020,ES-SO,ES-CL,Almazán
42021,ES-SO,ES-CL,Almazul
42022,ES-SO,ES-CL,Almenar de Soria
42023,ES-SO,ES-CL,Alpanseque
42024,ES-SO,ES-CL,Arancón
42025,ES-SO,ES-CL,Arcos de Jalón
42026,ES-SO,ES-CL,Arenillas
42027,ES-SO,ES-CL,Arévalo de la Sierra
42028,ES-SO,ES-CL,Ausejo de la Sierra
42029,ES-SO,ES-CL,Baraona
42030,ES-SO,ES-CL,Barca
42031,ES-SO,ES-CL,Barcones
42032,ES-SO,ES-CL,Bayubas de Abajo
42033,ES-SO,ES-CL,Bayubas de Arriba
42034,ES-SO,ES-CL,Beratón
42035,ES-SO,ES-CL,Berlanga de Duero
42036,ES-SO,ES-CL,Blacos
42037,ES-SO,ES-CL,Bliecos
42038,ES-SO,ES-CL,Borjabad
42039,ES-SO,ES-CL,Borobia
42041,ES-SO,ES-CL,Buberos
42042,ES-SO,ES-CL,Buitrago
42043,ES-SO,ES-CL,Burgo de Osma-Ciudad de Osma
42044,ES-SO,ES-CL,Cabrejas del Campo
42045,ES-SO,ES-CL,Cabrejas del Pinar
42046,ES-SO,ES-CL,Calatañazor
42048,ES-SO,ES-CL,Caltojar
42049,ES-SO,ES-CL,Candilichera
42050,ES-SO,ES-CL,Cañamaque
42051,ES-SO,ES-CL,Carabantes
42052,ES-SO,ES-CL,Caracena
42053,ES-SO,ES-CL,Carrascosa de Abajo
42054,ES-SO,ES-CL,Carrascosa de la Sierra
42055,ES-SO,ES-CL,Casarejos
42056,ES-SO,ES-CL,Castilfrío de la Sierra
