id,prov,ccaa,name
20001,ES-SS,ES-PV,Abaltzisketa
20002,ES-SS,ES-PV,Aduna
20003,ES-SS,ES-PV,Aizarnazabal
20004,ES-SS,ES-PV,Albiztur
20005,ES-SS,ES-PV,Alegia
20006,ES-SS,ES-PV,Alkiza
20007,ES-SS,ES-PV,Altzo
20008,ES-SS,ES-PV,Amezketa
20009,ES-SS,ES-PV,Andoain
20010,ES-SS,ES-PV,Anoeta
20011,ES-SS,ES-PV,Antzuola
20012,ES-SS,ES-PV,Arama
20013,ES-SS,ES-PV,Aretxabaleta
20014,ES-SS,ES-PV,Asteasu
20015,ES-SS,ES-PV,Ataun
20016,ES-SS,ES-PV,Aia
20017,ES-SS,ES-PV,Azkoitia
20018,ES-SS,ES-PV,Azpeitia
20019,ES-SS,ES-PV,Beasain
20020,ES-SS,ES-PV,Beizama
20021,ES-SS,ES-PV,Belauntza
20022,ES-SS,ES-PV,Berastegi
20023,ES-SS,ES-PV,Berrobi
20024,ES-SS,ES-PV,Bidania-Goiatz
20025,ES-SS,ES-PV,Zegama
20026,ES-SS,ES-PV,Zerain
20027,ES-SS,ES-PV,Zestoa
20028,ES-SS,ES-PV,Zizurkil
20029,ES-SS,ES-PV,Deba
20030,ES-SS,ES-PV,Eibar
20031,ES-SS,ES-PV,Elduain
20032,ES-SS,ES-PV,Elgoibar
20033,ES-SS,ES-PV,Elgeta
20034,ES-SS,ES-PV,Eskoriatza
20035,ES-SS,ES-PV,Ezkio-Itsaso
20036,ES-SS,ES-PV,Hondarribia/Fontarrabie
20037,ES-SS,ES-PV,Gaintza
20038,ES-SS,ES-PV,Gabiria
20039,ES-SS,ES-PV,Getaria
20040,ES-SS,ES-PV,Hernani
20041,ES-SS,ES-PV,Hernialde
20042,ES-SS,ES-PV,Ibarra
20043,ES-SS,ES-PV,Idiazabal
20044,ES-SS,ES-PV,Ikaztegieta
20045,ES-SS,ES-PV,Irun
20046,ES-SS,ES-PV,Irura
20047,ES-SS,ES-PV,Itsasondo
20048,ES-SS,ES-PV,Larraul
20049,ES-SS,ES-PV,Lazkao
20050,ES-SS,ES-PV,Leaburu
20051,ES-SS,ES-PV,Legazpi
20052,ES-SS,ES-PV,Legorreta
20053,ES-SS,ES-PV,Lezo
20054,ES-SS,ES-PV,Lizartza
20055,ES-SS,ES-PV,Arrasate / Mondragón
20056,ES-SS,ES-PV,Mutriku
20057,ES-SS,ES-PV,Mutiloa
20058,ES-SS,ES-PV,Olaberria
20059,ES-SS,ES-PV,Oñati
20060,ES-SS,ES-PV,Orexa
20061,ES-SS,ES-PV,Orio
20062,ES-SS,ES-PV,Ormaiztegi
20063,ES-SS,ES-PV,Oiartzun
20064,ES-SS,ES-PV,Pasaia
20065,ES-SS,ES-PV,Soraluze-Placencia de las Armas
20066,ES-SS,ES-PV,Errezil
20067,ES-SS,ES-PV,Errenteria
20068,ES-SS,ES-PV,Leintz Gatzaga
20069,ES-SS,ES-PV,Donostia/San Sebastián
20070,ES-SS,ES-PV,Segura
20071,ES-SS,ES-PV,Tolosa
20072,ES-SS,ES-PV,Urnieta
20073,ES-SS,ES-PV,Usurbil
20074,ES-SS,ES-PV,Bergara
20075,ES-SS,ES-PV,Villabona-Amasa
20076,ES-SS,ES-PV,Ordizia
20077,ES-SS,ES-PV,Urretxu
20078,ES-SS,ES-PV,Zaldibia
20079,ES-SS,ES-PV,Zarautz
20080,ES-SS,ES-PV,Zumarraga
20081,ES-SS,ES-PV,Zumaia
20901,ES-SS,ES-PV,Mendaro
20902,ES-SS,ES-PV,Lasarte-Oria
20903,ES-SS,ES-PV,Astigarraga
20904,ES-SS,ES-PV,Baliarrain
20905,ES-SS,ES-PV,Orendain
20906,ES-SS,ES-PV,Altzaga
20907,ES-SS,ES-PV,Gaztelu
-2854004,ES-SS,ES-PV,Enirio-Aralarko Mankomunitatea
-2854005,ES-SS,ES-PV,Parzonería Menor de Guipúzcoa/Gipuzkoako Partzuergo Txikia
-340988,ES-SS,ES-PV,Gipuzkoa eta Arabako Partzuergo Orokorra
