id,prov,ccaa,name
43001,ES-T,ES-CT,Aiguamúrcia
43002,ES-T,ES-CT,Albinyana
43003,ES-T,ES-CT,l'Albiol
43004,ES-T,ES-CT,Alcanar
43005,ES-T,ES-CT,Alcover
43006,ES-T,ES-CT,Aldover
43007,ES-T,ES-CT,l'Aleixar
43008,ES-T,ES-CT,Alfara de Carles
43009,ES-T,ES-CT,Alforja
43010,ES-T,ES-CT,Alió
43011,ES-T,ES-CT,Almoster
43012,ES-T,ES-CT,Altafulla
43013,ES-T,ES-CT,l'Ametlla de Mar
43014,ES-T,ES-CT,Amposta
43015,ES-T,ES-CT,Arbolí
43016,ES-T,ES-CT,l'Arboç
43017,ES-T,ES-CT,l'Argentera
43018,ES-T,ES-CT,Arnes
43019,ES-T,ES-CT,Ascó
43020,ES-T,ES-CT,Banyeres del Penedès
43021,ES-T,ES-CT,Barberà de la Conca
43022,ES-T,ES-CT,Batea
43023,ES-T,ES-CT,Bellmunt del Priorat
43024,ES-T,ES-CT,Bellvei
43025,ES-T,ES-CT,Benifallet
43026,ES-T,ES-CT,Benissanet
43027,ES-T,ES-CT,la Bisbal de Falset
43028,ES-T,ES-CT,la Bisbal del Penedès
43029,ES-T,ES-CT,Blancafort
43030,ES-T,ES-CT,Bonastre
43031,ES-T,ES-CT,les Borges del Camp
43032,ES-T,ES-CT,Bot
43033,ES-T,ES-CT,Botarell
43034,ES-T,ES-CT,Bràfim
43035,ES-T,ES-CT,Cabacés
43036,ES-T,ES-CT,Cabra del Camp
43037,ES-T,ES-CT,Calafell
43038,ES-T,ES-CT,Cambrils
43039,ES-T,ES-CT,Capafonts
43040,ES-T,ES-CT,Capçanes
43041,ES-T,ES-CT,Caseres
43042,ES-T,ES-CT,Castellvell del Camp
43043,ES-T,ES-CT,el Catllar
43044,ES-T,ES-CT,la Sénia
43045,ES-T,ES-CT,Colldejou
43046,ES-T,ES-CT,Conesa
43047,ES-T,ES-CT,Constantí
43048,ES-T,ES-CT,Corbera d'Ebre
43049,ES-T,ES-CT,Cornudella de Montsant
43050,ES-T,ES-CT,Creixell
43051,ES-T,ES-CT,Cunit
43052,ES-T,ES-CT,Xerta
43053,ES-T,ES-CT,Duesaigües
43054,ES-T,ES-CT,l'Espluga de Francolí
43055,ES-T,ES-CT,Falset
43056,ES-T,ES-CT,la Fatarella
43057,ES-T,ES-CT,la Febró
