id,prov,ccaa,name
44001,ES-TE,ES-AR,Ababuj
44002,ES-TE,ES-AR,Abejuela
44003,ES-TE,ES-AR,Aguatón
44004,ES-TE,ES-AR,Aguaviva / Aiguaviva de Bergantes
44005,ES-TE,ES-AR,Aguilar del Alfambra
44006,ES-TE,ES-AR,Alacón
44007,ES-TE,ES-AR,Alba
44008,ES-TE,ES-AR,Albalate del Arzobispo
44009,ES-TE,ES-AR,Albarracín
44010,ES-TE,ES-AR,Albentosa
44011,ES-TE,ES-AR,Alcaine
44012,ES-TE,ES-AR,Alcalá de la Selva
44013,ES-TE,ES-AR,Alcañiz
44014,ES-TE,ES-AR,Alcorisa
44016,ES-TE,ES-AR,Alfambra
44017,ES-TE,ES-AR,Aliaga
44018,ES-TE,ES-AR,Almohaja
44019,ES-TE,ES-AR,Alobras
44020,ES-TE,ES-AR,Alpeñés
44021,ES-TE,ES-AR,Allepuz
44022,ES-TE,ES-AR,Alloza
44023,ES-TE,ES-AR,Allueva
44024,ES-TE,ES-AR,Anadón
44025,ES-TE,ES-AR,Andorra
44026,ES-TE,ES-AR,Arcos de las Salinas
44027,ES-TE,ES-AR,Arens de Lledó / Arenys de Lledó
44028,ES-TE,ES-AR,Argente
44029,ES-TE,ES-AR,Ariño
44031,ES-TE,ES-AR,Azaila
44032,ES-TE,ES-AR,Bádenas
44033,ES-TE,ES-AR,Báguena
44034,ES-TE,ES-AR,Bañón
44035,ES-TE,ES-AR,Barrachina
44036,ES-TE,ES-AR,Bea
44037,ES-TE,ES-AR,Beceite / Beseit
44038,ES-TE,ES-AR,Belmonte de San José / Bellmunt de Mesquí
44039,ES-TE,ES-AR,Bello
44040,ES-TE,ES-AR,Berge
44041,ES-TE,ES-AR,Bezas
44042,ES-TE,ES-AR,Blancas
44043,ES-TE,ES-AR,Blesa
44044,ES-TE,ES-AR,Bordón
44045,ES-TE,ES-AR,Bronchales
44046,ES-TE,ES-AR,Bueña
44047,ES-TE,ES-AR,Burbáguena
44048,ES-TE,ES-AR,Cabra de Mora
44049,ES-TE,ES-AR,Calaceite / Calaceit
44050,ES-TE,ES-AR,Calamocha
44051,ES-TE,ES-AR,Calanda
44052,ES-TE,ES-AR,Calomarde
44053,ES-TE,ES-AR,Camañas
44054,ES-TE,ES-AR,Camarena de la Sierra
44055,ES-TE,ES-AR,Camarillas
44056,ES-TE,ES-AR,Caminreal
44059,ES-TE,ES-AR,Cantavieja
