id,prov,ccaa,name
38001,ES-TF,ES-CN,Adeje
38002,ES-TF,ES-CN,Agulo
38003,ES-TF,ES-CN,Alajeró
38004,ES-TF,ES-CN,Arafo
38005,ES-TF,ES-CN,Arico
38006,ES-TF,ES-CN,Arona
38007,ES-TF,ES-CN,Barlovento
38008,ES-TF,ES-CN,Breña Alta
38009,ES-TF,ES-CN,Breña Baja
38010,ES-TF,ES-CN,Buenavista del Norte
38011,ES-TF,ES-CN,Candelaria
38012,ES-TF,ES-CN,Fasnia
38013,ES-TF,ES-CN,Frontera
38014,ES-TF,ES-CN,Fuencaliente de la Palma
38015,ES-TF,ES-CN,Garachico
38016,ES-TF,ES-CN,Garafía
38017,ES-TF,ES-CN,Granadilla de Abona
38018,ES-TF,ES-CN,La Guancha
38019,ES-TF,ES-CN,Guía de Isora
38020,ES-TF,ES-CN,Güímar
38021,ES-TF,ES-CN,Hermigua
38022,ES-TF,ES-CN,Icod de los Vinos
38024,ES-TF,ES-CN,Los Llanos de Aridane
38025,ES-TF,ES-CN,La Matanza de Acentejo
38026,ES-TF,ES-CN,La Orotava
38027,ES-TF,ES-CN,El Paso
38028,ES-TF,ES-CN,Puerto de la Cruz
38029,ES-TF,ES-CN,Puntagorda
38030,ES-TF,ES-CN,Puntallana
38031,ES-TF,ES-CN,Los Realejos
38032,ES-TF,ES-CN,El Rosario
38033,ES-TF,ES-CN,San Andrés y Sauces
38034,ES-TF,ES-CN,San Juan de la Rambla
38035,ES-TF,ES-CN,San Miguel de Abona
38036,ES-TF,ES-CN,San Sebastián de la Gomera
38037,ES-TF,ES-CN,Santa Cruz de la Palma
38038,ES-TF,ES-CN,Santa Cruz de Tenerife
38039,ES-TF,ES-CN,Santa Úrsula
38040,ES-TF,ES-CN,Santiago del Teide
38041,ES-TF,ES-CN,El Sauzal
38042,ES-TF,ES-CN,Los Silos
38043,ES-TF,ES-CN,Tacoronte
38044,ES-TF,ES-CN,El Tanque
38045,ES-TF,ES-CN,Tazacorte
38046,ES-TF,ES-CN,Tegueste
38047,ES-TF,ES-CN,Tijarafe
38048,ES-TF,ES-CN,Valverde
38049,ES-TF,ES-CN,Valle Gran Rey
38050,ES-TF,ES-CN,Vallehermoso
38051,ES-TF,ES-CN,La Victoria de Acentejo
38052,ES-TF,ES-CN,Vilaflor
38053,ES-TF,ES-CN,Villa de Mazo
