id,prov,ccaa,name
45001,ES-TO,ES-CM,Ajofrín
45002,ES-TO,ES-CM,Alameda de la Sagra
45003,ES-TO,ES-CM,Albarreal de Tajo
45004,ES-TO,ES-CM,Alcabón
45005,ES-TO,ES-CM,Alcañizo
45006,ES-TO,ES-CM,Alcaudete de la Jara
45007,ES-TO,ES-CM,Alcolea de Tajo
45008,ES-TO,ES-CM,Aldea en Cabo
45009,ES-TO,ES-CM,Aldeanueva de Barbarroya
45010,ES-TO,ES-CM,Aldeanueva de San Bartolomé
45011,ES-TO,ES-CM,Almendral de la Cañada
45012,ES-TO,ES-CM,Almonacid de Toledo
45013,ES-TO,ES-CM,Almorox
45014,ES-TO,ES-CM,Añover de Tajo
45015,ES-TO,ES-CM,Arcicóllar
45016,ES-TO,ES-CM,Argés
45017,ES-TO,ES-CM,Azután
45018,ES-TO,ES-CM,Barcience
45019,ES-TO,ES-CM,Bargas
45020,ES-TO,ES-CM,Belvís de la Jara
45021,ES-TO,ES-CM,Borox
45022,ES-TO,ES-CM,Buenaventura
45023,ES-TO,ES-CM,Burguillos de Toledo
45024,ES-TO,ES-CM,Burujón
45025,ES-TO,ES-CM,Cabañas de la Sagra
45026,ES-TO,ES-CM,Cabañas de Yepes
45027,ES-TO,ES-CM,Cabezamesada
45028,ES-TO,ES-CM,Calera y Chozas
45029,ES-TO,ES-CM,Caleruela
45030,ES-TO,ES-CM,Calzada de Oropesa
45031,ES-TO,ES-CM,Camarena
45032,ES-TO,ES-CM,Camarenilla
45033,ES-TO,ES-CM,El Campillo de la Jara
45034,ES-TO,ES-CM,Camuñas
45035,ES-TO,ES-CM,Cardiel de los Montes
45036,ES-TO,ES-CM,Carmena
45037,ES-TO,ES-CM,El Carpio de Tajo
45038,ES-TO,ES-CM,Carranque
45039,ES-TO,ES-CM,Carriches
45040,ES-TO,ES-CM,El Casar de Escalona
45041,ES-TO,ES-CM,Casarrubios del Monte
45042,ES-TO,ES-CM,Casasbuenas
45043,ES-TO,ES-CM,Castillo de Bayuela
45045,ES-TO,ES-CM,Cazalegas
45046,ES-TO,ES-CM,Cebolla
45047,ES-TO,ES-CM,Cedillo del Condado
45048,ES-TO,ES-CM,Los Cerralbos
45049,ES-TO,ES-CM,Cervera de los Montes
45050,ES-TO,ES-CM,Ciruelos
45051,ES-TO,ES-CM,Cobeja
45052,ES-TO,ES-CM,Cobisa
45053,ES-TO,ES-CM,Consuegra
45054,ES-TO,ES-CM,Corral de Almaguer
45055,ES-TO,ES-CM,Cuerva
45056,ES-TO,ES-CM,Chozas de Canales
45057,ES-TO,ES-CM,Chueca
45058,ES-TO,ES-CM,Domingo Pérez
45059,ES-TO,ES-CM,Dosbarrios
45060,ES-TO,ES-CM,Erustes
45061,ES-TO,ES-CM,Escalona
45062,ES-TO,ES-CM,Escalonilla
45063,ES-TO,ES-CM,Espinoso del Rey
45064,ES-TO,ES-CM,Esquivias
45065,ES-TO,ES-CM,La Estrella
45066,ES-TO,ES-CM,Fuensalida
45067,ES-TO,ES-CM,Gálvez
45068,ES-TO,ES-CM,Garciotum
45069,ES-TO,ES-CM,Gerindote
45070,ES-TO,ES-CM,Guadamur
45071,ES-TO,ES-CM,La Guardia
45072,ES-TO,ES-CM,Las Herencias
45073,ES-TO,ES-CM,Herreruela de Oropesa
45074,ES-TO,ES-CM,Hinojosa de San Vicente
45075,ES-TO,ES-CM,Hontanar
45076,ES-TO,ES-CM,Hormigos
45077,ES-TO,ES-CM,Huecas
45078,ES-TO,ES-CM,Huerta de Valdecarábanos
45079,ES-TO,ES-CM,La Iglesuela del Tiétar
45080,ES-TO,ES-CM,Illán de Vacas
45081,ES-TO,ES-CM,Illescas
45082,ES-TO,ES-CM,Lagartera
45083,ES-TO,ES-CM,Layos
45084,ES-TO,ES-CM,Lillo
45085,ES-TO,ES-CM,Lominchar
45086,ES-TO,ES-CM,Lucillos
45087,ES-TO,ES-CM,Madridejos
45088,ES-TO,ES-CM,Magán
45089,ES-TO,ES-CM,Malpica de Tajo
45090,ES-TO,ES-CM,Manzaneque
45091,ES-TO,ES-CM,Maqueda
45092,ES-TO,ES-CM,Marjaliza
45093,ES-TO,ES-CM,Marrupe
45094,ES-TO,ES-CM,Mascaraque
45095,ES-TO,ES-CM,La Mata
45096,ES-TO,ES-CM,Mazarambroz
45097,ES-TO,ES-CM,Mejorada
45098,ES-TO,ES-CM,Menasalbas
45099,ES-TO,ES-CM,Méntrida
45100,ES-TO,ES-CM,Mesegar de Tajo
45101,ES-TO,ES-CM,Miguel Esteban
45102,ES-TO,ES-CM,Mocejón
45103,ES-TO,ES-CM,Mohedas de la Jara
45104,ES-TO,ES-CM,Montearagón
45105,ES-TO,ES-CM,Montesclaros
45106,ES-TO,ES-CM,Mora
45107,ES-TO,ES-CM,Nambroca
45108,ES-TO,ES-CM,La Nava de Ricomalillo
45109,ES-TO,ES-CM,Navahermosa
45110,ES-TO,ES-CM,Navalcán
45111,ES-TO,ES-CM,Navalmoralejo
45112,ES-TO,ES-CM,Los Navalmorales
45113,ES-TO,ES-CM,Los Navalucillos
45114,ES-TO,ES-CM,Navamorcuende
