id,prov,ccaa,name
46001,ES-V,ES-VC,Ademuz
46002,ES-V,ES-VC,Ador
46003,ES-V,ES-VC,Atzeneta d'Albaida
46004,ES-V,ES-VC,Agullent
46005,ES-V,ES-VC,Alaquàs
46006,ES-V,ES-VC,Albaida
46007,ES-V,ES-VC,Albal
46008,ES-V,ES-VC,Albalat de la Ribera
46009,ES-V,ES-VC,Albalat dels Sorells
46010,ES-V,ES-VC,Albalat dels Tarongers
46011,ES-V,ES-VC,Alberic
46012,ES-V,ES-VC,Alborache
46013,ES-V,ES-VC,Alboraia / Alboraya
46014,ES-V,ES-VC,Albuixech
46015,ES-V,ES-VC,Alcàsser
46016,ES-V,ES-VC,Alcàntera de Xúquer
46017,ES-V,ES-VC,Alzira
46018,ES-V,ES-VC,Alcublas
46019,ES-V,ES-VC,l'Alcúdia
46020,ES-V,ES-VC,l'Alcúdia de Crespins
46021,ES-V,ES-VC,Aldaia
46022,ES-V,ES-VC,Alfafar
46023,ES-V,ES-VC,Alfauir
46024,ES-V,ES-VC,Alfara de la Baronia
46025,ES-V,ES-VC,Alfara del Patriarca
46026,ES-V,ES-VC,Alfarp
46027,ES-V,ES-VC,Alfarrasí
46028,ES-V,ES-VC,Algar de Palancia
46029,ES-V,ES-VC,Algemesí
46030,ES-V,ES-VC,Algímia d'Alfara
46031,ES-V,ES-VC,Alginet
46032,ES-V,ES-VC,Almàssera
46033,ES-V,ES-VC,Almiserà
46034,ES-V,ES-VC,Almoines
46035,ES-V,ES-VC,Almussafes
46036,ES-V,ES-VC,Alpuente
46037,ES-V,ES-VC,l'Alqueria de la Comtessa
46038,ES-V,ES-VC,Andilla
46039,ES-V,ES-VC,Anna
46040,ES-V,ES-VC,Antella
46041,ES-V,ES-VC,Aras de los Olmos
46042,ES-V,ES-VC,Aielo de Malferit
46043,ES-V,ES-VC,Aielo de Rugat
46044,ES-V,ES-VC,Ayora
46045,ES-V,ES-VC,Barxeta
46046,ES-V,ES-VC,Barx
46047,ES-V,ES-VC,Bèlgida
46048,ES-V,ES-VC,Bellreguard
46049,ES-V,ES-VC,Bellús
46050,ES-V,ES-VC,Benagéber
46051,ES-V,ES-VC,Benaguasil
46052,ES-V,ES-VC,Benavites
46053,ES-V,ES-VC,Beneixida
46054,ES-V,ES-VC,Benetússer
46055,ES-V,ES-VC,Beniarjó
46056,ES-V,ES-VC,Beniatjar
46057,ES-V,ES-VC,Benicolet
46058,ES-V,ES-VC,Benifairó de les Valls
46059,ES-V,ES-VC,Benifairó de la Valldigna
46060,ES-V,ES-VC,Benifaió
46061,ES-V,ES-VC,Beniflá
46062,ES-V,ES-VC,Benigànim
46063,ES-V,ES-VC,Benimodo
46064,ES-V,ES-VC,Benimuslem
46065,ES-V,ES-VC,Beniparrell
46066,ES-V,ES-VC,Benirredrà
46067,ES-V,ES-VC,Benissanó
46068,ES-V,ES-VC,Benissoda
46069,ES-V,ES-VC,Benissuera
46070,ES-V,ES-VC,Bétera
46071,ES-V,ES-VC,Bicorp
46072,ES-V,ES-VC,Bocairent
46073,ES-V,ES-VC,Bolbaite
46074,ES-V,ES-VC,Bonrepòs i Mirambell
46075,ES-V,ES-VC,Bufali
46076,ES-V,ES-VC,Bugarra
46077,ES-V,ES-VC,Buñol
46078,ES-V,ES-VC,Burjassot
46079,ES-V,ES-VC,Calles
46080,ES-V,ES-VC,Camporrobles
46081,ES-V,ES-VC,Canals
46082,ES-V,ES-VC,Canet d'en Berenguer
46083,ES-V,ES-VC,Carcaixent
46084,ES-V,ES-VC,Càrcer
46085,ES-V,ES-VC,Carlet
46086,ES-V,ES-VC,Carrícola
46087,ES-V,ES-VC,Casas Altas
46088,ES-V,ES-VC,Casas Bajas
46089,ES-V,ES-VC,Casinos
46090,ES-V,ES-VC,Castelló de Rugat
46091,ES-V,ES-VC,Castellonet de la Conquesta
46092,ES-V,ES-VC,Castielfabib
46093,ES-V,ES-VC,Catadau
46094,ES-V,ES-VC,Catarroja
46095,ES-V,ES-VC,Caudete de las Fuentes
46096,ES-V,ES-VC,Cerdà
46097,ES-V,ES-VC,Cofrentes
46098,ES-V,ES-VC,Corbera
46099,ES-V,ES-VC,Cortes de Pallás
46100,ES-V,ES-VC,Cotes
46101,ES-V,ES-VC,Quart de les Valls
46102,ES-V,ES-VC,Quart de Poblet
46103,ES-V,ES-VC,Quartell
46104,ES-V,ES-VC,Quatretonda
46105,ES-V,ES-VC,Cullera
46106,ES-V,ES-VC,Chelva
46107,ES-V,ES-VC,Chella
46108,ES-V,ES-VC,Chera
46109,ES-V,ES-VC,Cheste
46110,ES-V,ES-VC,Xirivella
46111,ES-V,ES-VC,Chiva
46112,ES-V,ES-VC,Chulilla
46113,ES-V,ES-VC,Daimús
46114,ES-V,ES-VC,Domeño
46115,ES-V,ES-VC,Dos Aguas
46116,ES-V,ES-VC,l'Eliana
46117,ES-V,ES-VC,Emperador
46118,ES-V,ES-VC,Enguera
46119,ES-V,ES-VC,l'Énova
46120,ES-V,ES-VC,Estivella
46121,ES-V,ES-VC,Estubeny
46122,ES-V,ES-VC,Faura
46123,ES-V,ES-VC,Favara
46124,ES-V,ES-VC,Fontanars dels Alforins
46125,ES-V,ES-VC,Fortaleny
46126,ES-V,ES-VC,Foios
46127,ES-V,ES-VC,la Font d'en Carròs
46128,ES-V,ES-VC,la Font de la Figuera
46129,ES-V,ES-VC,Fuenterrobles
46130,ES-V,ES-VC,Gavarda
46131,ES-V,ES-VC,Gandia
46132,ES-V,ES-VC,el Genovés
46133,ES-V,ES-VC,Gestalgar
46134,ES-V,ES-VC,Gilet
46135,ES-V,ES-VC,Godella
46136,ES-V,ES-VC,Godelleta
46137,ES-V,ES-VC,la Granja de la Costera
46138,ES-V,ES-VC,Guadasséquies
46139,ES-V,ES-VC,Guadassuar
46140,ES-V,ES-VC,Guardamar de la Safor
46141,ES-V,ES-VC,Higueruelas
46142,ES-V,ES-VC,Jalance
46143,ES-V,ES-VC,Xeraco
46144,ES-V,ES-VC,Jarafuel
46145,ES-V,ES-VC,Xàtiva
46146,ES-V,ES-VC,Xeresa
46147,ES-V,ES-VC,Llíria
46148,ES-V,ES-VC,Loriguilla
46149,ES-V,ES-VC,Losa del Obispo
46150,ES-V,ES-VC,Llutxent
46151,ES-V,ES-VC,Llocnou d'en Fenollet
46152,ES-V,ES-VC,Llocnou de la Corona
46153,ES-V,ES-VC,Llocnou de Sant Jeroni
46154,ES-V,ES-VC,Llanera de Ranes
46155,ES-V,ES-VC,Llaurí
46156,ES-V,ES-VC,Llombai
46157,ES-V,ES-VC,la Llosa de Ranes
46158,ES-V,ES-VC,Macastre
46159,ES-V,ES-VC,Manises
46160,ES-V,ES-VC,Manuel
46161,ES-V,ES-VC,Marines
46162,ES-V,ES-VC,Massalavés
46163,ES-V,ES-VC,Massalfassar
46164,ES-V,ES-VC,Massamagrell
46165,ES-V,ES-VC,Massanassa
46166,ES-V,ES-VC,Meliana
46167,ES-V,ES-VC,Millares
46168,ES-V,ES-VC,Miramar
46169,ES-V,ES-VC,Mislata
