id,prov,ccaa,name
47001,ES-VA,ES-CL,Adalia
47002,ES-VA,ES-CL,Aguasal
47003,ES-VA,ES-CL,Aguilar de Campos
47004,ES-VA,ES-CL,Alaejos
47005,ES-VA,ES-CL,Alcazarén
47006,ES-VA,ES-CL,Aldea de San Miguel
47007,ES-VA,ES-CL,Aldeamayor de San Martín
47008,ES-VA,ES-CL,Almenara de Adaja
47009,ES-VA,ES-CL,Amusquillo
47010,ES-VA,ES-CL,Arroyo de la Encomienda
47011,ES-VA,ES-CL,Ataquines
47012,ES-VA,ES-CL,Bahabón
47013,ES-VA,ES-CL,Barcial de la Loma
47014,ES-VA,ES-CL,Barruelo del Valle
47015,ES-VA,ES-CL,Becilla de Valderaduey
47016,ES-VA,ES-CL,Benafarces
47017,ES-VA,ES-CL,Bercero
47018,ES-VA,ES-CL,Berceruelo
47019,ES-VA,ES-CL,Berrueces
47020,ES-VA,ES-CL,Bobadilla del Campo
47021,ES-VA,ES-CL,Bocigas
47022,ES-VA,ES-CL,Bocos de Duero
47023,ES-VA,ES-CL,Boecillo
47024,ES-VA,ES-CL,Bolaños de Campos
47025,ES-VA,ES-CL,Brahojos de Medina
47026,ES-VA,ES-CL,Bustillo de Chaves
47027,ES-VA,ES-CL,Cabezón de Pisuerga
47028,ES-VA,ES-CL,Cabezón de Valderaduey
47029,ES-VA,ES-CL,Cabreros del Monte
47030,ES-VA,ES-CL,Campaspero
47031,ES-VA,ES-CL,El Campillo
47032,ES-VA,ES-CL,Camporredondo
47033,ES-VA,ES-CL,Canalejas de Peñafiel
47034,ES-VA,ES-CL,Canillas de Esgueva
47035,ES-VA,ES-CL,Carpio
47036,ES-VA,ES-CL,Casasola de Arión
47037,ES-VA,ES-CL,Castrejón de Trabancos
47038,ES-VA,ES-CL,Castrillo de Duero
47039,ES-VA,ES-CL,Castrillo-Tejeriego
47040,ES-VA,ES-CL,Castrobol
47041,ES-VA,ES-CL,Castrodeza
47042,ES-VA,ES-CL,Castromembibre
47043,ES-VA,ES-CL,Castromonte
47044,ES-VA,ES-CL,Castronuevo de Esgueva
47045,ES-VA,ES-CL,Castronuño
47046,ES-VA,ES-CL,Castroponce
47047,ES-VA,ES-CL,Castroverde de Cerrato
47048,ES-VA,ES-CL,Ceinos de Campos
47049,ES-VA,ES-CL,Cervillego de la Cruz
47050,ES-VA,ES-CL,Cigales
47051,ES-VA,ES-CL,Ciguñuela
47052,ES-VA,ES-CL,Cistérniga
47053,ES-VA,ES-CL,Cogeces de Íscar
47054,ES-VA,ES-CL,Cogeces del Monte
47055,ES-VA,ES-CL,Corcos
47056,ES-VA,ES-CL,Corrales de Duero
47057,ES-VA,ES-CL,Cubillas de Santa Marta
47058,ES-VA,ES-CL,Cuenca de Campos
47059,ES-VA,ES-CL,Curiel de Duero
47060,ES-VA,ES-CL,Encinas de Esgueva
47061,ES-VA,ES-CL,Esguevillas de Esgueva
47062,ES-VA,ES-CL,Fombellida
47063,ES-VA,ES-CL,Fompedraza
47064,ES-VA,ES-CL,Fontihoyuelo
47065,ES-VA,ES-CL,Fresno el Viejo
47066,ES-VA,ES-CL,Fuensaldaña
47067,ES-VA,ES-CL,Fuente el Sol
47068,ES-VA,ES-CL,Fuente-Olmedo
47069,ES-VA,ES-CL,Gallegos de Hornija
47070,ES-VA,ES-CL,Gatón de Campos
47071,ES-VA,ES-CL,Geria
47073,ES-VA,ES-CL,Herrín de Campos
47074,ES-VA,ES-CL,Hornillos de Eresma
47075,ES-VA,ES-CL,Íscar
47076,ES-VA,ES-CL,Laguna de Duero
47077,ES-VA,ES-CL,Langayo
47078,ES-VA,ES-CL,Lomoviejo
47079,ES-VA,ES-CL,Llano de Olmedo
47080,ES-VA,ES-CL,Manzanillo
47081,ES-VA,ES-CL,Marzales
47082,ES-VA,ES-CL,Matapozuelos
47083,ES-VA,ES-CL,Matilla de los Caños
47084,ES-VA,ES-CL,Mayorga
47085,ES-VA,ES-CL,Medina del Campo
47086,ES-VA,ES-CL,Medina de Rioseco
47087,ES-VA,ES-CL,Megeces
47088,ES-VA,ES-CL,Melgar de Abajo
47089,ES-VA,ES-CL,Melgar de Arriba
47090,ES-VA,ES-CL,Mojados
47091,ES-VA,ES-CL,Monasterio de Vega
47092,ES-VA,ES-CL,Montealegre de Campos
47093,ES-VA,ES-CL,Montemayor de Pililla
47094,ES-VA,ES-CL,Moral de la Reina
47095,ES-VA,ES-CL,Moraleja de las Panaderas
47096,ES-VA,ES-CL,Morales de Campos
47097,ES-VA,ES-CL,Mota del Marqués
47098,ES-VA,ES-CL,Mucientes
47099,ES-VA,ES-CL,La Mudarra
47100,ES-VA,ES-CL,Muriel
47101,ES-VA,ES-CL,Nava del Rey
47102,ES-VA,ES-CL,Nueva Villa de las Torres
47103,ES-VA,ES-CL,Olivares de Duero
47104,ES-VA,ES-CL,Olmedo
47105,ES-VA,ES-CL,Olmos de Esgueva
47106,ES-VA,ES-CL,Olmos de Peñafiel
47109,ES-VA,ES-CL,Palazuelo de Vedija
47110,ES-VA,ES-CL,La Parrilla
47111,ES-VA,ES-CL,La Pedraja de Portillo
47112,ES-VA,ES-CL,Pedrajas de San Esteban
47113,ES-VA,ES-CL,Pedrosa del Rey
47114,ES-VA,ES-CL,Peñafiel
47115,ES-VA,ES-CL,Peñaflor de Hornija
47116,ES-VA,ES-CL,Pesquera de Duero
47117,ES-VA,ES-CL,Piña de Esgueva
47118,ES-VA,ES-CL,Piñel de Abajo
47119,ES-VA,ES-CL,Piñel de Arriba
47121,ES-VA,ES-CL,Pollos
47122,ES-VA,ES-CL,Portillo
47123,ES-VA,ES-CL,Pozal de Gallinas
47124,ES-VA,ES-CL,Pozaldez
47125,ES-VA,ES-CL,Pozuelo de la Orden
47126,ES-VA,ES-CL,Puras
47127,ES-VA,ES-CL,Quintanilla de Arriba
47128,ES-VA,ES-CL,Quintanilla del Molar
47129,ES-VA,ES-CL,Quintanilla de Onésimo
47130,ES-VA,ES-CL,Quintanilla de Trigueros
47131,ES-VA,ES-CL,Rábano
47132,ES-VA,ES-CL,Ramiro
47133,ES-VA,ES-CL,Renedo de Esgueva
47134,ES-VA,ES-CL,Roales de Campos
47135,ES-VA,ES-CL,Robladillo
47137,ES-VA,ES-CL,Roturas
47138,ES-VA,ES-CL,Rubí de Bracamonte
47139,ES-VA,ES-CL,Rueda
47140,ES-VA,ES-CL,Saelices de Mayorga
47141,ES-VA,ES-CL,Salvador de Zapardiel
47142,ES-VA,ES-CL,San Cebrián de Mazote
47143,ES-VA,ES-CL,San Llorente
47144,ES-VA,ES-CL,San Martín de Valvení
47145,ES-VA,ES-CL,San Miguel del Arroyo
47146,ES-VA,ES-CL,San Miguel del Pino
47147,ES-VA,ES-CL,San Pablo de la Moraleja
47148,ES-VA,ES-CL,San Pedro de Latarce
47149,ES-VA,ES-CL,San Pelayo
47150,ES-VA,ES-CL,San Román de Hornija
47151,ES-VA,ES-CL,San Salvador
47152,ES-VA,ES-CL,Santa Eufemia del Arroyo
47153,ES-VA,ES-CL,Santervás de Campos
47154,ES-VA,ES-CL,Santibáñez de Valcorba
47155,ES-VA,ES-CL,Santovenia de Pisuerga
47156,ES-VA,ES-CL,San Vicente del Palacio
47157,ES-VA,ES-CL,Sardón de Duero
47158,ES-VA,ES-CL,La Seca
47159,ES-VA,ES-CL,Serrada
47160,ES-VA,ES-CL,Siete Iglesias de Trabancos
47161,ES-VA,ES-CL,Simancas
47162,ES-VA,ES-CL,Tamariz de Campos
47163,ES-VA,ES-CL,Tiedra
47164,ES-VA,ES-CL,Tordehumos
47165,ES-VA,ES-CL,Tordesillas
47166,ES-VA,ES-CL,Torrecilla de la Abadesa
47167,ES-VA,ES-CL,Torrecilla de la Orden
47168,ES-VA,ES-CL,Torrecilla de la Torre
47169,ES-VA,ES-CL,Torre de Esgueva
47170,ES-VA,ES-CL,Torre de Peñafiel
47171,ES-VA,ES-CL,Torrelobatón
47172,ES-VA,ES-CL,Torrescárcela
47173,ES-VA,ES-CL,Traspinedo
47174,ES-VA,ES-CL,Trigueros del Valle
47175,ES-VA,ES-CL,Tudela de Duero
47176,ES-VA,ES-CL,La Unión de Campos
47177,ES-VA,ES-CL,Urones de Castroponce
47178,ES-VA,ES-CL,Urueña
47179,ES-VA,ES-CL,Valbuena de Duero
47180,ES-VA,ES-CL,Valdearcos de la Vega
47181,ES-VA,ES-CL,Valdenebro de los Valles
47182,ES-VA,ES-CL,Valdestillas
47183,ES-VA,ES-CL,Valdunquillo
47184,ES-VA,ES-CL,Valoria la Buena
47185,ES-VA,ES-CL,Valverde de Campos
47186,ES-VA,ES-CL,Valladolid
47187,ES-VA,ES-CL,Vega de Ruiponce
47188,ES-VA,ES-CL,Vega de Valdetronco
47189,ES-VA,ES-CL,Velascálvaro
47190,ES-VA,ES-CL,Velilla
47191,ES-VA,ES-CL,Velliza
47192,ES-VA,ES-CL,Ventosa de la Cuesta
47193,ES-VA,ES-CL,Viana de Cega
47194,ES-VA,ES-CL,Viloria
47195,ES-VA,ES-CL,Villabáñez
47196,ES-VA,ES-CL,Villabaruz de Campos
47197,ES-VA,ES-CL,Villabrágima
47198,ES-VA,ES-CL,Villacarralón
47199,ES-VA,ES-CL,Villacid de Campos
47200,ES-VA,ES-CL,Villaco
47203,ES-VA,ES-CL,Villafrades de Campos
47204,ES-VA,ES-CL,Villafranca de Duero
47205,ES-VA,ES-CL,Villafrechós
47206,ES-VA,ES-CL,Villafuerte
47207,ES-VA,ES-CL,Villagarcía de Campos
47208,ES-VA,ES-CL,Villagómez la Nueva
47209,ES-VA,ES-CL,Villalán de Campos
47210,ES-VA,ES-CL,Villalar de los Comuneros
47211,ES-VA,ES-CL,Villalba de la Loma
47212,ES-VA,ES-CL,Villalba de los Alcores
47213,ES-VA,ES-CL,Villalbarba
47214,ES-VA,ES-CL,Villalón de Campos
47215,ES-VA,ES-CL,Villamuriel de Campos
47216,ES-VA,ES-CL,Villán de Tordesillas
47217,ES-VA,ES-CL,Villanubla
47218,ES-VA,ES-CL,Villanueva de Duero
47219,ES-VA,ES-CL,Villanueva de la Condesa
47220,ES-VA,ES-CL,Villanueva de los Caballeros
47221,ES-VA,ES-CL,Villanueva de los Infantes
47222,ES-VA,ES-CL,Villanueva de San Mancio
47223,ES-VA,ES-CL,Villardefrades
47224,ES-VA,ES-CL,Villarmentero de Esgueva
47225,ES-VA,ES-CL,Villasexmir
47226,ES-VA,ES-CL,Villavaquerín
47227,ES-VA,ES-CL,Villavellid
47228,ES-VA,ES-CL,Villaverde de Medina
47229,ES-VA,ES-CL,Villavicencio de los Caballeros
47230,ES-VA,ES-CL,Wamba
47231,ES-VA,ES-CL,Zaratán
47232,ES-VA,ES-CL,La Zarza
