id,prov,ccaa,name
49002,ES-ZA,ES-CL,Abezames
49003,ES-ZA,ES-CL,Alcañices
49004,ES-ZA,ES-CL,Alcubilla de Nogales
49005,ES-ZA,ES-CL,Alfaraz de Sayago
49006,ES-ZA,ES-CL,Algodre
49007,ES-ZA,ES-CL,Almaraz de Duero
49008,ES-ZA,ES-CL,Almeida de Sayago
49009,ES-ZA,ES-CL,Andavías
49010,ES-ZA,ES-CL,Arcenillas
49011,ES-ZA,ES-CL,Arcos de la Polvorosa
49012,ES-ZA,ES-CL,Argañín
49013,ES-ZA,ES-CL,Argujillo
49014,ES-ZA,ES-CL,Arquillinos
49015,ES-ZA,ES-CL,Arrabalde
49016,ES-ZA,ES-CL,Aspariegos
49017,ES-ZA,ES-CL,Asturianos
49018,ES-ZA,ES-CL,Ayoó de Vidriales
49019,ES-ZA,ES-CL,Barcial del Barco
49020,ES-ZA,ES-CL,Belver de los Montes
49021,ES-ZA,ES-CL,Benavente
49022,ES-ZA,ES-CL,Benegiles
49023,ES-ZA,ES-CL,Bermillo de Sayago
49024,ES-ZA,ES-CL,La Bóveda de Toro
49025,ES-ZA,ES-CL,Bretó
49026,ES-ZA,ES-CL,Bretocino
49027,ES-ZA,ES-CL,Brime de Sog
49028,ES-ZA,ES-CL,Brime de Urz
49029,ES-ZA,ES-CL,Burganes de Valverde
49030,ES-ZA,ES-CL,Bustillo del Oro
49031,ES-ZA,ES-CL,Cabañas de Sayago
49032,ES-ZA,ES-CL,Calzadilla de Tera
49033,ES-ZA,ES-CL,Camarzana de Tera
49034,ES-ZA,ES-CL,Cañizal
49035,ES-ZA,ES-CL,Cañizo
49036,ES-ZA,ES-CL,Carbajales de Alba
49037,ES-ZA,ES-CL,Carbellino
49038,ES-ZA,ES-CL,Casaseca de Campeán
49039,ES-ZA,ES-CL,Casaseca de las Chanas
49040,ES-ZA,ES-CL,Castrillo de la Guareña
49041,ES-ZA,ES-CL,Castrogonzalo
49042,ES-ZA,ES-CL,Castronuevo
49043,ES-ZA,ES-CL,Castroverde de Campos
49044,ES-ZA,ES-CL,Cazurra
49046,ES-ZA,ES-CL,Cerecinos de Campos
49047,ES-ZA,ES-CL,Cerecinos del Carrizal
49048,ES-ZA,ES-CL,Cernadilla
49050,ES-ZA,ES-CL,Cobreros
49052,ES-ZA,ES-CL,Coomonte
49053,ES-ZA,ES-CL,Coreses
49054,ES-ZA,ES-CL,Corrales del Vino
49055,ES-ZA,ES-CL,Cotanes del Monte
49056,ES-ZA,ES-CL,Cubillos
49057,ES-ZA,ES-CL,Cubo de Benavente
49058,ES-ZA,ES-CL,El Cubo de Tierra del Vino
49059,ES-ZA,ES-CL,Cuelgamures
49061,ES-ZA,ES-CL,Entrala
49062,ES-ZA,ES-CL,Espadañedo
49063,ES-ZA,ES-CL,Faramontanos de Tábara
49064,ES-ZA,ES-CL,Fariza
49065,ES-ZA,ES-CL,Fermoselle
49066,ES-ZA,ES-CL,Ferreras de Abajo
49067,ES-ZA,ES-CL,Ferreras de Arriba
49068,ES-ZA,ES-CL,Ferreruela
49069,ES-ZA,ES-CL,Figueruela de Arriba
49071,ES-ZA,ES-CL,Fonfría
49075,ES-ZA,ES-CL,Fresno de la Polvorosa
49076,ES-ZA,ES-CL,Fresno de la Ribera
49077,ES-ZA,ES-CL,Fresno de Sayago
49078,ES-ZA,ES-CL,Friera de Valverde
49079,ES-ZA,ES-CL,Fuente Encalada
49080,ES-ZA,ES-CL,Fuentelapeña
49081,ES-ZA,ES-CL,Fuentesaúco
49082,ES-ZA,ES-CL,Fuentes de Ropel
49083,ES-ZA,ES-CL,Fuentesecas
49084,ES-ZA,ES-CL,Fuentespreadas
49085,ES-ZA,ES-CL,Galende
49086,ES-ZA,ES-CL,Gallegos del Pan
49087,ES-ZA,ES-CL,Gallegos del Río
49088,ES-ZA,ES-CL,Gamones
49090,ES-ZA,ES-CL,Gema
49091,ES-ZA,ES-CL,Granja de Moreruela
49092,ES-ZA,ES-CL,Granucillo
49093,ES-ZA,ES-CL,Guarrate
49094,ES-ZA,ES-CL,Hermisende
49095,ES-ZA,ES-CL,La Hiniesta
49096,ES-ZA,ES-CL,Jambrina
49097,ES-ZA,ES-CL,Justel
49098,ES-ZA,ES-CL,Losacino
49099,ES-ZA,ES-CL,Losacio
49100,ES-ZA,ES-CL,Lubián
49101,ES-ZA,ES-CL,Luelmo
49102,ES-ZA,ES-CL,El Maderal
49103,ES-ZA,ES-CL,Madridanos
49104,ES-ZA,ES-CL,Mahide
49105,ES-ZA,ES-CL,Maire de Castroponce
49107,ES-ZA,ES-CL,Malva
49108,ES-ZA,ES-CL,Manganeses de la Lampreana
49109,ES-ZA,ES-CL,Manganeses de la Polvorosa
49110,ES-ZA,ES-CL,Manzanal de Arriba
49111,ES-ZA,ES-CL,Manzanal del Barco
49112,ES-ZA,ES-CL,Manzanal de los Infantes
49113,ES-ZA,ES-CL,Matilla de Arzón
49114,ES-ZA,ES-CL,Matilla la Seca
49115,ES-ZA,ES-CL,Mayalde
49116,ES-ZA,ES-CL,Melgar de Tera
49117,ES-ZA,ES-CL,Micereces de Tera
49118,ES-ZA,ES-CL,Milles de la Polvorosa
49119,ES-ZA,ES-CL,Molacillos
49120,ES-ZA,ES-CL,Molezuelas de la Carballeda
49121,ES-ZA,ES-CL,Mombuey
49122,ES-ZA,ES-CL,Monfarracinos
49123,ES-ZA,ES-CL,Montamarta
49124,ES-ZA,ES-CL,Moral de Sayago
49125,ES-ZA,ES-CL,Moraleja del Vino
49126,ES-ZA,ES-CL,Moraleja de Sayago
49127,ES-ZA,ES-CL,Morales del Vino
49128,ES-ZA,ES-CL,Morales de Rey
49129,ES-ZA,ES-CL,Morales de Toro
49130,ES-ZA,ES-CL,Morales de Valverde
49131,ES-ZA,ES-CL,Moralina
49132,ES-ZA,ES-CL,Moreruela de los Infanzones
49133,ES-ZA,ES-CL,Moreruela de Tábara
