id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
23001,ES-J,ES-AN,Albanchez de Mágina,2020-02-01,20,82,0.76,3081.82,8990.24,0.66
23002,ES-J,ES-AN,Alcalá la Real,2020-02-01,140,450,0.69,32761.42,85473.93,0.62
23003,ES-J,ES-AN,Alcaudete,2020-02-01,67,229,0.71,8606.26,42349.46,0.80
23004,ES-J,ES-AN,Aldeaquemada,2020-02-01,3,54,0.94,205.24,6678.12,0.97
23005,ES-J,ES-AN,Andújar,2020-02-01,213,822,0.74,18924.28,100126.94,0.81
23006,ES-J,ES-AN,Arjona,2020-02-01,5,155,0.97,641.18,20277.08,0.97
23007,ES-J,ES-AN,Arjonilla,2020-02-01,19,153,0.88,1607.61,17408.46,0.91
23008,ES-J,ES-AN,Arquillos,2020-02-01,10,57,0.82,1908.22,9848.49,0.81
23009,ES-J,ES-AN,Baeza,2020-02-01,122,646,0.81,16635.66,87639.17,0.81
23010,ES-J,ES-AN,Bailén,2020-02-01,118,318,0.63,16255.45,54763.48,0.70
23011,ES-J,ES-AN,Baños de la Encina,2020-02-01,49,186,0.74,5481.39,21047.89,0.74
23012,ES-J,ES-AN,Beas de Segura,2020-02-01,32,179,0.82,3684.26,20831.95,0.82
23014,ES-J,ES-AN,Begíjar,2020-02-01,12,131,0.91,845.31,19868.36,0.96
23015,ES-J,ES-AN,Bélmez de la Moraleda,2020-02-01,7,72,0.90,522.47,6654.72,0.92
23016,ES-J,ES-AN,Benatae,2020-02-01,5,55,0.91,460.07,4840.97,0.90
23017,ES-J,ES-AN,Cabra del Santo Cristo,2020-02-01,14,71,0.80,1978.99,9640.82,0.79
23018,ES-J,ES-AN,Cambil,2020-02-01,44,121,0.64,2630.92,12225.55,0.78
23019,ES-J,ES-AN,Campillo de Arenas,2020-02-01,8,80,0.90,294.36,8662.66,0.97
23020,ES-J,ES-AN,Canena,2020-02-01,17,114,0.85,688.45,11864.02,0.94
23021,ES-J,ES-AN,Carboneros,2020-02-01,13,42,0.69,3503.42,7626.37,0.54
23024,ES-J,ES-AN,La Carolina,2020-02-01,113,432,0.74,13941.60,76298.57,0.82
23025,ES-J,ES-AN,Castellar,2020-02-01,9,108,0.92,759.98,17874.92,0.96
23026,ES-J,ES-AN,Castillo de Locubín,2020-02-01,24,149,0.84,2898.45,19519.90,0.85
23027,ES-J,ES-AN,Cazalilla,2020-02-01,8,45,0.82,804.88,5368.34,0.85
23028,ES-J,ES-AN,Cazorla,2020-02-01,23,283,0.92,3547.88,31549.64,0.89
23029,ES-J,ES-AN,Chiclana de Segura,2020-02-01,49,93,0.47,3975.02,11299.57,0.65
23030,ES-J,ES-AN,Chilluévar,2020-02-01,9,76,0.88,966.81,12139.13,0.92
23031,ES-J,ES-AN,Escañuela,2020-02-01,9,39,0.77,779.73,4456.45,0.83
23032,ES-J,ES-AN,Espeluy,2020-02-01,5,41,0.88,499.11,6022.08,0.92
23033,ES-J,ES-AN,Frailes,2020-02-01,8,82,0.90,1060.75,10880.85,0.90
23034,ES-J,ES-AN,Fuensanta de Martos,2020-02-01,22,100,0.78,3844.25,14900.45,0.74
23035,ES-J,ES-AN,Fuerte del Rey,2020-02-01,3,78,0.96,302.84,9504.26,0.97
23037,ES-J,ES-AN,Génave,2020-02-01,3,41,0.93,241.87,4998.92,0.95
23038,ES-J,ES-AN,La Guardia de Jaén,2020-02-01,10,110,0.91,2126.78,20862.86,0.90
23039,ES-J,ES-AN,Guarromán,2020-02-01,33,122,0.73,6858.71,25866.02,0.73
23040,ES-J,ES-AN,Lahiguera,2020-02-01,13,63,0.79,1755.92,9499.58,0.82
23041,ES-J,ES-AN,Higuera de Calatrava,2020-02-01,6,37,0.84,1103.17,5191.80,0.79
23042,ES-J,ES-AN,Hinojares,2020-02-01,8,31,0.74,1114.04,4671.00,0.76
23043,ES-J,ES-AN,Hornos,2020-02-01,27,69,0.61,1959.44,5732.19,0.66
23044,ES-J,ES-AN,Huelma,2020-02-01,25,184,0.86,4350.90,27761.16,0.84
23045,ES-J,ES-AN,Huesa,2020-02-01,13,111,0.88,935.28,13443.09,0.93
23046,ES-J,ES-AN,Ibros,2020-02-01,10,101,0.90,572.04,12750.02,0.96
23047,ES-J,ES-AN,La Iruela,2020-02-01,14,89,0.84,1278.31,10781.41,0.88
23048,ES-J,ES-AN,Iznatoraf,2020-02-01,5,62,0.92,829.57,5944.66,0.86
23049,ES-J,ES-AN,Jabalquinto,2020-02-01,20,129,0.84,1648.44,14052.65,0.88
23050,ES-J,ES-AN,Jaén,2020-02-01,446,1677,0.73,54114.85,253179.78,0.79
23051,ES-J,ES-AN,Jamilena,2020-02-01,7,109,0.94,354.56,13628.46,0.97
23052,ES-J,ES-AN,Jimena,2020-02-01,5,60,0.92,346.72,6749.13,0.95
23053,ES-J,ES-AN,Jódar,2020-02-01,106,236,0.55,11715.42,39212.27,0.70
23054,ES-J,ES-AN,Larva,2020-02-01,6,39,0.85,555.06,4214.21,0.87
23055,ES-J,ES-AN,Linares,2020-02-01,212,975,0.78,31029.87,151676.47,0.80
23056,ES-J,ES-AN,Lopera,2020-02-01,10,145,0.93,644.83,20573.94,0.97
23057,ES-J,ES-AN,Lupión,2020-02-01,4,33,0.88,474.13,3801.99,0.88
23058,ES-J,ES-AN,Mancha Real,2020-02-01,31,194,0.84,5671.40,43215.44,0.87
23059,ES-J,ES-AN,Marmolejo,2020-02-01,19,166,0.89,3498.12,27913.49,0.87
23060,ES-J,ES-AN,Martos,2020-02-01,39,512,0.92,3150.54,89353.82,0.96
23061,ES-J,ES-AN,Mengíbar,2020-02-01,139,271,0.49,24373.13,51110.51,0.52
23062,ES-J,ES-AN,Montizón,2020-02-01,6,85,0.93,193.57,15237.29,0.99
23063,ES-J,ES-AN,Navas de San Juan,2020-02-01,7,121,0.94,1198.10,20821.23,0.94
23064,ES-J,ES-AN,Noalejo,2020-02-01,23,84,0.73,3303.08,12069.56,0.73
23065,ES-J,ES-AN,Orcera,2020-02-01,30,127,0.76,2641.27,14223.08,0.81
23066,ES-J,ES-AN,Peal de Becerro,2020-02-01,22,256,0.91,2956.34,41215.36,0.93
23067,ES-J,ES-AN,Pegalajar,2020-02-01,16,117,0.86,1342.72,14236.12,0.91
23069,ES-J,ES-AN,Porcuna,2020-02-01,22,207,0.89,3714.91,31106.40,0.88
23070,ES-J,ES-AN,Pozo Alcón,2020-02-01,72,266,0.73,8243.53,34985.40,0.76
23071,ES-J,ES-AN,Puente de Génave,2020-02-01,62,157,0.61,7017.21,19123.12,0.63
23072,ES-J,ES-AN,La Puerta de Segura,2020-02-01,60,189,0.68,5781.40,19091.75,0.70
23073,ES-J,ES-AN,Quesada,2020-02-01,29,213,0.86,3620.89,24259.25,0.85
23074,ES-J,ES-AN,Rus,2020-02-01,23,166,0.86,1886.75,17527.92,0.89
23075,ES-J,ES-AN,Sabiote,2020-02-01,20,137,0.85,1920.37,24578.45,0.92
23076,ES-J,ES-AN,Santa Elena,2020-02-01,11,59,0.81,704.13,8423.27,0.92
23077,ES-J,ES-AN,Santiago de Calatrava,2020-02-01,6,45,0.87,211.25,4580.11,0.95
23079,ES-J,ES-AN,Santisteban del Puerto,2020-02-01,10,166,0.94,3494.98,24534.82,0.86
23080,ES-J,ES-AN,Santo Tomé,2020-02-01,10,128,0.92,300.30,15376.40,0.98
23081,ES-J,ES-AN,Segura de la Sierra,2020-02-01,40,160,0.75,4768.13,17073.02,0.72
23082,ES-J,ES-AN,Siles,2020-02-01,3,124,0.98,78.33,14914.48,0.99
23084,ES-J,ES-AN,Sorihuela del Guadalimar,2020-02-01,7,96,0.93,249.33,11217.17,0.98
23085,ES-J,ES-AN,Torreblascopedro,2020-02-01,15,122,0.88,7774.54,23916.53,0.67
23086,ES-J,ES-AN,Torre del Campo,2020-02-01,55,267,0.79,6691.09,47305.44,0.86
23087,ES-J,ES-AN,Torredonjimeno,2020-02-01,22,283,0.92,3230.30,48292.96,0.93
23088,ES-J,ES-AN,Torreperogil,2020-02-01,46,215,0.79,4939.78,30897.56,0.84
23090,ES-J,ES-AN,Torres,2020-02-01,4,85,0.95,171.50,8998.32,0.98
23091,ES-J,ES-AN,Torres de Albánchez,2020-02-01,10,62,0.84,733.93,5899.17,0.88
23092,ES-J,ES-AN,Úbeda,2020-02-01,132,920,0.86,12405.12,105185.36,0.88
23093,ES-J,ES-AN,Valdepeñas de Jaén,2020-02-01,9,127,0.93,1240.86,14599.12,0.92
23094,ES-J,ES-AN,Vilches,2020-02-01,15,168,0.91,2138.53,27353.75,0.92
23095,ES-J,ES-AN,Villacarrillo,2020-02-01,175,271,0.35,25491.49,47197.35,0.46
23096,ES-J,ES-AN,Villanueva de la Reina,2020-02-01,22,150,0.85,1532.44,18484.15,0.92
23097,ES-J,ES-AN,Villanueva del Arzobispo,2020-02-01,7,97,0.93,1562.63,17649.73,0.91
23098,ES-J,ES-AN,Villardompardo,2020-02-01,1,41,0.98,38.01,4574.84,0.99
23099,ES-J,ES-AN,Los Villares,2020-02-01,34,277,0.88,2608.71,39781.01,0.93
23101,ES-J,ES-AN,Villarrodrigo,2020-02-01,5,35,0.86,260.93,3610.17,0.93
