id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
10001;ES-CC;ES-EX;Abadía;2021-03-19;3;45;0.93;309.28;3864.28;0.92
10002;ES-CC;ES-EX;Abertura;2021-03-19;8;96;0.92;745.48;7195.17;0.90
10003;ES-CC;ES-EX;Acebo;2021-03-19;9;85;0.89;351.93;6502.31;0.95
10004;ES-CC;ES-EX;Acehúche;2021-03-19;11;78;0.86;1171.21;9627.74;0.88
10005;ES-CC;ES-EX;Aceituna;2021-03-19;7;60;0.88;648.31;4768.67;0.86
10006;ES-CC;ES-EX;Ahigal;2021-03-19;72;72;0.00;10727.65;10727.65;0.00
10007;ES-CC;ES-EX;Albalá;2021-03-19;1;1;0.00;58.68;58.68;0.00
10008;ES-CC;ES-EX;Alcántara;2021-03-19;42;123;0.66;4215.88;15063.82;0.72
10009;ES-CC;ES-EX;Alcollarín;2021-03-19;7;76;0.91;653.43;6900.07;0.91
10010;ES-CC;ES-EX;Alcuéscar;2021-03-19;58;133;0.56;5723.66;17924.17;0.68
10011;ES-CC;ES-EX;Aldeacentenera;2021-03-19;71;73;0.03;10787.75;11048.42;0.02
10012;ES-CC;ES-EX;Aldea del Cano;2021-03-19;22;44;0.50;2439.23;6378.23;0.62
10013;ES-CC;ES-EX;La Aldea del Obispo;2021-03-19;6;48;0.88;205.72;5281.43;0.96
10014;ES-CC;ES-EX;Aldeanueva de la Vera;2021-03-19;46;121;0.62;4008.48;11669.53;0.66
10015;ES-CC;ES-EX;Aldeanueva del Camino;2021-03-19;25;25;0.00;4744.95;4744.95;0.00
10016;ES-CC;ES-EX;Aldehuela de Jerte;2021-03-19;0;28;1.00;0.00;2408.75;1.00
10017;ES-CC;ES-EX;Alía;2021-03-19;9;196;0.95;696.99;19113.00;0.96
10018;ES-CC;ES-EX;Aliseda;2021-03-19;4;6;0.33;644.87;748.16;0.14
10019;ES-CC;ES-EX;Almaraz;2021-03-19;60;86;0.30;7709.08;10830.10;0.29
10020;ES-CC;ES-EX;Almoharín;2021-03-19;87;87;0.00;15237.38;15237.38;0.00
