id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
07001;ES-PM;ES-IB;Alaró;2017-02-01;3;101;0.97;286.34;16172.16;0.98
07002;ES-PM;ES-IB;Alaior;2017-02-01;123;338;0.64;18357.73;50806.75;0.64
07003;ES-PM;ES-IB;Alcúdia;2017-02-01;144;666;0.78;16236.60;103607.69;0.84
07004;ES-PM;ES-IB;Algaida;2017-02-01;37;127;0.71;5267.17;24598.67;0.79
07005;ES-PM;ES-IB;Andratx;2017-02-01;84;432;0.81;9185.53;84719.62;0.89
07006;ES-PM;ES-IB;Artà;2017-02-01;52;321;0.84;6896.31;53779.29;0.87
07007;ES-PM;ES-IB;Banyalbufar;2017-02-01;0;43;1.00;0.00;6284.06;1.00
07008;ES-PM;ES-IB;Binissalem;2017-02-01;18;144;0.88;1520.34;22951.86;0.93
07009;ES-PM;ES-IB;Búger;2017-02-01;5;45;0.89;236.00;4951.93;0.95
07010;ES-PM;ES-IB;Bunyola;2017-02-01;34;155;0.78;5602.33;40957.12;0.86
07011;ES-PM;ES-IB;Calvià;2017-02-01;394;1369;0.71;33579.17;275785.01;0.88
07012;ES-PM;ES-IB;Campanet;2017-02-01;12;51;0.76;1212.16;9099.32;0.87
07013;ES-PM;ES-IB;Campos;2017-02-01;94;299;0.69;13870.21;70490.15;0.80
07014;ES-PM;ES-IB;Capdepera;2017-02-01;79;511;0.85;7795.04;95502.69;0.92
07015;ES-PM;ES-IB;Ciutadella;2017-02-01;387;753;0.49;70841.18;129848.12;0.45
07016;ES-PM;ES-IB;Consell;2017-02-01;19;74;0.74;1469.76;10857.44;0.86
07017;ES-PM;ES-IB;Costitx;2017-02-01;9;38;0.76;2424.90;5216.59;0.54
07018;ES-PM;ES-IB;Deià;2017-02-01;12;34;0.65;2079.73;5239.42;0.60
07019;ES-PM;ES-IB;Escorca;2017-02-01;18;19;0.05;4568.41;5941.88;0.23
07020;ES-PM;ES-IB;Esporles;2017-02-01;57;154;0.63;20615.91;33662.38;0.39
07021;ES-PM;ES-IB;Estellencs;2017-02-01;16;28;0.43;2459.54;4724.33;0.48
07023;ES-PM;ES-IB;Ferreries;2017-02-01;57;99;0.42;11057.03;17370.80;0.36
07024;ES-PM;ES-IB;Formentera;2017-02-01;112;195;0.43;32919.01;53508.65;0.38
07026;ES-PM;ES-IB;Eivissa;2017-02-01;188;546;0.66;20006.70;87996.94;0.77
07027;ES-PM;ES-IB;Inca;2017-02-01;91;432;0.79;9265.57;66626.80;0.86
07028;ES-PM;ES-IB;Lloret de Vistalegre;2017-02-01;3;33;0.91;611.96;4290.97;0.86
07029;ES-PM;ES-IB;Lloseta;2017-02-01;22;92;0.76;2611.01;14125.99;0.82
07030;ES-PM;ES-IB;Llubí;2017-02-01;17;62;0.73;5477.24;14007.91;0.61
07031;ES-PM;ES-IB;Llucmajor;2017-02-01;144;703;0.80;15300.41;167526.44;0.91
07032;ES-PM;ES-IB;Maó;2017-02-01;190;534;0.64;41826.07;91535.81;0.54
07033;ES-PM;ES-IB;Manacor;2017-02-01;224;1018;0.78;32502.05;202271.14;0.84
07034;ES-PM;ES-IB;Mancor de la Vall;2017-02-01;12;46;0.74;992.33;5783.16;0.83
07035;ES-PM;ES-IB;Maria de la Salut;2017-02-01;17;82;0.79;1681.16;13271.34;0.87
07036;ES-PM;ES-IB;Marratxí;2017-02-01;275;846;0.67;37663.12;188284.38;0.80
07037;ES-PM;ES-IB;Es Mercadal;2017-02-01;245;310;0.21;50775.59;61705.36;0.18
07038;ES-PM;ES-IB;Montuïri;2017-02-01;51;97;0.47;5456.37;11788.70;0.54
07039;ES-PM;ES-IB;Muro;2017-02-01;50;299;0.83;6070.95;42820.41;0.86
07040;ES-PM;ES-IB;Palma;2017-02-01;938;3683;0.75;139172.48;710178.89;0.80
07041;ES-PM;ES-IB;Petra;2017-02-01;12;112;0.89;1098.83;16393.97;0.93
07042;ES-PM;ES-IB;Pollença;2017-02-01;164;509;0.68;22502.21;85413.39;0.74
07043;ES-PM;ES-IB;Porreres;2017-02-01;21;104;0.80;2498.98;15590.48;0.84
07044;ES-PM;ES-IB;Sa Pobla;2017-02-01;51;227;0.78;11570.70;56172.43;0.79
07045;ES-PM;ES-IB;Puigpunyent;2017-02-01;27;68;0.60;6311.13;14386.08;0.56
07046;ES-PM;ES-IB;Sant Antoni de Portmany;2017-02-01;324;527;0.39;126836.83;171165.90;0.26
07047;ES-PM;ES-IB;Sencelles;2017-02-01;12;50;0.76;801.45;7020.75;0.89
07048;ES-PM;ES-IB;Sant Josep de sa Talaia;2017-02-01;424;661;0.36;132269.04;229291.47;0.42
07049;ES-PM;ES-IB;Sant Joan;2017-02-01;15;68;0.78;3190.17;12567.79;0.75
07050;ES-PM;ES-IB;Sant Joan de Labritja;2017-02-01;147;174;0.16;83918.78;100153.90;0.16
07051;ES-PM;ES-IB;Sant Llorenç des Cardassar;2017-02-01;128;412;0.69;17977.14;82839.25;0.78
