id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
46001;ES-V;ES-VC;Ademuz;2017-02-01;9;15;0.40;2340.36;3658.66;0.36
46002;ES-V;ES-VC;Ador;2017-02-01;33;42;0.21;5825.61;8416.23;0.31
46003;ES-V;ES-VC;Atzeneta d'Albaida;2017-02-01;49;49;0.00;6114.66;6114.66;0.00
46004;ES-V;ES-VC;Agullent;2017-02-01;43;43;0.00;8151.88;8151.88;0.00
46005;ES-V;ES-VC;Alaquàs;2017-02-01;31;227;0.86;4163.90;43097.55;0.90
46006;ES-V;ES-VC;Albaida;2017-02-01;100;232;0.57;8827.67;25518.50;0.65
46007;ES-V;ES-VC;Albal;2017-02-01;84;200;0.58;14187.54;42630.05;0.67
46008;ES-V;ES-VC;Albalat de la Ribera;2017-02-01;42;49;0.14;8415.22;10750.51;0.22
46009;ES-V;ES-VC;Albalat dels Sorells;2017-02-01;20;70;0.71;3445.35;12450.09;0.72
46010;ES-V;ES-VC;Albalat dels Tarongers;2017-02-01;87;117;0.26;21968.11;24686.15;0.11
46011;ES-V;ES-VC;Alberic;2017-02-01;105;334;0.69;34929.57;62635.13;0.44
46012;ES-V;ES-VC;Alborache;2017-02-01;33;40;0.18;8721.87;9882.53;0.12
46013;ES-V;ES-VC;Alboraia/Alboraya;2017-02-01;41;300;0.86;3590.77;44696.21;0.92
46014;ES-V;ES-VC;Albuixech;2017-02-01;19;84;0.77;2922.68;16059.84;0.82
46015;ES-V;ES-VC;Alcàsser;2017-02-01;43;142;0.70;7792.89;26242.85;0.70
46016;ES-V;ES-VC;Alcàntera de Xúquer;2017-02-01;3;48;0.94;174.70;6008.65;0.97
46017;ES-V;ES-VC;Alzira;2017-02-01;328;681;0.52;60332.75;129574.57;0.53
46018;ES-V;ES-VC;Alcublas;2017-02-01;21;61;0.66;1725.79;6633.55;0.74
46019;ES-V;ES-VC;l'Alcúdia;2017-02-01;33;223;0.85;3866.77;39894.51;0.90
46020;ES-V;ES-VC;l'Alcúdia de Crespins;2017-02-01;47;100;0.53;7323.01;14445.70;0.49
46021;ES-V;ES-VC;Aldaia;2017-02-01;70;375;0.81;13524.61;62962.74;0.79
46022;ES-V;ES-VC;Alfafar;2017-02-01;80;180;0.56;8047.84;30345.13;0.73
46023;ES-V;ES-VC;Alfauir;2017-02-01;6;21;0.71;183.37;2315.31;0.92
46024;ES-V;ES-VC;Alfara de la Baronia;2017-02-01;3;40;0.93;608.53;4045.62;0.85
