id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
08001;ES-B;ES-CT;Abrera;2017-05-01;94;288;0.67;10476.83;61362.47;0.83
08002;ES-B;ES-CT;Aguilar de Segarra;2017-05-01;7;7;0.00;1053.84;1053.84;0.00
08003;ES-B;ES-CT;Alella;2017-05-01;37;248;0.85;3918.15;55482.30;0.93
08004;ES-B;ES-CT;Alpens;2017-05-01;18;32;0.44;1088.62;2809.15;0.61
08005;ES-B;ES-CT;l'Ametlla del Vallès;2017-05-01;128;266;0.52;29517.32;68727.81;0.57
08006;ES-B;ES-CT;Arenys de Mar;2017-05-01;60;245;0.76;7456.67;38649.53;0.81
08007;ES-B;ES-CT;Arenys de Munt;2017-05-01;40;168;0.76;7520.99;36202.00;0.79
08008;ES-B;ES-CT;Argençola;2017-05-01;27;34;0.21;2692.47;3222.19;0.16
08009;ES-B;ES-CT;Argentona;2017-05-01;61;249;0.76;13025.06;53912.53;0.76
08010;ES-B;ES-CT;Artés;2017-05-01;46;153;0.70;2603.52;24543.52;0.89
08011;ES-B;ES-CT;Avià;2017-05-01;23;60;0.62;2522.43;8827.39;0.71
08012;ES-B;ES-CT;Avinyó;2017-05-01;33;85;0.61;4790.08;15237.45;0.69
08013;ES-B;ES-CT;Avinyonet del Penedès;2017-05-01;1;106;0.99;35.49;15310.58;1.00
08014;ES-B;ES-CT;Aiguafreda;2017-05-01;21;101;0.79;775.60;14748.90;0.95
08015;ES-B;ES-CT;Badalona;2017-05-01;3;1316;1.00;166.68;223181.85;1.00
08016;ES-B;ES-CT;Bagà;2017-05-01;51;85;0.40;4247.61;7947.44;0.47
08017;ES-B;ES-CT;Balenyà;2017-05-01;52;108;0.52;6056.94;16528.68;0.63
08018;ES-B;ES-CT;Balsareny;2017-05-01;40;108;0.63;3186.13;13578.60;0.77
08019;ES-B;ES-CT;Barcelona;2017-05-01;333;5835;0.94;22939.72;902147.93;0.97
08020;ES-B;ES-CT;Begues;2017-05-01;14;256;0.95;461.14;52125.63;0.99
08021;ES-B;ES-CT;Bellprat;2017-05-01;0;15;1.00;0.00;1073.24;1.00
08022;ES-B;ES-CT;Berga;2017-05-01;171;285;0.40;23034.90;47259.90;0.51
08023;ES-B;ES-CT;Bigues i Riells;2017-05-01;54;299;0.82;6471.50;89127.78;0.93
08024;ES-B;ES-CT;Borredà;2017-05-01;32;35;0.09;3764.98;4304.44;0.13
08025;ES-B;ES-CT;el Bruc;2017-05-01;37;116;0.68;4015.01;22370.96;0.82
08026;ES-B;ES-CT;el Brull;2017-05-01;2;5;0.60;375.50;1378.72;0.73
08027;ES-B;ES-CT;les Cabanyes;2017-05-01;0;33;1.00;0.00;5686.77;1.00
08028;ES-B;ES-CT;Cabrera d'Anoia;2017-05-01;0;116;1.00;0.00;32078.26;1.00
08029;ES-B;ES-CT;Cabrera de Mar;2017-05-01;36;160;0.78;4390.98;28169.52;0.84
08030;ES-B;ES-CT;Cabrils;2017-05-01;65;257;0.75;4716.90;49131.77;0.90
08031;ES-B;ES-CT;Calaf;2017-05-01;67;128;0.48;6412.75;17973.20;0.64
08032;ES-B;ES-CT;Caldes d'Estrac;2017-05-01;31;74;0.58;3362.75;11128.17;0.70
08033;ES-B;ES-CT;Caldes de Montbui;2017-05-01;84;330;0.75;10310.41;75129.52;0.86
08034;ES-B;ES-CT;Calders;2017-05-01;18;53;0.66;1775.80;13312.91;0.87
08035;ES-B;ES-CT;Calella;2017-05-01;76;152;0.50;13601.00;34209.03;0.60
08036;ES-B;ES-CT;Calonge de Segarra;2017-05-01;21;21;0.00;1939.87;1939.87;0.00
08037;ES-B;ES-CT;Calldetenes;2017-05-01;35;107;0.67;1673.30;11152.38;0.85
08038;ES-B;ES-CT;Callús;2017-05-01;36;67;0.46;4043.94;9585.50;0.58
08039;ES-B;ES-CT;Campins;2017-05-01;16;26;0.38;3985.81;5391.21;0.26
08040;ES-B;ES-CT;Canet de Mar;2017-05-01;74;264;0.72;5949.79;36463.96;0.84
08041;ES-B;ES-CT;Canovelles;2017-05-01;52;142;0.63;5418.05;32648.59;0.83
08042;ES-B;ES-CT;Cànoves i Samalús;2017-05-01;57;97;0.41;11103.38;21014.14;0.47
08043;ES-B;ES-CT;Canyelles;2017-05-01;3;218;0.99;140.09;52587.44;1.00
08044;ES-B;ES-CT;Capellades;2017-05-01;13;92;0.86;1078.45;15448.39;0.93
08045;ES-B;ES-CT;Capolat;2017-05-01;1;1;0.00;80.16;80.16;0.00
08046;ES-B;ES-CT;Cardedeu;2017-05-01;65;365;0.82;5097.08;63691.83;0.92
08047;ES-B;ES-CT;Cardona;2017-05-01;74;129;0.43;10728.59;20298.86;0.47
08048;ES-B;ES-CT;Carme;2017-05-01;17;38;0.55;1197.67;4881.77;0.75
08049;ES-B;ES-CT;Casserres;2017-05-01;27;83;0.67;2647.54;8334.14;0.68
08050;ES-B;ES-CT;Castellar del Riu;2017-05-01;9;9;0.00;1576.74;1576.74;0.00
08051;ES-B;ES-CT;Castellar del Vallès;2017-05-01;158;432;0.63;37156.90;103293.03;0.64
08052;ES-B;ES-CT;Castellar de n'Hug;2017-05-01;23;30;0.23;3578.38;4679.27;0.24
08053;ES-B;ES-CT;Castellbell i el Vilar;2017-05-01;105;152;0.31;16772.33;30310.05;0.45
08054;ES-B;ES-CT;Castellbisbal;2017-05-01;60;323;0.81;8202.77;76056.61;0.89
08055;ES-B;ES-CT;Castellcir;2017-05-01;2;51;0.96;390.91;11111.32;0.96
08056;ES-B;ES-CT;Castelldefels;2017-05-01;37;731;0.95;3983.72;138157.65;0.97
08057;ES-B;ES-CT;Castell de l'Areny;2017-05-01;4;4;0.00;871.89;871.89;0.00
08058;ES-B;ES-CT;Castellet i la Gornal;2017-05-01;4;173;0.98;144.19;29590.99;1.00
08059;ES-B;ES-CT;Castellfollit del Boix;2017-05-01;7;8;0.13;1211.61;1269.96;0.05
08060;ES-B;ES-CT;Castellfollit de Riubregós;2017-05-01;6;18;0.67;120.09;1429.56;0.92
08061;ES-B;ES-CT;Castellgalí;2017-05-01;52;122;0.57;6701.25;22557.84;0.70
08062;ES-B;ES-CT;Castellnou de Bages;2017-05-01;29;65;0.55;3273.13;17621.07;0.81
08063;ES-B;ES-CT;Castellolí;2017-05-01;16;27;0.41;1698.07;4407.66;0.61
08064;ES-B;ES-CT;Castellterçol;2017-05-01;28;152;0.82;1169.11;17394.03;0.93
