id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
14001;ES-CO;ES-AN;Adamuz;2017-05-01;13;132;0.90;761.73;17316.78;0.96
14002;ES-CO;ES-AN;Aguilar de la Frontera;2017-05-01;66;125;0.47;13371.04;28080.44;0.52
14003;ES-CO;ES-AN;Alcaracejos;2017-05-01;9;71;0.87;1972.44;11096.93;0.82
14004;ES-CO;ES-AN;Almedinilla;2017-05-01;12;79;0.85;823.02;10217.65;0.92
14005;ES-CO;ES-AN;Almodóvar del Río;2017-05-01;76;240;0.68;28757.41;48568.13;0.41
14006;ES-CO;ES-AN;Añora;2017-05-01;5;45;0.89;392.60;9150.31;0.96
14007;ES-CO;ES-AN;Baena;2017-05-01;91;309;0.71;15722.91;44501.87;0.65
14008;ES-CO;ES-AN;Belalcázar;2017-05-01;22;110;0.80;3779.70;20813.73;0.82
14009;ES-CO;ES-AN;Belmez;2017-05-01;36;80;0.55;7285.67;17679.03;0.59
14010;ES-CO;ES-AN;Benamejí;2017-05-01;11;94;0.88;1263.31;16648.80;0.92
14011;ES-CO;ES-AN;Los Blázquez;2017-05-01;2;34;0.94;89.22;4582.02;0.98
14012;ES-CO;ES-AN;Bujalance;2017-05-01;46;226;0.80;6490.59;27463.47;0.76
14013;ES-CO;ES-AN;Cabra;2017-05-01;71;218;0.67;9921.44;38589.95;0.74
14014;ES-CO;ES-AN;Cañete de las Torres;2017-05-01;16;96;0.83;1942.55;13038.50;0.85
14015;ES-CO;ES-AN;Carcabuey;2017-05-01;5;64;0.92;856.83;9574.99;0.91
14016;ES-CO;ES-AN;Cardeña;2017-05-01;19;59;0.68;3390.71;9281.62;0.63
14017;ES-CO;ES-AN;La Carlota;2017-05-01;142;403;0.65;37743.45;82470.73;0.54
14018;ES-CO;ES-AN;El Carpio;2017-05-01;22;163;0.87;2073.72;22088.86;0.91
14019;ES-CO;ES-AN;Castro del Río;2017-05-01;13;174;0.93;1514.04;23830.25;0.94
14020;ES-CO;ES-AN;Conquista;2017-05-01;4;19;0.79;1099.55;3348.24;0.67
14021;ES-CO;ES-AN;Córdoba;2017-05-01;1653;4013;0.59;360336.33;831726.35;0.57
14022;ES-CO;ES-AN;Doña Mencía;2017-05-01;14;152;0.91;1316.22;17388.84;0.92
14023;ES-CO;ES-AN;Dos Torres;2017-05-01;28;109;0.74;4770.34;18432.87;0.74
14024;ES-CO;ES-AN;Encinas Reales;2017-05-01;8;80;0.90;559.27;11480.61;0.95
14025;ES-CO;ES-AN;Espejo;2017-05-01;23;124;0.81;1631.26;16681.93;0.90
14026;ES-CO;ES-AN;Espiel;2017-05-01;21;100;0.79;3814.54;12848.78;0.70
14027;ES-CO;ES-AN;Fernán-Núñez;2017-05-01;24;197;0.88;4100.99;33749.87;0.88
14028;ES-CO;ES-AN;Fuente la Lancha;2017-05-01;2;23;0.91;864.07;4018.56;0.78
14029;ES-CO;ES-AN;Fuente Obejuna;2017-05-01;140;282;0.50;14796.80;41084.37;0.64
14030;ES-CO;ES-AN;Fuente Palmera;2017-05-01;165;336;0.51;24492.77;52179.07;0.53
14031;ES-CO;ES-AN;Fuente-Tójar;2017-05-01;0;31;1.00;0.00;3283.42;1.00
