id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
01001;ES-VI;ES-PV;Alegría-Dulantzi;2017-05-01;38;106;0.64;5924.73;12995.97;0.54
01002;ES-VI;ES-PV;Amurrio;2017-05-01;180;192;0.06;32538.89;34646.80;0.06
01003;ES-VI;ES-PV;Aramaio;2017-05-01;41;45;0.09;3617.09;4091.52;0.12
01004;ES-VI;ES-PV;Artziniega / Arceniega;2017-05-01;58;59;0.02;7340.45;7564.71;0.03
01006;ES-VI;ES-PV;Armiñón;2017-05-01;28;28;0.00;3702.16;3702.16;0.00
01008;ES-VI;ES-PV;Arratzua-Ubarrundia;2017-05-01;78;90;0.13;11026.40;13426.82;0.18
01009;ES-VI;ES-PV;Asparrena;2017-05-01;109;109;0.00;16829.36;16829.36;0.00
01010;ES-VI;ES-PV;Ayala / Aiara;2017-05-01;58;60;0.03;10804.63;11538.57;0.06
01011;ES-VI;ES-PV;Baños de Ebro/Mañueta;2017-05-01;4;4;0.00;873.31;873.31;0.00
01013;ES-VI;ES-PV;Barrundia;2017-05-01;104;126;0.17;15647.13;19038.04;0.18
01014;ES-VI;ES-PV;Berantevilla;2017-05-01;40;47;0.15;4692.24;5449.97;0.14
01016;ES-VI;ES-PV;Bernedo;2017-05-01;96;96;0.00;10798.21;10798.21;0.00
01017;ES-VI;ES-PV;Campezo / Kanpezu;2017-05-01;64;75;0.15;6762.16;8761.18;0.23
01018;ES-VI;ES-PV;Zigoitia;2017-05-01;158;160;0.01;27731.27;28019.25;0.01
01019;ES-VI;ES-PV;Kripan;2017-05-01;10;10;0.00;1324.01;1324.01;0.00
01020;ES-VI;ES-PV;Kuartango/Cuartango;2017-05-01;43;43;0.00;6336.78;6336.78;0.00
01021;ES-VI;ES-PV;Elburgo/Burgelu;2017-05-01;45;51;0.12;7210.43;7966.43;0.09
01022;ES-VI;ES-PV;Elciego/Eltziego;2017-05-01;67;71;0.06;7524.01;7875.48;0.04
01023;ES-VI;ES-PV;Elvillar/Bilar;2017-05-01;10;10;0.00;7423.83;7423.83;0.00
01027;ES-VI;ES-PV;Iruraiz-Gauna;2017-05-01;58;58;0.00;8665.27;8665.27;0.00
01028;ES-VI;ES-PV;Labastida/Bastida;2017-05-01;80;91;0.12;12331.76;14265.72;0.14
01030;ES-VI;ES-PV;Lagrán;2017-05-01;35;49;0.29;3515.91;4801.93;0.27
01031;ES-VI;ES-PV;Laguardia;2017-05-01;55;86;0.36;10654.22;14883.58;0.28
01032;ES-VI;ES-PV;Lanciego/Lantziego;2017-05-01;17;17;0.00;4113.88;4113.88;0.00
01033;ES-VI;ES-PV;Lapuebla de Labarca;2017-05-01;28;36;0.22;4521.20;5777.49;0.22
01034;ES-VI;ES-PV;Leza;2017-05-01;13;13;0.00;2350.71;2350.71;0.00
01036;ES-VI;ES-PV;Laudio/Llodio;2017-05-01;133;177;0.25;16370.60;26127.10;0.37
01037;ES-VI;ES-PV;Arraia-Maeztu;2017-05-01;110;110;0.00;14419.77;14419.77;0.00
01039;ES-VI;ES-PV;Moreda de Álava;2017-05-01;9;9;0.00;1355.23;1355.23;0.00
01041;ES-VI;ES-PV;Navaridas;2017-05-01;17;17;0.00;2127.51;2127.51;0.00
01042;ES-VI;ES-PV;Okondo;2017-05-01;8;9;0.11;681.73;926.33;0.26
01043;ES-VI;ES-PV;Oyón/Oion;2017-05-01;28;73;0.62;3446.88;13138.92;0.74
01044;ES-VI;ES-PV;Peñacerrada-Urizaharra;2017-05-01;47;49;0.04;4994.44;5203.49;0.04
01046;ES-VI;ES-PV;Ribera Alta;2017-05-01;121;121;0.00;17034.12;17034.12;0.00
01047;ES-VI;ES-PV;Ribera Baja/Erribera Beitia;2017-05-01;98;98;0.00;18292.50;18292.50;0.00
01049;ES-VI;ES-PV;Añana;2017-05-01;29;29;0.00;3049.51;3049.51;0.00
01051;ES-VI;ES-PV;Agurain/Salvatierra;2017-05-01;44;102;0.57;6472.41;16689.71;0.61
01052;ES-VI;ES-PV;Samaniego;2017-05-01;9;11;0.18;1923.62;2104.47;0.09
01053;ES-VI;ES-PV;San Millán / Donemiliaga;2017-05-01;125;132;0.05;16228.88;17269.60;0.06
01054;ES-VI;ES-PV;Urkabustaiz;2017-05-01;104;104;0.00;29614.61;29614.61;0.00
01055;ES-VI;ES-PV;Valdegovía;2017-05-01;198;199;0.01;28634.35;28729.37;0.00
01056;ES-VI;ES-PV;Harana / Valle de Arana;2017-05-01;46;46;0.00;7349.58;7349.58;0.00
01057;ES-VI;ES-PV;Villabuena de Álava/Eskuernaga;2017-05-01;2;4;0.50;1137.63;1924.43;0.41
01058;ES-VI;ES-PV;Legutio;2017-05-01;48;84;0.43;5120.87;14044.86;0.64
01059;ES-VI;ES-PV;Vitoria-Gasteiz;2017-05-01;1043;2722;0.62;102857.09;382748.22;0.73
01060;ES-VI;ES-PV;Yécora/Iekora;2017-05-01;20;20;0.00;2595.80;2595.80;0.00
01061;ES-VI;ES-PV;Zalduondo;2017-05-01;12;21;0.43;712.59;2198.59;0.68
01062;ES-VI;ES-PV;Zambrana;2017-05-01;72;72;0.00;6052.77;6052.77;0.00
01063;ES-VI;ES-PV;Zuya/Zuia;2017-05-01;140;176;0.20;23021.85;32525.61;0.29
01901;ES-VI;ES-PV;Iruña Oka/Iruña de Oca;2017-05-01;137;224;0.39;15026.78;26505.03;0.43
01902;ES-VI;ES-PV;Lantarón;2017-05-01;68;70;0.03;15215.28;16061.27;0.05
