id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
48001;ES-BI;ES-PV;Abadiño;2017-08-01;109;165;0.34;13741.04;21157.33;0.35
48002;ES-BI;ES-PV;Abanto y Ciérvana-Abanto Zierbena;2017-08-01;55;112;0.51;9323.28;21207.84;0.56
48003;ES-BI;ES-PV;Amorebieta-Etxano;2017-08-01;144;231;0.38;21153.68;37754.65;0.44
48004;ES-BI;ES-PV;Amoroto;2017-08-01;9;9;0.00;1087.89;1087.89;0.00
48005;ES-BI;ES-PV;Arakaldo;2017-08-01;18;18;0.00;4042.03;4042.03;0.00
48006;ES-BI;ES-PV;Arantzazu;2017-08-01;9;10;0.10;843.68;969.23;0.13
48007;ES-BI;ES-PV;Munitibar-Arbatzegi Gerrikaitz;2017-08-01;4;13;0.69;945.06;1916.03;0.51
48008;ES-BI;ES-PV;Artzentales;2017-08-01;13;14;0.07;578.74;662.19;0.13
48009;ES-BI;ES-PV;Arrankudiaga;2017-08-01;38;39;0.03;6221.26;6387.08;0.03
48010;ES-BI;ES-PV;Arrieta;2017-08-01;20;20;0.00;1120.47;1120.47;0.00
48011;ES-BI;ES-PV;Arrigorriaga;2017-08-01;53;107;0.50;4716.52;12480.01;0.62
48012;ES-BI;ES-PV;Bakio;2017-08-01;64;73;0.12;9760.94;11792.59;0.17
48013;ES-BI;ES-PV;Barakaldo;2017-08-01;333;892;0.63;16045.68;90596.22;0.82
48014;ES-BI;ES-PV;Barrika;2017-08-01;13;36;0.64;2188.08;7446.28;0.71
48015;ES-BI;ES-PV;Basauri;2017-08-01;166;352;0.53;13793.28;45116.64;0.69
48016;ES-BI;ES-PV;Berango;2017-08-01;45;116;0.61;3905.96;16697.37;0.77
48017;ES-BI;ES-PV;Bermeo;2017-08-01;74;152;0.51;10175.46;22013.93;0.54
48018;ES-BI;ES-PV;Berriatua;2017-08-01;21;25;0.16;2955.21;3552.16;0.17
48019;ES-BI;ES-PV;Berriz;2017-08-01;97;115;0.16;13569.44;16606.23;0.18
48020;ES-BI;ES-PV;Bilbao;2017-08-01;456;1819;0.75;28438.68;265078.67;0.89
48021;ES-BI;ES-PV;Busturia;2017-08-01;40;40;0.00;7280.04;7280.04;0.00
48022;ES-BI;ES-PV;Karrantza Harana / Valle de Carranza;2017-08-01;29;54;0.46;4789.88;11717.31;0.59
48023;ES-BI;ES-PV;Artea;2017-08-01;7;18;0.61;1445.74;3023.11;0.52
48024;ES-BI;ES-PV;Zeanuri;2017-08-01;28;28;0.00;3868.71;3868.71;0.00
48025;ES-BI;ES-PV;Zeberio;2017-08-01;7;7;0.00;1143.57;1143.57;0.00
48026;ES-BI;ES-PV;Dima;2017-08-01;42;45;0.07;3978.73;4715.81;0.16
48027;ES-BI;ES-PV;Durango;2017-08-01;151;323;0.53;13406.56;43332.99;0.69
48028;ES-BI;ES-PV;Ea;2017-08-01;7;9;0.22;1349.80;1643.76;0.18
48029;ES-BI;ES-PV;Etxebarri;2017-08-01;67;175;0.62;4062.21;18786.00;0.78
