id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
11001;ES-CA;;Alcalá de los Gazules;2017-08-01;18;124;0.85;1726.48;12998.97;0.87
11002;ES-CA;;Alcalá del Valle;2017-08-01;21;21;0.00;5811.24;5811.24;0.00
11003;ES-CA;;Algar;2017-08-01;7;67;0.90;220.73;5806.20;0.96
11004;ES-CA;;Algeciras;2017-08-01;614;1199;0.49;89380.61;223305.04;0.60
11005;ES-CA;;Algodonales;2017-08-01;21;85;0.75;2275.66;13825.95;0.84
11006;ES-CA;;Arcos de la Frontera;2017-08-01;504;618;0.18;94691.34;108658.79;0.13
11007;ES-CA;;Barbate;2017-08-01;209;405;0.48;35557.42;80050.96;0.56
11008;ES-CA;;Los Barrios;2017-08-01;294;360;0.18;56631.90;72293.38;0.22
11009;ES-CA;;Benaocaz;2017-08-01;25;73;0.66;1735.19;6003.04;0.71
11010;ES-CA;;Bornos;2017-08-01;29;215;0.87;2276.59;27066.73;0.92
11011;ES-CA;;El Bosque;2017-08-01;51;95;0.46;6421.62;13747.23;0.53
11012;ES-CA;;Cádiz;2017-08-01;157;746;0.79;14073.07;93027.13;0.85
11013;ES-CA;;Castellar de la Frontera;2017-08-01;53;70;0.24;9433.57;12548.60;0.25
11014;ES-CA;;Conil de la Frontera;2017-08-01;141;503;0.72;25217.02;91913.04;0.73
11015;ES-CA;;Chiclana de la Frontera;2017-08-01;574;1842;0.69;110041.11;385928.46;0.71
11016;ES-CA;;Chipiona;2017-08-01;265;505;0.48;47161.01;92658.23;0.49
11017;ES-CA;;Espera;2017-08-01;79;87;0.09;14607.10;15580.16;0.06
11018;ES-CA;;El Gastor;2017-08-01;15;55;0.73;4846.58;9422.23;0.49
11019;ES-CA;;Grazalema;2017-08-01;38;99;0.62;3520.28;13172.91;0.73
11020;ES-CA;;Jerez de la Frontera;2017-08-01;718;3483;0.79;102855.18;518446.71;0.80
11021;ES-CA;;Jimena de la Frontera;2017-08-01;72;127;0.43;15207.82;26979.28;0.44
11022;ES-CA;;La Línea de la Concepción;2017-08-01;328;572;0.43;67665.81;108248.23;0.37
11023;ES-CA;;Medina-Sidonia;2017-08-01;168;275;0.39;25891.06;44593.91;0.42
11024;ES-CA;;Olvera;2017-08-01;30;215;0.86;2270.41;25977.34;0.91
11025;ES-CA;;Paterna de Rivera;2017-08-01;24;232;0.90;1184.41;24891.80;0.95
11026;ES-CA;;Prado del Rey;2017-08-01;34;159;0.79;2472.47;21144.15;0.88
11027;ES-CA;;El Puerto de Santa María;2017-08-01;615;1678;0.63;114644.69;345968.27;0.67
11028;ES-CA;;Puerto Real;2017-08-01;308;671;0.54;41874.95;126465.36;0.67
11029;ES-CA;;Puerto Serrano;2017-08-01;12;223;0.95;583.19;30055.25;0.98
11030;ES-CA;;Rota;2017-08-01;326;774;0.58;38818.22;110348.48;0.65
11031;ES-CA;;San Fernando;2017-08-01;385;775;0.50;48659.91;122277.26;0.60
11032;ES-CA;;Sanlúcar de Barrameda;2017-08-01;652;798;0.18;152249.53;185531.89;0.18
11033;ES-CA;;San Roque;2017-08-01;288;769;0.63;57312.56;169212.51;0.66
11034;ES-CA;;Setenil de las Bodegas;2017-08-01;59;83;0.29;9720.18;13029.15;0.25
11035;ES-CA;;Tarifa;2017-08-01;239;495;0.52;45802.67;78291.26;0.41
11036;ES-CA;;Torre Alháquime;2017-08-01;5;5;0.00;1649.75;1649.75;0.00
11037;ES-CA;;Trebujena;2017-08-01;119;148;0.20;23797.87;29863.59;0.20
11038;ES-CA;;Ubrique;2017-08-01;172;194;0.11;30958.08;33221.55;0.07
11039;ES-CA;;Vejer de la Frontera;2017-08-01;116;222;0.48;15975.73;39041.29;0.59
11040;ES-CA;;Villaluenga del Rosario;2017-08-01;15;15;0.00;3024.50;3024.50;0.00
11041;ES-CA;;Villamartín;2017-08-01;75;288;0.74;8858.80;49529.49;0.82
11042;ES-CA;;Zahara;2017-08-01;25;58;0.57;3627.60;7610.98;0.52
11901;ES-CA;;Benalup-Casas Viejas;2017-08-01;72;158;0.54;9660.55;27758.50;0.65
11902;ES-CA;;San José del Valle;2017-08-01;24;138;0.83;4294.18;20183.76;0.79
