id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
28001;ES-M;ES-MD;La Acebeda;2017-08-01;6;12;0.50;240.00;896.41;0.73
28002;ES-M;ES-MD;Ajalvir;2017-08-01;4;126;0.97;242.94;16287.80;0.99
28003;ES-M;ES-MD;Alameda del Valle;2017-08-01;8;42;0.81;579.29;5350.29;0.89
28004;ES-M;ES-MD;El Álamo;2017-08-01;53;271;0.80;3959.73;54184.97;0.93
28005;ES-M;ES-MD;Alcalá de Henares;2017-08-01;372;2021;0.82;39283.50;308801.83;0.87
28006;ES-M;ES-MD;Alcobendas;2017-08-01;544;1501;0.64;35950.08;186634.90;0.81
28007;ES-M;ES-MD;Alcorcón;2017-08-01;114;1084;0.89;6084.94;178861.76;0.97
28008;ES-M;ES-MD;Aldea del Fresno;2017-08-01;43;157;0.73;10308.23;31455.79;0.67
28009;ES-M;ES-MD;Algete;2017-08-01;80;253;0.68;12134.33;67627.34;0.82
28010;ES-M;ES-MD;Alpedrete;2017-08-01;79;361;0.78;6048.26;65888.58;0.91
28011;ES-M;ES-MD;Ambite;2017-08-01;56;64;0.13;16586.22;17402.73;0.05
28012;ES-M;ES-MD;Anchuelo;2017-08-01;3;69;0.96;123.04;8830.39;0.99
28013;ES-M;ES-MD;Aranjuez;2017-08-01;75;634;0.88;5468.08;137697.07;0.96
28014;ES-M;ES-MD;Arganda del Rey;2017-08-01;151;895;0.83;18303.61;150495.17;0.88
28015;ES-M;ES-MD;Arroyomolinos;2017-08-01;23;297;0.92;1693.07;68954.01;0.98
28016;ES-M;ES-MD;El Atazar;2017-08-01;4;34;0.88;105.34;2252.48;0.95
28017;ES-M;ES-MD;Batres;2017-08-01;1;86;0.99;76.65;17624.24;1.00
28018;ES-M;ES-MD;Becerril de la Sierra;2017-08-01;89;342;0.74;7826.52;50325.01;0.84
28019;ES-M;ES-MD;Belmonte de Tajo;2017-08-01;22;91;0.76;1317.01;11152.32;0.88
28020;ES-M;ES-MD;Berzosa del Lozoya;2017-08-01;8;40;0.80;372.38;4666.15;0.92
28021;ES-M;ES-MD;El Berrueco;2017-08-01;9;52;0.83;887.74;7099.00;0.87
28022;ES-M;ES-MD;Boadilla del Monte;2017-08-01;130;860;0.85;30701.44;225569.16;0.86
28023;ES-M;ES-MD;El Boalo;2017-08-01;124;359;0.65;17829.51;56642.16;0.69
28024;ES-M;ES-MD;Braojos;2017-08-01;6;30;0.80;321.30;2975.88;0.89
28025;ES-M;ES-MD;Brea de Tajo;2017-08-01;1;55;0.98;96.81;6492.25;0.99
28026;ES-M;ES-MD;Brunete;2017-08-01;22;220;0.90;4462.50;34884.42;0.87
28027;ES-M;ES-MD;Buitrago del Lozoya;2017-08-01;14;92;0.85;611.20;11824.91;0.95
28028;ES-M;ES-MD;Bustarviejo;2017-08-01;49;189;0.74;3631.54;24873.58;0.85
28029;ES-M;ES-MD;Cabanillas de la Sierra;2017-08-01;9;54;0.83;596.24;10844.30;0.95
28030;ES-M;ES-MD;La Cabrera;2017-08-01;35;211;0.83;2080.29;24150.37;0.91
28031;ES-M;ES-MD;Cadalso de los Vidrios;2017-08-01;34;155;0.78;11529.74;31179.34;0.63
28032;ES-M;ES-MD;Camarma de Esteruelas;2017-08-01;17;178;0.90;2993.30;39845.41;0.92
28033;ES-M;ES-MD;Campo Real;2017-08-01;30;161;0.81;3232.73;22749.42;0.86
28034;ES-M;ES-MD;Canencia;2017-08-01;10;53;0.81;215.62;6734.79;0.97
28035;ES-M;ES-MD;Carabaña;2017-08-01;11;96;0.89;916.33;11524.38;0.92
28036;ES-M;ES-MD;Casarrubuelos;2017-08-01;39;138;0.72;4852.32;16554.38;0.71
28037;ES-M;ES-MD;Cenicientos;2017-08-01;92;167;0.45;7238.41;18347.03;0.61
28038;ES-M;ES-MD;Cercedilla;2017-08-01;86;338;0.75;6431.49;49425.70;0.87
28039;ES-M;ES-MD;Cervera de Buitrago;2017-08-01;5;24;0.79;264.08;2221.94;0.88
28040;ES-M;ES-MD;Ciempozuelos;2017-08-01;6;247;0.98;1726.51;44216.04;0.96
28041;ES-M;ES-MD;Cobeña;2017-08-01;32;164;0.80;1858.34;25855.34;0.93
28042;ES-M;ES-MD;Colmenar del Arroyo;2017-08-01;39;120;0.68;1827.47;15699.41;0.88
