id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
34001;ES-P;ES-CL;Abarca de Campos;2017-08-01;3;10;0.70;286.75;1263.87;0.77
34003;ES-P;ES-CL;Abia de las Torres;2017-08-01;12;30;0.60;1900.13;4464.72;0.57
34004;ES-P;ES-CL;Aguilar de Campoo;2017-08-01;204;399;0.49;30859.51;52445.97;0.41
34005;ES-P;ES-CL;Alar del Rey;2017-08-01;45;87;0.48;5835.02;12202.92;0.52
34006;ES-P;ES-CL;Alba de Cerrato;2017-08-01;6;6;0.00;2294.06;2294.06;0.00
34009;ES-P;ES-CL;Amayuelas de Arriba;2017-08-01;2;10;0.80;112.56;1153.06;0.90
34010;ES-P;ES-CL;Ampudia;2017-08-01;27;72;0.63;2664.77;10175.41;0.74
34011;ES-P;ES-CL;Amusco;2017-08-01;16;78;0.79;1281.77;11671.78;0.89
34012;ES-P;ES-CL;Antigüedad;2017-08-01;19;19;0.00;3913.86;3913.86;0.00
34015;ES-P;ES-CL;Arconada;2017-08-01;10;26;0.62;408.63;2351.18;0.83
34017;ES-P;ES-CL;Astudillo;2017-08-01;50;94;0.47;5041.52;10619.55;0.53
34018;ES-P;ES-CL;Autilla del Pino;2017-08-01;11;34;0.68;599.78;4676.85;0.87
34019;ES-P;ES-CL;Autillo de Campos;2017-08-01;3;32;0.91;1058.43;3956.88;0.73
34020;ES-P;ES-CL;Ayuela;2017-08-01;11;11;0.00;1409.85;1409.85;0.00
34022;ES-P;ES-CL;Baltanás;2017-08-01;95;136;0.30;12972.26;17098.41;0.24
34023;ES-P;ES-CL;Venta de Baños;2017-08-01;68;187;0.64;14803.41;36465.33;0.59
34024;ES-P;ES-CL;Baquerín de Campos;2017-08-01;1;10;0.90;37.44;1769.03;0.98
34025;ES-P;ES-CL;Bárcena de Campos;2017-08-01;13;13;0.00;1555.07;1555.07;0.00
34027;ES-P;ES-CL;Barruelo de Santullán;2017-08-01;156;156;0.00;25401.22;25401.22;0.00
34028;ES-P;ES-CL;Báscones de Ojeda;2017-08-01;14;16;0.13;3012.99;3891.57;0.23
34029;ES-P;ES-CL;Becerril de Campos;2017-08-01;14;90;0.84;1831.05;13035.02;0.86
34031;ES-P;ES-CL;Belmonte de Campos;2017-08-01;9;15;0.40;967.29;2406.00;0.60
34032;ES-P;ES-CL;Berzosilla;2017-08-01;17;17;0.00;1969.33;1969.33;0.00
34033;ES-P;ES-CL;Boada de Campos;2017-08-01;1;9;0.89;65.40;1468.76;0.96
34034;ES-P;ES-CL;Boadilla del Camino;2017-08-01;18;41;0.56;1162.13;3607.35;0.68
34035;ES-P;ES-CL;Boadilla de Rioseco;2017-08-01;19;39;0.51;1378.53;4369.97;0.68
34036;ES-P;ES-CL;Brañosera;2017-08-01;59;59;0.00;7441.92;7441.92;0.00
34037;ES-P;ES-CL;Buenavista de Valdavia;2017-08-01;27;37;0.27;4703.36;6385.69;0.26
34038;ES-P;ES-CL;Bustillo de la Vega;2017-08-01;28;31;0.10;3987.37;4791.73;0.17
34039;ES-P;ES-CL;Bustillo del Páramo de Carrión;2017-08-01;6;21;0.71;655.02;2616.71;0.75
