id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
44001;ES-TE;ES-AR;Ababuj;2017-11-01;11;11;0.00;1412.00;1412.00;0.00
44002;ES-TE;ES-AR;Abejuela;2017-11-01;0;0;1;0.00;0.00;1
44003;ES-TE;ES-AR;Aguatón;2017-11-01;7;7;0.00;889.80;889.80;0.00
44004;ES-TE;ES-AR;Aguaviva;2017-11-01;38;38;0.00;6400.86;6400.86;0.00
44005;ES-TE;ES-AR;Aguilar del Alfambra;2017-11-01;21;21;0.00;3178.10;3178.10;0.00
44006;ES-TE;ES-AR;Alacón;2017-11-01;5;5;0.00;1075.98;1075.98;0.00
44007;ES-TE;ES-AR;Alba;2017-11-01;7;7;0.00;1704.88;1704.88;0.00
44008;ES-TE;ES-AR;Albalate del Arzobispo;2017-11-01;39;73;0.47;4462.19;8459.38;0.47
44009;ES-TE;ES-AR;Albarracín;2017-11-01;6;120;0.95;601.36;10541.33;0.94
44010;ES-TE;ES-AR;Albentosa;2017-11-01;23;37;0.38;2118.32;3421.90;0.38
44011;ES-TE;ES-AR;Alcaine;2017-11-01;5;15;0.67;407.28;1343.01;0.70
44012;ES-TE;ES-AR;Alcalá de la Selva;2017-11-01;74;78;0.05;14208.97;15089.93;0.06
44013;ES-TE;ES-AR;Alcañiz;2017-11-01;99;239;0.59;29199.72;49000.76;0.40
44014;ES-TE;ES-AR;Alcorisa;2017-11-01;89;133;0.33;8832.27;14525.44;0.39
44016;ES-TE;ES-AR;Alfambra;2017-11-01;22;24;0.08;3829.03;4972.96;0.23
44017;ES-TE;ES-AR;Aliaga;2017-11-01;25;25;0.00;2747.06;2747.06;0.00
44018;ES-TE;ES-AR;Almohaja;2017-11-01;8;8;0.00;1052.42;1052.42;0.00
44019;ES-TE;ES-AR;Alobras;2017-11-01;10;10;0.00;1315.91;1315.91;0.00
44020;ES-TE;ES-AR;Alpeñés;2017-11-01;3;3;0.00;647.41;647.41;0.00
44021;ES-TE;ES-AR;Allepuz;2017-11-01;16;26;0.38;647.21;2566.02;0.75
44022;ES-TE;ES-AR;Alloza;2017-11-01;24;24;0.00;7518.58;7518.58;0.00
44023;ES-TE;ES-AR;Allueva;2017-11-01;3;3;0.00;534.71;534.71;0.00
44024;ES-TE;ES-AR;Anadón;2017-11-01;0;0;1;0.00;0.00;1
44025;ES-TE;ES-AR;Andorra;2017-11-01;133;157;0.15;23504.32;29648.24;0.21
44026;ES-TE;ES-AR;Arcos de las Salinas;2017-11-01;27;27;0.00;3431.97;3431.97;0.00
44027;ES-TE;ES-AR;Arens de Lledó;2017-11-01;1;21;0.95;7.79;1559.50;1.00
44028;ES-TE;ES-AR;Argente;2017-11-01;46;46;0.00;6869.14;6869.14;0.00
44029;ES-TE;ES-AR;Ariño;2017-11-01;27;44;0.39;4242.68;6668.14;0.36
44031;ES-TE;ES-AR;Azaila;2017-11-01;14;14;0.00;2755.62;2755.62;0.00
44032;ES-TE;ES-AR;Bádenas;2017-11-01;7;7;0.00;912.51;912.51;0.00
44033;ES-TE;ES-AR;Báguena;2017-11-01;10;23;0.57;685.05;3431.73;0.80
44034;ES-TE;ES-AR;Bañón;2017-11-01;0;0;1;0.00;0.00;1
44035;ES-TE;ES-AR;Barrachina;2017-11-01;6;17;0.65;510.73;1535.14;0.67
44036;ES-TE;ES-AR;Bea;2017-11-01;0;0;1;0.00;0.00;1
44037;ES-TE;ES-AR;Beceite;2017-11-01;14;75;0.81;644.72;6470.61;0.90
44038;ES-TE;ES-AR;Belmonte de San José;2017-11-01;1;1;0.00;311.11;311.11;0.00
44039;ES-TE;ES-AR;Bello;2017-11-01;37;37;0.00;5227.59;5227.59;0.00
44040;ES-TE;ES-AR;Berge;2017-11-01;38;38;0.00;3645.56;3645.56;0.00
44041;ES-TE;ES-AR;Bezas;2017-11-01;6;6;0.00;1231.02;1231.02;0.00
44042;ES-TE;ES-AR;Blancas;2017-11-01;13;27;0.52;1506.53;3342.56;0.55
44043;ES-TE;ES-AR;Blesa;2017-11-01;13;38;0.66;640.17;3923.71;0.84
44044;ES-TE;ES-AR;Bordón;2017-11-01;13;15;0.13;2544.96;2726.74;0.07
44045;ES-TE;ES-AR;Bronchales;2017-11-01;13;115;0.89;611.70;11246.91;0.95
44046;ES-TE;ES-AR;Bueña;2017-11-01;8;9;0.11;1251.58;1360.12;0.08
44047;ES-TE;ES-AR;Burbáguena;2017-11-01;20;20;0.00;3967.51;3967.51;0.00
44048;ES-TE;ES-AR;Cabra de Mora;2017-11-01;13;13;0.00;1596.82;1596.82;0.00
44049;ES-TE;ES-AR;Calaceite;2017-11-01;2;18;0.89;547.29;2838.34;0.81
44050;ES-TE;ES-AR;Calamocha;2017-11-01;152;233;0.35;19193.42;33936.83;0.43
44051;ES-TE;ES-AR;Calanda;2017-11-01;57;67;0.15;11648.48;14113.61;0.17
44052;ES-TE;ES-AR;Calomarde;2017-11-01;0;0;1;0.00;0.00;1
44053;ES-TE;ES-AR;Camañas;2017-11-01;6;6;0.00;1945.44;1945.44;0.00
44054;ES-TE;ES-AR;Camarena de la Sierra;2017-11-01;16;16;0.00;2846.30;2846.30;0.00
44055;ES-TE;ES-AR;Camarillas;2017-11-01;30;47;0.36;1733.73;3671.00;0.53
44056;ES-TE;ES-AR;Caminreal;2017-11-01;52;54;0.04;9129.48;9308.29;0.02
44059;ES-TE;ES-AR;Cantavieja;2017-11-01;22;22;0.00;4497.70;4497.70;0.00
