id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
45001;ES-TO;ES-CM;Ajofrín;2017-11-01;25;113;0.78;4050.64;19386.86;0.79
45002;ES-TO;ES-CM;Alameda de la Sagra;2017-11-01;21;134;0.84;1749.35;21750.63;0.92
45003;ES-TO;ES-CM;Albarreal de Tajo;2017-11-01;7;31;0.77;3176.54;6906.11;0.54
45004;ES-TO;ES-CM;Alcabón;2017-11-01;25;62;0.60;3065.88;8497.24;0.64
45005;ES-TO;ES-CM;Alcañizo;2017-11-01;0;44;1.00;0.00;4668.17;1.00
45006;ES-TO;ES-CM;Alcaudete de la Jara;2017-11-01;8;112;0.93;702.61;17353.76;0.96
45007;ES-TO;ES-CM;Alcolea de Tajo;2017-11-01;29;102;0.72;3681.30;14498.42;0.75
45008;ES-TO;ES-CM;Aldea en Cabo;2017-11-01;7;30;0.77;483.15;3414.84;0.86
45009;ES-TO;ES-CM;Aldeanueva de Barbarroya;2017-11-01;1;92;0.99;170.96;10629.87;0.98
45010;ES-TO;ES-CM;Aldeanueva de San Bartolomé;2017-11-01;22;60;0.63;1573.51;10395.12;0.85
45011;ES-TO;ES-CM;Almendral de la Cañada;2017-11-01;10;38;0.74;1422.77;6516.03;0.78
45012;ES-TO;ES-CM;Almonacid de Toledo;2017-11-01;1;61;0.98;46.10;10158.67;1.00
45013;ES-TO;ES-CM;Almorox;2017-11-01;41;174;0.76;4063.88;26522.90;0.85
45014;ES-TO;ES-CM;Añover de Tajo;2017-11-01;91;236;0.61;10507.20;34136.86;0.69
45015;ES-TO;ES-CM;Arcicóllar;2017-11-01;7;53;0.87;797.58;13524.68;0.94
45016;ES-TO;ES-CM;Argés;2017-11-01;5;213;0.98;543.64;45987.61;0.99
45017;ES-TO;ES-CM;Azután;2017-11-01;4;39;0.90;495.91;4136.29;0.88
45018;ES-TO;ES-CM;Barcience;2017-11-01;3;48;0.94;707.18;12970.25;0.95
45019;ES-TO;ES-CM;Bargas;2017-11-01;47;343;0.86;6140.42;53650.36;0.89
45020;ES-TO;ES-CM;Belvís de la Jara;2017-11-01;19;131;0.85;1418.19;16732.81;0.92
45021;ES-TO;ES-CM;Borox;2017-11-01;12;176;0.93;3144.07;28967.83;0.89
45022;ES-TO;ES-CM;Buenaventura;2017-11-01;25;66;0.62;2423.00;8861.98;0.73
45023;ES-TO;ES-CM;Burguillos de Toledo;2017-11-01;16;185;0.91;3754.91;38627.09;0.90
45024;ES-TO;ES-CM;Burujón;2017-11-01;7;72;0.90;880.18;12625.98;0.93
45025;ES-TO;ES-CM;Cabañas de la Sagra;2017-11-01;6;83;0.93;945.74;17197.60;0.95
45026;ES-TO;ES-CM;Cabañas de Yepes;2017-11-01;1;33;0.97;458.31;3962.50;0.88
45027;ES-TO;ES-CM;Cabezamesada;2017-11-01;26;57;0.54;5405.73;10465.55;0.48
45028;ES-TO;ES-CM;Calera y Chozas;2017-11-01;18;204;0.91;2598.47;34731.57;0.93
45029;ES-TO;ES-CM;Caleruela;2017-11-01;0;18;1.00;0.00;2409.73;1.00
45030;ES-TO;ES-CM;Calzada de Oropesa;2017-11-01;2;68;0.97;187.31;6779.51;0.97
45031;ES-TO;ES-CM;Camarena;2017-11-01;47;171;0.73;7218.44;29657.94;0.76
45032;ES-TO;ES-CM;Camarenilla;2017-11-01;2;24;0.92;756.48;3719.40;0.80
45033;ES-TO;ES-CM;El Campillo de la Jara;2017-11-01;1;69;0.99;392.94;9403.32;0.96
45034;ES-TO;ES-CM;Camuñas;2017-11-01;5;110;0.95;546.22;18360.77;0.97
45035;ES-TO;ES-CM;Cardiel de los Montes;2017-11-01;21;56;0.63;2131.03;12042.25;0.82
45036;ES-TO;ES-CM;Carmena;2017-11-01;9;68;0.87;1709.99;9208.99;0.81
45037;ES-TO;ES-CM;El Carpio de Tajo;2017-11-01;7;124;0.94;1306.15;20407.47;0.94
45038;ES-TO;ES-CM;Carranque;2017-11-01;70;217;0.68;15148.77;42511.65;0.64
45039;ES-TO;ES-CM;Carriches;2017-11-01;0;39;1.00;0.00;6105.77;1.00
45040;ES-TO;ES-CM;El Casar de Escalona;2017-11-01;77;230;0.67;14427.00;46511.67;0.69
45041;ES-TO;ES-CM;Casarrubios del Monte;2017-11-01;88;267;0.67;22937.07;57257.89;0.60
45042;ES-TO;ES-CM;Casasbuenas;2017-11-01;2;27;0.93;192.50;4090.56;0.95
45043;ES-TO;ES-CM;Castillo de Bayuela;2017-11-01;13;94;0.86;1021.04;12228.97;0.92
45045;ES-TO;ES-CM;Cazalegas;2017-11-01;16;154;0.90;2254.09;28245.61;0.92
45046;ES-TO;ES-CM;Cebolla;2017-11-01;8;154;0.95;1205.43;22067.48;0.95
45047;ES-TO;ES-CM;Cedillo del Condado;2017-11-01;42;119;0.65;7959.26;23066.77;0.65
45048;ES-TO;ES-CM;Los Cerralbos;2017-11-01;6;35;0.83;829.43;5264.12;0.84
45049;ES-TO;ES-CM;Cervera de los Montes;2017-11-01;1;64;0.98;61.12;6802.99;0.99
45050;ES-TO;ES-CM;Ciruelos;2017-11-01;0;60;1.00;0.00;6755.18;1.00
45051;ES-TO;ES-CM;Cobeja;2017-11-01;15;40;0.63;3466.13;8048.41;0.57
45052;ES-TO;ES-CM;Cobisa;2017-11-01;17;168;0.90;2319.98;35211.87;0.93
45053;ES-TO;ES-CM;Consuegra;2017-11-01;16;280;0.94;738.49;47289.89;0.98
45054;ES-TO;ES-CM;Corral de Almaguer;2017-11-01;94;267;0.65;8533.97;45646.68;0.81
45055;ES-TO;ES-CM;Cuerva;2017-11-01;13;70;0.81;1925.67;10538.03;0.82
