id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
40001;ES-SG;ES-CL;Abades;2018-02-01;42;42;0.00;7251.61;7251.61;0.00
40002;ES-SG;ES-CL;Adrada de Pirón;2018-02-01;14;14;0.00;1069.47;1069.47;0.00
40003;ES-SG;ES-CL;Adrados;2018-02-01;10;30;0.67;1495.17;5354.46;0.72
40004;ES-SG;ES-CL;Aguilafuente;2018-02-01;3;64;0.95;156.24;7792.36;0.98
40005;ES-SG;ES-CL;Alconada de Maderuelo;2018-02-01;16;17;0.06;1686.36;1761.26;0.04
40006;ES-SG;ES-CL;Aldealcorvo;2018-02-01;3;3;0.00;598.26;598.26;0.00
40007;ES-SG;ES-CL;Aldealengua de Pedraza;2018-02-01;12;12;0.00;2711.69;2711.69;0.00
40008;ES-SG;ES-CL;Aldealengua de Santa María;2018-02-01;17;17;0.00;2525.38;2525.38;0.00
40009;ES-SG;ES-CL;Aldeanueva de la Serrezuela;2018-02-01;22;23;0.04;1916.12;2118.54;0.10
40010;ES-SG;ES-CL;Aldeanueva del Codonal;2018-02-01;9;9;0.00;2427.48;2427.48;0.00
40012;ES-SG;ES-CL;Aldea Real;2018-02-01;13;41;0.68;1673.41;4951.52;0.66
40013;ES-SG;ES-CL;Aldeasoña;2018-02-01;6;13;0.54;299.43;1734.93;0.83
40014;ES-SG;ES-CL;Aldehorno;2018-02-01;6;16;0.63;365.97;1186.30;0.69
40015;ES-SG;ES-CL;Aldehuela del Codonal;2018-02-01;19;19;0.00;2341.17;2341.17;0.00
40016;ES-SG;ES-CL;Aldeonte;2018-02-01;10;10;0.00;936.23;936.23;0.00
40017;ES-SG;ES-CL;Anaya;2018-02-01;19;19;0.00;2237.69;2237.69;0.00
40018;ES-SG;ES-CL;Añe;2018-02-01;5;23;0.78;187.61;1852.66;0.90
40019;ES-SG;ES-CL;Arahuetes;2018-02-01;7;7;0.00;1093.30;1093.30;0.00
40020;ES-SG;ES-CL;Arcones;2018-02-01;23;23;0.00;4509.53;4509.53;0.00
40021;ES-SG;ES-CL;Arevalillo de Cega;2018-02-01;4;4;0.00;711.02;711.02;0.00
40022;ES-SG;ES-CL;Armuña;2018-02-01;24;53;0.55;2835.11;6670.30;0.57
40024;ES-SG;ES-CL;Ayllón;2018-02-01;82;126;0.35;9081.45;14378.05;0.37
40025;ES-SG;ES-CL;Barbolla;2018-02-01;27;27;0.00;3324.41;3324.41;0.00
40026;ES-SG;ES-CL;Basardilla;2018-02-01;19;19;0.00;2402.81;2402.81;0.00
40028;ES-SG;ES-CL;Bercial;2018-02-01;21;21;0.00;2509.56;2509.56;0.00
40029;ES-SG;ES-CL;Bercimuel;2018-02-01;12;26;0.54;1011.49;2472.36;0.59
40030;ES-SG;ES-CL;Bernardos;2018-02-01;1;59;0.98;31.47;7581.90;1.00
40031;ES-SG;ES-CL;Bernuy de Porreros;2018-02-01;24;24;0.00;4885.13;4885.13;0.00
40032;ES-SG;ES-CL;Boceguillas;2018-02-01;15;59;0.75;1081.14;8251.80;0.87
40033;ES-SG;ES-CL;Brieva;2018-02-01;11;11;0.00;1786.28;1786.28;0.00
40034;ES-SG;ES-CL;Caballar;2018-02-01;9;9;0.00;1790.31;1790.31;0.00
40035;ES-SG;ES-CL;Cabañas de Polendos;2018-02-01;11;12;0.08;1229.29;1376.22;0.11
40036;ES-SG;ES-CL;Cabezuela;2018-02-01;12;61;0.80;1405.81;9390.28;0.85
40037;ES-SG;ES-CL;Calabazas de Fuentidueña;2018-02-01;1;11;0.91;13.04;1574.96;0.99
40039;ES-SG;ES-CL;Campo de San Pedro;2018-02-01;15;40;0.63;1153.06;4936.73;0.77
40040;ES-SG;ES-CL;Cantalejo;2018-02-01;49;215;0.77;5925.89;31025.41;0.81
40041;ES-SG;ES-CL;Cantimpalos;2018-02-01;49;49;0.00;8228.71;8228.71;0.00
40043;ES-SG;ES-CL;Carbonero el Mayor;2018-02-01;77;153;0.50;8478.24;20029.07;0.58
40044;ES-SG;ES-CL;Carrascal del Río;2018-02-01;27;38;0.29;1921.31;3505.10;0.45
40045;ES-SG;ES-CL;Casla;2018-02-01;12;12;0.00;2722.28;2722.28;0.00
