id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
09001;ES-BU;ES-CL;Abajas;2018-05-01;16;17;0.06;1612.52;1900.97;0.15
09003;ES-BU;ES-CL;Adrada de Haza;2018-05-01;9;21;0.57;547.80;2500.33;0.78
09006;ES-BU;ES-CL;Aguas Cándidas;2018-05-01;20;23;0.13;1713.82;2087.83;0.18
09007;ES-BU;ES-CL;Aguilar de Bureba;2018-05-01;12;12;0.00;1633.67;1633.67;0.00
09009;ES-BU;ES-CL;Albillos;2018-05-01;34;34;0.00;2972.24;2972.24;0.00
09010;ES-BU;ES-CL;Alcocero de Mola;2018-05-01;8;14;0.43;495.90;1538.06;0.68
09011;ES-BU;ES-CL;Alfoz de Bricia;2018-05-01;58;58;0.00;8628.65;8628.65;0.00
09012;ES-BU;ES-CL;Alfoz de Santa Gadea;2018-05-01;35;35;0.00;6270.47;6270.47;0.00
09013;ES-BU;ES-CL;Altable;2018-05-01;11;12;0.08;1008.01;1185.01;0.15
09014;ES-BU;ES-CL;Los Altos;2018-05-01;99;133;0.26;7444.34;10362.38;0.28
09016;ES-BU;ES-CL;Ameyugo;2018-05-01;14;28;0.50;629.34;1582.52;0.60
09017;ES-BU;ES-CL;Anguix;2018-05-01;25;25;0.00;2812.58;2812.58;0.00
09018;ES-BU;ES-CL;Aranda de Duero;2018-05-01;214;644;0.67;26431.42;101285.17;0.74
09019;ES-BU;ES-CL;Arandilla;2018-05-01;23;23;0.00;2693.49;2693.49;0.00
09020;ES-BU;ES-CL;Arauzo de Miel;2018-05-01;59;60;0.02;5857.30;6017.37;0.03
09021;ES-BU;ES-CL;Arauzo de Salce;2018-05-01;13;13;0.00;1047.25;1047.25;0.00
09022;ES-BU;ES-CL;Arauzo de Torre;2018-05-01;20;20;0.00;1751.68;1751.68;0.00
09023;ES-BU;ES-CL;Arcos;2018-05-01;39;84;0.54;4247.29;12199.33;0.65
09024;ES-BU;ES-CL;Arenillas de Riopisuerga;2018-05-01;8;45;0.82;275.28;3909.65;0.93
09025;ES-BU;ES-CL;Arija;2018-05-01;24;39;0.38;2550.31;7920.49;0.68
09026;ES-BU;ES-CL;Arlanzón;2018-05-01;97;127;0.24;5966.95;9041.19;0.34
09027;ES-BU;ES-CL;Arraya de Oca;2018-05-01;13;13;0.00;1412.95;1412.95;0.00
09029;ES-BU;ES-CL;Atapuerca;2018-05-01;33;88;0.63;1438.10;4857.48;0.70
09030;ES-BU;ES-CL;Los Ausines;2018-05-01;19;53;0.64;1628.83;3760.70;0.57
09032;ES-BU;ES-CL;Avellanosa de Muñó;2018-05-01;47;47;0.00;3385.40;3385.40;0.00
09033;ES-BU;ES-CL;Bahabón de Esgueva;2018-05-01;28;28;0.00;3720.47;3720.47;0.00
09034;ES-BU;ES-CL;Los Balbases;2018-05-01;48;77;0.38;3672.11;6201.79;0.41
09035;ES-BU;ES-CL;Baños de Valdearados;2018-05-01;49;49;0.00;6155.79;6155.79;0.00
09036;ES-BU;ES-CL;Bañuelos de Bureba;2018-05-01;19;19;0.00;1821.20;1821.20;0.00
09037;ES-BU;ES-CL;Barbadillo de Herreros;2018-05-01;22;46;0.52;802.08;3126.79;0.74
