id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
36001;ES-PO;ES-GA;Arbo;2018-05-01;388;389;0.00;63191.40;63281.16;0.00
36002;ES-PO;ES-GA;Barro;2018-05-01;48;48;0.00;18152.44;18152.44;0.00
36003;ES-PO;ES-GA;Baiona;2018-05-01;148;348;0.57;22655.10;58092.70;0.61
36004;ES-PO;ES-GA;Bueu;2018-05-01;201;257;0.22;52888.52;66185.57;0.20
36005;ES-PO;ES-GA;Caldas de Reis;2018-05-01;141;174;0.19;36317.31;41303.72;0.12
36006;ES-PO;ES-GA;Cambados;2018-05-01;320;376;0.15;72005.12;83373.97;0.14
36007;ES-PO;ES-GA;Campo Lameiro;2018-05-01;169;169;0.00;27843.28;27843.28;0.00
36008;ES-PO;ES-GA;Cangas;2018-05-01;310;540;0.43;64799.63;108027.98;0.40
36009;ES-PO;ES-GA;A Cañiza;2018-05-01;423;451;0.06;61840.41;65811.78;0.06
36010;ES-PO;ES-GA;Catoira;2018-05-01;62;62;0.00;17259.84;17259.84;0.00
36011;ES-PO;ES-GA;Cerdedo;2018-05-01;203;216;0.06;24315.83;26204.75;0.07
36012;ES-PO;ES-GA;Cotobade;2018-05-01;349;350;0.00;54928.84;55420.70;0.01
36013;ES-PO;ES-GA;Covelo;2018-05-01;432;438;0.01;73177.66;74065.68;0.01
36014;ES-PO;ES-GA;Crecente;2018-05-01;269;269;0.00;49049.77;49049.77;0.00
36015;ES-PO;ES-GA;Cuntis;2018-05-01;62;67;0.07;22776.90;23750.17;0.04
36016;ES-PO;ES-GA;Dozón;2018-05-01;99;99;0.00;16048.94;16048.94;0.00
36017;ES-PO;ES-GA;A Estrada;2018-05-01;116;183;0.37;17983.83;32267.43;0.44
36018;ES-PO;ES-GA;Forcarei;2018-05-01;301;321;0.06;37113.76;39821.78;0.07
36019;ES-PO;ES-GA;Fornelos de Montes;2018-05-01;121;126;0.04;19453.47;19865.23;0.02
36020;ES-PO;ES-GA;Agolada;2018-05-01;304;306;0.01;38824.94;39055.01;0.01
36021;ES-PO;ES-GA;Gondomar;2018-05-01;187;192;0.03;42537.36;43742.29;0.03
36022;ES-PO;ES-GA;O Grove;2018-05-01;243;313;0.22;35629.94;49293.68;0.28
36023;ES-PO;ES-GA;A Guarda;2018-05-01;166;300;0.45;25469.21;47264.32;0.46
36024;ES-PO;ES-GA;Lalín;2018-05-01;676;811;0.17;97427.58;119061.66;0.18
36025;ES-PO;ES-GA;A Lama;2018-05-01;211;212;0.00;32299.70;32402.00;0.00
36026;ES-PO;ES-GA;Marín;2018-05-01;215;253;0.15;69738.47;76239.62;0.09
36027;ES-PO;ES-GA;Meaño;2018-05-01;125;126;0.01;32809.48;33073.70;0.01
36028;ES-PO;ES-GA;Meis;2018-05-01;143;143;0.00;39327.90;39327.90;0.00
36029;ES-PO;ES-GA;Moaña;2018-05-01;259;299;0.13;75198.78;84250.58;0.11
36030;ES-PO;ES-GA;Mondariz;2018-05-01;532;550;0.03;85394.58;88387.79;0.03
36031;ES-PO;ES-GA;Mondariz-Balneario;2018-05-01;26;34;0.24;3987.28;6109.66;0.35
36032;ES-PO;ES-GA;Moraña;2018-05-01;177;180;0.02;35648.38;35917.17;0.01
36033;ES-PO;ES-GA;Mos;2018-05-01;299;332;0.10;50514.97;57598.75;0.12
36034;ES-PO;ES-GA;As Neves;2018-05-01;369;374;0.01;69177.91;70348.21;0.02
36035;ES-PO;ES-GA;Nigrán;2018-05-01;196;249;0.21;49704.93;63604.76;0.22
36036;ES-PO;ES-GA;Oia;2018-05-01;173;174;0.01;31942.86;32472.47;0.02
36037;ES-PO;ES-GA;Pazos de Borbén;2018-05-01;51;51;0.00;12038.41;12038.41;0.00
36038;ES-PO;ES-GA;Pontevedra;2018-05-01;719;1219;0.41;145725.57;215741.32;0.32
36039;ES-PO;ES-GA;O Porriño;2018-05-01;315;454;0.31;53818.64;77949.45;0.31
36040;ES-PO;ES-GA;Portas;2018-05-01;37;37;0.00;14091.15;14091.15;0.00
36041;ES-PO;ES-GA;Poio;2018-05-01;278;565;0.51;31367.27;103651.20;0.70
36042;ES-PO;ES-GA;Ponteareas;2018-05-01;1054;1177;0.10;131731.81;148844.78;0.11
36043;ES-PO;ES-GA;Ponte Caldelas;2018-05-01;87;96;0.09;18377.31;19330.95;0.05
36044;ES-PO;ES-GA;Pontecesures;2018-05-01;61;100;0.39;13799.03;19122.57;0.28
36045;ES-PO;ES-GA;Redondela;2018-05-01;529;692;0.24;97003.49;132247.37;0.27
36046;ES-PO;ES-GA;Ribadumia;2018-05-01;225;225;0.00;60833.53;60833.53;0.00
36047;ES-PO;ES-GA;Rodeiro;2018-05-01;300;308;0.03;39995.38;41299.66;0.03
36048;ES-PO;ES-GA;O Rosal;2018-05-01;95;454;0.79;7865.88;79442.36;0.90
36049;ES-PO;ES-GA;Salceda de Caselas;2018-05-01;107;129;0.17;15015.04;18306.78;0.18
36050;ES-PO;ES-GA;Salvaterra de Miño;2018-05-01;468;496;0.06;62742.50;67136.53;0.07
36051;ES-PO;ES-GA;Sanxenxo;2018-05-01;404;448;0.10;86411.39;90507.36;0.05
36052;ES-PO;ES-GA;Silleda;2018-05-01;415;442;0.06;73501.02;78818.03;0.07
36053;ES-PO;ES-GA;Soutomaior;2018-05-01;58;95;0.39;15709.33;23211.71;0.32
36054;ES-PO;ES-GA;Tomiño;2018-05-01;527;555;0.05;126916.50;130684.27;0.03
36055;ES-PO;ES-GA;Tui;2018-05-01;217;335;0.35;40667.93;57108.32;0.29
36056;ES-PO;ES-GA;Valga;2018-05-01;142;142;0.00;31905.81;31905.81;0.00
36057;ES-PO;ES-GA;Vigo;2018-05-01;1440;3449;0.58;181788.12;573251.21;0.68
36058;ES-PO;ES-GA;Vilaboa;2018-05-01;101;101;0.00;37697.38;37697.38;0.00
36059;ES-PO;ES-GA;Vila de Cruces;2018-05-01;332;332;0.00;56692.14;56692.14;0.00
36060;ES-PO;ES-GA;Vilagarcía de Arousa;2018-05-01;310;524;0.41;67194.94;103604.23;0.35
36061;ES-PO;ES-GA;Vilanova de Arousa;2018-05-01;253;305;0.17;53318.04;59519.14;0.10
36901;ES-PO;ES-GA;A Illa de Arousa;2018-05-01;50;50;0.00;9117.69;9117.69;0.00
