id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
42001;ES-SO;ES-CL;Abejar;2018-08-01;33;34;0.03;6787.39;7533.54;0.10
42003;ES-SO;ES-CL;Adradas;2018-08-01;20;20;0.00;3682.23;3682.23;0.00
42004;ES-SO;ES-CL;Ágreda;2018-08-01;87;140;0.38;10589.68;19622.43;0.46
42006;ES-SO;ES-CL;Alconaba;2018-08-01;21;26;0.19;4167.25;4547.26;0.08
42007;ES-SO;ES-CL;Alcubilla de Avellaneda;2018-08-01;10;33;0.70;870.11;2769.62;0.69
42008;ES-SO;ES-CL;Alcubilla de las Peñas;2018-08-01;27;33;0.18;3850.44;4515.40;0.15
42009;ES-SO;ES-CL;Aldealafuente;2018-08-01;18;18;0.00;2266.08;2266.08;0.00
42010;ES-SO;ES-CL;Aldealices;2018-08-01;8;8;0.00;1122.46;1122.46;0.00
42011;ES-SO;ES-CL;Aldealpozo;2018-08-01;9;9;0.00;1052.90;1052.90;0.00
42012;ES-SO;ES-CL;Aldealseñor;2018-08-01;6;6;0.00;1186.31;1186.31;0.00
42013;ES-SO;ES-CL;Aldehuela de Periáñez;2018-08-01;7;8;0.13;936.39;1297.36;0.28
42014;ES-SO;ES-CL;Las Aldehuelas;2018-08-01;25;25;0.00;1858.17;1858.17;0.00
42015;ES-SO;ES-CL;Alentisque;2018-08-01;11;11;0.00;1242.64;1242.64;0.00
42016;ES-SO;ES-CL;Aliud;2018-08-01;11;11;0.00;948.22;948.22;0.00
42017;ES-SO;ES-CL;Almajano;2018-08-01;23;27;0.15;2466.91;2784.88;0.11
42018;ES-SO;ES-CL;Almaluez;2018-08-01;35;35;0.00;4567.12;4567.12;0.00
42019;ES-SO;ES-CL;Almarza;2018-08-01;90;97;0.07;11876.42;13446.51;0.12
42020;ES-SO;ES-CL;Almazán;2018-08-01;81;212;0.62;8755.42;29317.06;0.70
42021;ES-SO;ES-CL;Almazul;2018-08-01;19;19;0.00;3106.80;3106.80;0.00
42022;ES-SO;ES-CL;Almenar de Soria;2018-08-01;45;65;0.31;5960.09;7766.23;0.23
42023;ES-SO;ES-CL;Alpanseque;2018-08-01;17;17;0.00;2261.18;2261.18;0.00
42024;ES-SO;ES-CL;Arancón;2018-08-01;21;35;0.40;1862.11;3143.11;0.41
42025;ES-SO;ES-CL;Arcos de Jalón;2018-08-01;188;215;0.13;25603.33;28527.43;0.10
42026;ES-SO;ES-CL;Arenillas;2018-08-01;12;12;0.00;1559.78;1559.78;0.00
42027;ES-SO;ES-CL;Arévalo de la Sierra;2018-08-01;16;37;0.57;1631.45;3872.08;0.58
42028;ES-SO;ES-CL;Ausejo de la Sierra;2018-08-01;22;22;0.00;3079.27;3079.27;0.00
42029;ES-SO;ES-CL;Baraona;2018-08-01;52;55;0.05;5779.10;6129.24;0.06
42030;ES-SO;ES-CL;Barca;2018-08-01;5;34;0.85;243.84;3491.21;0.93
42031;ES-SO;ES-CL;Barcones;2018-08-01;11;11;0.00;1784.53;1784.53;0.00
42032;ES-SO;ES-CL;Bayubas de Abajo;2018-08-01;15;21;0.29;1878.59;2390.57;0.21
42033;ES-SO;ES-CL;Bayubas de Arriba;2018-08-01;8;8;0.00;1016.56;1016.56;0.00
42034;ES-SO;ES-CL;Beratón;2018-08-01;16;16;0.00;2299.49;2299.49;0.00
42035;ES-SO;ES-CL;Berlanga de Duero;2018-08-01;36;142;0.75;3250.03;13878.26;0.77
42036;ES-SO;ES-CL;Blacos;2018-08-01;10;10;0.00;1115.38;1115.38;0.00
42037;ES-SO;ES-CL;Bliecos;2018-08-01;8;8;0.00;1051.52;1051.52;0.00
42038;ES-SO;ES-CL;Borjabad;2018-08-01;6;11;0.45;705.62;1370.25;0.49
42039;ES-SO;ES-CL;Borobia;2018-08-01;9;9;0.00;1938.09;1938.09;0.00
42041;ES-SO;ES-CL;Buberos;2018-08-01;7;7;0.00;901.11;901.11;0.00
42042;ES-SO;ES-CL;Buitrago;2018-08-01;14;14;0.00;1658.75;1658.75;0.00
42043;ES-SO;ES-CL;Burgo de Osma-Ciudad de Osma;2018-08-01;131;333;0.61;13001.68;45874.32;0.72
42044;ES-SO;ES-CL;Cabrejas del Campo;2018-08-01;21;21;0.00;1990.94;1990.94;0.00
42045;ES-SO;ES-CL;Cabrejas del Pinar;2018-08-01;7;18;0.61;784.33;2726.04;0.71
42046;ES-SO;ES-CL;Calatañazor;2018-08-01;9;12;0.25;827.08;1298.58;0.36
42048;ES-SO;ES-CL;Caltojar;2018-08-01;17;37;0.54;1858.25;4180.12;0.56
42049;ES-SO;ES-CL;Candilichera;2018-08-01;12;13;0.08;1380.67;1539.97;0.10
42050;ES-SO;ES-CL;Cañamaque;2018-08-01;13;13;0.00;1772.28;1772.28;0.00
42051;ES-SO;ES-CL;Carabantes;2018-08-01;4;4;0.00;860.67;860.67;0.00
42052;ES-SO;ES-CL;Caracena;2018-08-01;8;8;0.00;688.61;688.61;0.00
42053;ES-SO;ES-CL;Carrascosa de Abajo;2018-08-01;8;8;0.00;522.12;522.12;0.00
42054;ES-SO;ES-CL;Carrascosa de la Sierra;2018-08-01;9;11;0.18;1327.09;1647.10;0.19
42055;ES-SO;ES-CL;Casarejos;2018-08-01;19;41;0.54;1260.38;3298.90;0.62
42056;ES-SO;ES-CL;Castilfrío de la Sierra;2018-08-01;12;12;0.00;1231.05;1231.05;0.00
42057;ES-SO;ES-CL;Castilruiz;2018-08-01;32;43;0.26;3251.63;4748.87;0.32
42058;ES-SO;ES-CL;Castillejo de Robledo;2018-08-01;6;30;0.80;369.75;4494.42;0.92
42059;ES-SO;ES-CL;Centenera de Andaluz;2018-08-01;1;8;0.88;26.40;1115.67;0.98
42060;ES-SO;ES-CL;Cerbón;2018-08-01;10;10;0.00;1517.84;1517.84;0.00
42061;ES-SO;ES-CL;Cidones;2018-08-01;59;91;0.35;9102.09;12862.76;0.29
42062;ES-SO;ES-CL;Cigudosa;2018-08-01;8;8;0.00;863.25;863.25;0.00
42063;ES-SO;ES-CL;Cihuela;2018-08-01;14;14;0.00;2118.82;2118.82;0.00
42064;ES-SO;ES-CL;Ciria;2018-08-01;6;6;0.00;737.86;737.86;0.00
42065;ES-SO;ES-CL;Cirujales del Río;2018-08-01;7;7;0.00;860.64;860.64;0.00
42068;ES-SO;ES-CL;Coscurita;2018-08-01;20;25;0.20;2323.86;3022.69;0.23
42069;ES-SO;ES-CL;Covaleda;2018-08-01;87;87;0.00;12280.32;12280.32;0.00
42070;ES-SO;ES-CL;Cubilla;2018-08-01;12;12;0.00;977.20;977.20;0.00
42071;ES-SO;ES-CL;Cubo de la Solana;2018-08-01;17;30;0.43;1613.12;2975.33;0.46
42073;ES-SO;ES-CL;Cueva de Ágreda;2018-08-01;5;5;0.00;724.13;724.13;0.00
42075;ES-SO;ES-CL;Dévanos;2018-08-01;12;12;0.00;1592.88;1592.88;0.00
42076;ES-SO;ES-CL;Deza;2018-08-01;18;18;0.00;4801.44;4801.44;0.00
42078;ES-SO;ES-CL;Duruelo de la Sierra;2018-08-01;70;70;0.00;10359.56;10359.56;0.00
42079;ES-SO;ES-CL;Escobosa de Almazán;2018-08-01;5;5;0.00;690.90;690.90;0.00
