id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
22001;ES-HU;ES-AR;Abiego;2018-11-01;3;31;0.90;218.88;2985.03;0.93
22002;ES-HU;ES-AR;Abizanda;2018-11-01;24;26;0.08;1604.73;2077.80;0.23
22003;ES-HU;ES-AR;Adahuesca;2018-11-01;1;13;0.92;284.68;1311.48;0.78
22004;ES-HU;ES-AR;Agüero;2018-11-01;29;50;0.42;1819.08;3669.13;0.50
22006;ES-HU;ES-AR;Aísa;2018-11-01;35;40;0.13;3927.66;4597.33;0.15
22007;ES-HU;ES-AR;Albalate de Cinca;2018-11-01;42;69;0.39;5012.91;8590.89;0.42
22008;ES-HU;ES-AR;Albalatillo;2018-11-01;16;16;0.00;3008.00;3008.00;0.00
22009;ES-HU;ES-AR;Albelda;2018-11-01;10;30;0.67;701.04;3308.98;0.79
22011;ES-HU;ES-AR;Albero Alto;2018-11-01;2;20;0.90;258.11;2166.41;0.88
22012;ES-HU;ES-AR;Albero Bajo;2018-11-01;9;24;0.63;524.39;2827.71;0.81
22013;ES-HU;ES-AR;Alberuela de Tubo;2018-11-01;24;24;0.00;3653.57;3653.57;0.00
22014;ES-HU;ES-AR;Alcalá de Gurrea;2018-11-01;0;36;1.00;0.00;4630.65;1.00
22015;ES-HU;ES-AR;Alcalá del Obispo;2018-11-01;10;39;0.74;1408.53;4719.29;0.70
22016;ES-HU;ES-AR;Alcampell;2018-11-01;3;55;0.95;315.22;5982.10;0.95
22017;ES-HU;ES-AR;Alcolea de Cinca;2018-11-01;26;53;0.51;2138.40;7254.46;0.71
22018;ES-HU;ES-AR;Alcubierre;2018-11-01;8;32;0.75;792.82;4666.69;0.83
22019;ES-HU;ES-AR;Alerre;2018-11-01;0;17;1.00;0.00;2456.68;1.00
22020;ES-HU;ES-AR;Alfántega;2018-11-01;20;29;0.31;1097.66;2407.34;0.54
22021;ES-HU;ES-AR;Almudévar;2018-11-01;25;140;0.82;3347.54;25764.99;0.87
22022;ES-HU;ES-AR;Almunia de San Juan;2018-11-01;25;51;0.51;1815.06;7512.00;0.76
22023;ES-HU;ES-AR;Almuniente;2018-11-01;21;42;0.50;4681.70;6852.98;0.32
22024;ES-HU;ES-AR;Alquézar;2018-11-01;19;34;0.44;2860.58;4467.82;0.36
22025;ES-HU;ES-AR;Altorricón;2018-11-01;14;74;0.81;881.86;8772.87;0.90
22027;ES-HU;ES-AR;Angüés;2018-11-01;18;54;0.67;1797.34;5178.98;0.65
22028;ES-HU;ES-AR;Ansó;2018-11-01;8;27;0.70;507.07;2685.34;0.81
22029;ES-HU;ES-AR;Antillón;2018-11-01;5;20;0.75;146.84;1299.51;0.89
22032;ES-HU;ES-AR;Aragüés del Puerto;2018-11-01;7;18;0.61;1026.56;1865.66;0.45
22035;ES-HU;ES-AR;Arén;2018-11-01;11;22;0.50;1367.76;2681.26;0.49
22036;ES-HU;ES-AR;Argavieso;2018-11-01;13;13;0.00;1681.37;1681.37;0.00
22037;ES-HU;ES-AR;Arguis;2018-11-01;0;36;1.00;0.00;2843.04;1.00
22039;ES-HU;ES-AR;Ayerbe;2018-11-01;2;52;0.96;188.47;7111.70;0.97
22040;ES-HU;ES-AR;Azanuy-Alins;2018-11-01;19;31;0.39;1910.35;3164.01;0.40
22041;ES-HU;ES-AR;Azara;2018-11-01;2;2;0.00;505.19;505.19;0.00
22042;ES-HU;ES-AR;Azlor;2018-11-01;5;5;0.00;1481.59;1481.59;0.00
22043;ES-HU;ES-AR;Baells;2018-11-01;8;14;0.43;1043.75;1412.42;0.26
22044;ES-HU;ES-AR;Bailo;2018-11-01;38;63;0.40;2469.43;5528.55;0.55
22045;ES-HU;ES-AR;Baldellou;2018-11-01;2;3;0.33;179.07;602.86;0.70
22046;ES-HU;ES-AR;Ballobar;2018-11-01;14;45;0.69;1576.04;5978.81;0.74
22047;ES-HU;ES-AR;Banastás;2018-11-01;0;22;1.00;0.00;3711.55;1.00
22048;ES-HU;ES-AR;Barbastro;2018-11-01;96;423;0.77;10620.27;62332.29;0.83
22049;ES-HU;ES-AR;Barbués;2018-11-01;0;11;1.00;0.00;1045.71;1.00
22050;ES-HU;ES-AR;Barbuñales;2018-11-01;7;15;0.53;479.97;2464.38;0.81
22051;ES-HU;ES-AR;Bárcabo;2018-11-01;8;8;0.00;1090.53;1090.53;0.00
22052;ES-HU;ES-AR;Belver de Cinca;2018-11-01;16;38;0.58;1737.24;6992.99;0.75
22053;ES-HU;ES-AR;Benabarre;2018-11-01;31;97;0.68;2897.24;10042.29;0.71
22054;ES-HU;ES-AR;Benasque;2018-11-01;76;129;0.41;8065.77;13388.59;0.40
22055;ES-HU;ES-AR;Berbegal;2018-11-01;10;35;0.71;778.53;3004.80;0.74
22057;ES-HU;ES-AR;Bielsa;2018-11-01;21;40;0.48;2000.21;3894.71;0.49
