id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
17001;ES-GI;ES-CT;Agullana;2019-03-01;1;56;0.98;46.67;6499.61;0.99
17002;ES-GI;ES-CT;Aiguaviva;2019-03-01;8;55;0.85;818.50;9715.82;0.92
17003;ES-GI;ES-CT;Albanyà;2019-03-01;2;25;0.92;40.20;1650.19;0.98
17004;ES-GI;ES-CT;Albons;2019-03-01;0;74;1.00;0.00;8417.23;1.00
17005;ES-GI;ES-CT;el Far d'Empordà;2019-03-01;0;59;1.00;0.00;6197.29;1.00
17006;ES-GI;ES-CT;Alp;2019-03-01;40;127;0.69;6705.56;21903.71;0.69
17007;ES-GI;ES-CT;Amer;2019-03-01;16;93;0.83;961.72;9668.68;0.90
17008;ES-GI;ES-CT;Anglès;2019-03-01;14;128;0.89;1242.78;17418.20;0.93
17009;ES-GI;ES-CT;Arbúcies;2019-03-01;9;124;0.93;2060.90;22747.52;0.91
17010;ES-GI;ES-CT;Argelaguer;2019-03-01;11;36;0.69;2140.10;4411.25;0.51
17011;ES-GI;ES-CT;l'Armentera;2019-03-01;0;92;1.00;0.00;10669.40;1.00
17012;ES-GI;ES-CT;Avinyonet de Puigventós;2019-03-01;0;69;1.00;0.00;10090.24;1.00
17013;ES-GI;ES-CT;Begur;2019-03-01;43;435;0.90;3799.45;90971.87;0.96
17014;ES-GI;ES-CT;la Vajol;2019-03-01;0;19;1.00;0.00;1547.91;1.00
17015;ES-GI;ES-CT;Banyoles;2019-03-01;50;571;0.91;2246.76;71954.34;0.97
17016;ES-GI;ES-CT;Bàscara;2019-03-01;0;86;1.00;0.00;10365.32;1.00
17018;ES-GI;ES-CT;Bellcaire d'Empordà;2019-03-01;1;36;0.97;189.12;5549.72;0.97
17019;ES-GI;ES-CT;Besalú;2019-03-01;27;171;0.84;902.70;20100.60;0.96
17020;ES-GI;ES-CT;Bescanó;2019-03-01;2;176;0.99;63.48;35327.45;1.00
17021;ES-GI;ES-CT;Beuda;2019-03-01;0;4;1.00;0.00;243.91;1.00
17022;ES-GI;ES-CT;la Bisbal d'Empordà;2019-03-01;29;191;0.85;1804.22;29037.18;0.94
17023;ES-GI;ES-CT;Blanes;2019-03-01;68;647;0.89;5310.52;90752.38;0.94
17024;ES-GI;ES-CT;Bolvir;2019-03-01;24;80;0.70;2436.27;15854.19;0.85
17025;ES-GI;ES-CT;Bordils;2019-03-01;11;50;0.78;482.49;10019.25;0.95
17026;ES-GI;ES-CT;Borrassà;2019-03-01;1;44;0.98;46.19;5543.63;0.99
17027;ES-GI;ES-CT;Breda;2019-03-01;42;97;0.57;5867.88;16328.00;0.64
17028;ES-GI;ES-CT;Brunyola i Sant Martí Sapresa;2019-03-01;5;9;0.44;551.35;1379.67;0.60
17029;ES-GI;ES-CT;Boadella i les Escaules;2019-03-01;0;33;1.00;0.00;2684.96;1.00
17030;ES-GI;ES-CT;Cabanes;2019-03-01;0;31;1.00;0.00;3775.74;1.00
17031;ES-GI;ES-CT;Cabanelles;2019-03-01;0;12;1.00;0.00;517.62;1.00
17032;ES-GI;ES-CT;Cadaqués;2019-03-01;32;272;0.88;1148.82;33487.75;0.97
17033;ES-GI;ES-CT;Caldes de Malavella;2019-03-01;37;359;0.90;8136.80;75153.27;0.89
17034;ES-GI;ES-CT;Calonge i Sant Antoni;2019-03-01;34;625;0.95;2396.24;126259.20;0.98
17035;ES-GI;ES-CT;Camós;2019-03-01;24;39;0.38;1942.60;3514.12;0.45
17036;ES-GI;ES-CT;Campdevànol;2019-03-01;29;109;0.73;2991.95;15556.55;0.81
17037;ES-GI;ES-CT;Campelles;2019-03-01;8;20;0.60;551.68;2083.85;0.74
17038;ES-GI;ES-CT;Campllong;2019-03-01;6;27;0.78;1002.93;4167.16;0.76
17039;ES-GI;ES-CT;Camprodon;2019-03-01;79;145;0.46;6033.05;19116.03;0.68
17040;ES-GI;ES-CT;Canet d'Adri;2019-03-01;1;21;0.95;165.50;5204.25;0.97
17041;ES-GI;ES-CT;Cantallops;2019-03-01;0;54;1.00;0.00;5544.38;1.00
17042;ES-GI;ES-CT;Capmany;2019-03-01;0;67;1.00;0.00;5825.66;1.00
17043;ES-GI;ES-CT;Queralbs;2019-03-01;10;27;0.63;580.62;2995.68;0.81
17044;ES-GI;ES-CT;Cassà de la Selva;2019-03-01;11;212;0.95;2770.61;37465.88;0.93
17046;ES-GI;ES-CT;Castellfollit de la Roca;2019-03-01;15;33;0.55;683.57;2877.03;0.76
17047;ES-GI;ES-CT;Castelló d'Empúries;2019-03-01;3;563;0.99;119.61;87156.70;1.00
17048;ES-GI;ES-CT;Castell-Platja d'Aro;2019-03-01;30;601;0.95;1915.28;112297.96;0.98
17049;ES-GI;ES-CT;Celrà;2019-03-01;12;161;0.93;968.65;33415.82;0.97
17050;ES-GI;ES-CT;Cervià de Ter;2019-03-01;8;62;0.87;227.71;7203.48;0.97
17051;ES-GI;ES-CT;Cistella;2019-03-01;0;23;1.00;0.00;3340.73;1.00
17052;ES-GI;ES-CT;Siurana;2019-03-01;0;14;1.00;0.00;1034.74;1.00
17054;ES-GI;ES-CT;Colera;2019-03-01;1;59;0.98;69.89;9299.07;0.99
17055;ES-GI;ES-CT;Colomers;2019-03-01;1;40;0.98;27.76;3141.02;0.99
17056;ES-GI;ES-CT;Cornellà del Terri;2019-03-01;23;163;0.86;1464.43;16743.03;0.91
17057;ES-GI;ES-CT;Corçà;2019-03-01;0;103;1.00;0.00;11050.83;1.00
17058;ES-GI;ES-CT;Crespià;2019-03-01;2;41;0.95;82.59;2588.97;0.97
17060;ES-GI;ES-CT;Darnius;2019-03-01;0;35;1.00;0.00;4435.30;1.00
17061;ES-GI;ES-CT;Das;2019-03-01;18;36;0.50;2716.34;7381.59;0.63
17062;ES-GI;ES-CT;l'Escala;2019-03-01;18;718;0.97;758.89;121588.56;0.99
17063;ES-GI;ES-CT;Espinelves;2019-03-01;9;17;0.47;930.93;2703.76;0.66
17064;ES-GI;ES-CT;Espolla;2019-03-01;0;66;1.00;0.00;4664.66;1.00
17065;ES-GI;ES-CT;Esponellà;2019-03-01;7;22;0.68;570.24;3489.43;0.84
17066;ES-GI;ES-CT;Figueres;2019-03-01;23;848;0.97;940.28;95753.84;0.99
17067;ES-GI;ES-CT;Flaçà;2019-03-01;4;44;0.91;428.06;7083.46;0.94
17068;ES-GI;ES-CT;Foixà;2019-03-01;0;16;1.00;0.00;2380.53;1.00
17069;ES-GI;ES-CT;Fontanals de Cerdanya;2019-03-01;18;101;0.82;1720.18;14292.32;0.88
17070;ES-GI;ES-CT;Fontanilles;2019-03-01;0;26;1.00;0.00;2793.25;1.00
17071;ES-GI;ES-CT;Fontcoberta;2019-03-01;18;85;0.79;1471.58;10256.92;0.86
17073;ES-GI;ES-CT;Fornells de la Selva;2019-03-01;8;139;0.94;3848.11;28338.58;0.86
17074;ES-GI;ES-CT;Fortià;2019-03-01;0;53;1.00;0.00;7804.17;1.00
