id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
03001,ES-A,ES-VC,l'Atzúbia,2021-03-15,2,23,0.91,100.11,4176.81,0.98
03002,ES-A,ES-VC,Agost,2021-03-15,7,101,0.93,792.32,17518.44,0.95
03003,ES-A,ES-VC,Agres,2021-03-15,1,43,0.98,19.17,3342.13,0.99
03004,ES-A,ES-VC,Aigües,2021-03-15,23,56,0.59,4496.32,9529.23,0.53
03005,ES-A,ES-VC,Albatera,2021-03-15,38,160,0.76,12292.10,41441.23,0.70
03006,ES-A,ES-VC,Alcalalí,2021-03-15,65,110,0.41,12539.49,15724.99,0.20
03007,ES-A,ES-VC,Alcocer de Planes,2021-03-15,6,7,0.14,821.60,953.65,0.14
03008,ES-A,ES-VC,Alcoleja,2021-03-15,2,12,0.83,96.41,1139.81,0.92
03009,ES-A,ES-VC,Alcoi / Alcoy,2021-03-15,140,767,0.82,16486.10,122498.29,0.87
03010,ES-A,ES-VC,Alfafara,2021-03-15,6,12,0.50,1441.09,2526.18,0.43
03011,ES-A,ES-VC,l'Alfàs del Pi,2021-03-15,455,587,0.22,87151.71,116102.32,0.25
03012,ES-A,ES-VC,Algorfa,2021-03-15,64,207,0.69,12048.72,41461.09,0.71
03013,ES-A,ES-VC,Algueña,2021-03-15,5,145,0.97,476.74,17120.40,0.97
03014,ES-A,ES-VC,Alacant / Alicante,2021-03-15,438,3177,0.86,49251.15,544017.43,0.91
03015,ES-A,ES-VC,Almoradí,2021-03-15,66,364,0.82,7326.93,67743.71,0.89
03016,ES-A,ES-VC,Almudaina,2021-03-15,11,11,0.00,1236.45,1236.45,0.00
03017,ES-A,ES-VC,l'Alqueria d'Asnar,2021-03-15,11,32,0.66,655.09,3328.84,0.80
03018,ES-A,ES-VC,Altea,2021-03-15,449,635,0.29,111750.28,153076.47,0.27
03019,ES-A,ES-VC,Aspe,2021-03-15,67,399,0.83,15714.98,74742.67,0.79
03020,ES-A,ES-VC,Balones,2021-03-15,5,25,0.80,288.13,1537.12,0.81
03021,ES-A,ES-VC,Banyeres de Mariola,2021-03-15,98,226,0.57,17870.00,36734.78,0.51
03022,ES-A,ES-VC,Benasau,2021-03-15,0,10,1.00,0.00,1956.27,1.00
03023,ES-A,ES-VC,Beneixama,2021-03-15,17,51,0.67,3812.39,13790.36,0.72
03024,ES-A,ES-VC,Benejúzar,2021-03-15,5,144,0.97,1343.11,23987.73,0.94
03025,ES-A,ES-VC,Benferri,2021-03-15,61,124,0.51,11384.42,23365.22,0.51
03026,ES-A,ES-VC,Beniarbeig,2021-03-15,23,104,0.78,1840.63,13038.67,0.86
03027,ES-A,ES-VC,Beniardá,2021-03-15,6,27,0.78,370.47,1502.84,0.75
03028,ES-A,ES-VC,Beniarrés,2021-03-15,38,53,0.28,3420.41,4900.61,0.30
03029,ES-A,ES-VC,Benigembla,2021-03-15,6,30,0.80,353.87,3314.19,0.89
03030,ES-A,ES-VC,Benidoleig,2021-03-15,34,61,0.44,6177.35,11673.81,0.47
03031,ES-A,ES-VC,Benidorm,2021-03-15,321,903,0.64,45071.48,152350.08,0.70
03032,ES-A,ES-VC,Benifallim,2021-03-15,2,20,0.90,414.71,1499.03,0.72
03033,ES-A,ES-VC,Benifato,2021-03-15,4,14,0.71,179.85,543.36,0.67
03034,ES-A,ES-VC,Benijófar,2021-03-15,42,169,0.75,5390.38,31277.07,0.83
03035,ES-A,ES-VC,Benilloba,2021-03-15,29,29,0.00,3807.29,3807.29,0.00
03036,ES-A,ES-VC,Benillup,2021-03-15,4,4,0.00,553.16,553.16,0.00
03037,ES-A,ES-VC,Benimantell,2021-03-15,17,19,0.11,1423.72,1529.28,0.07
03038,ES-A,ES-VC,Benimarfull,2021-03-15,10,33,0.70,493.60,3598.23,0.86
03039,ES-A,ES-VC,Benimassot,2021-03-15,11,13,0.15,612.25,901.59,0.32
03040,ES-A,ES-VC,Benimeli,2021-03-15,7,19,0.63,370.99,1432.25,0.74
03041,ES-A,ES-VC,Benissa,2021-03-15,288,550,0.48,70143.90,129753.55,0.46
03042,ES-A,ES-VC,el Poble Nou de Benitatxell / Benitachell,2021-03-15,220,296,0.26,52359.64,72058.13,0.27
03043,ES-A,ES-VC,Biar,2021-03-15,42,126,0.67,6607.37,16329.50,0.60
03044,ES-A,ES-VC,Bigastro,2021-03-15,40,215,0.81,3853.24,27880.31,0.86
03045,ES-A,ES-VC,Bolulla,2021-03-15,3,25,0.88,2457.93,4026.33,0.39
03046,ES-A,ES-VC,Busot,2021-03-15,43,153,0.72,6507.70,42113.58,0.85
03047,ES-A,ES-VC,Calp,2021-03-15,417,836,0.50,83358.26,173030.16,0.52
03048,ES-A,ES-VC,Callosa d'en Sarrià,2021-03-15,80,145,0.45,24275.85,30898.23,0.21
03049,ES-A,ES-VC,Callosa de Segura,2021-03-15,133,401,0.67,19089.68,58287.56,0.67
03050,ES-A,ES-VC,el Campello,2021-03-15,125,620,0.80,12620.82,119369.00,0.89
03051,ES-A,ES-VC,el Camp de Mirra / Campo de Mirra,2021-03-15,13,33,0.61,2072.86,5432.16,0.62
03052,ES-A,ES-VC,Cañada,2021-03-15,20,60,0.67,3048.88,10841.24,0.72
03053,ES-A,ES-VC,Castalla,2021-03-15,102,260,0.61,25386.24,58790.26,0.57
03054,ES-A,ES-VC,Castell de Castells,2021-03-15,3,23,0.87,138.33,2128.46,0.94
03055,ES-A,ES-VC,Catral,2021-03-15,94,224,0.58,15648.73,39919.76,0.61
03056,ES-A,ES-VC,Cocentaina,2021-03-15,105,289,0.64,9993.01,42665.90,0.77
03057,ES-A,ES-VC,Confrides,2021-03-15,11,22,0.50,983.49,2459.37,0.60
03058,ES-A,ES-VC,Cox,2021-03-15,176,331,0.47,28770.10,68625.91,0.58
03059,ES-A,ES-VC,Crevillent,2021-03-15,209,573,0.64,42538.45,105556.01,0.60
03060,ES-A,ES-VC,Quatretondeta,2021-03-15,11,27,0.59,595.86,1574.93,0.62
03061,ES-A,ES-VC,Daya Nueva,2021-03-15,23,94,0.76,1954.85,14324.56,0.86
03062,ES-A,ES-VC,Daya Vieja,2021-03-15,28,67,0.58,3812.13,8432.26,0.55
03063,ES-A,ES-VC,Dénia,2021-03-15,585,1296,0.55,77439.65,223905.60,0.65
03064,ES-A,ES-VC,Dolores,2021-03-15,90,202,0.55,20773.35,45086.87,0.54
03065,ES-A,ES-VC,Elx / Elche,2021-03-15,1114,3224,0.65,234071.68,658540.34,0.64
03066,ES-A,ES-VC,Elda,2021-03-15,191,734,0.74,18036.81,105744.12,0.83
03067,ES-A,ES-VC,Facheca,2021-03-15,0,7,1.00,0.00,777.55,1.00
03068,ES-A,ES-VC,Famorca,2021-03-15,1,7,0.86,69.68,501.81,0.86
03069,ES-A,ES-VC,Finestrat,2021-03-15,217,461,0.53,32600.28,80994.75,0.60
03070,ES-A,ES-VC,Formentera del Segura,2021-03-15,19,125,0.85,1324.36,16559.01,0.92
03071,ES-A,ES-VC,Gata de Gorgos,2021-03-15,61,107,0.43,8294.96,15277.15,0.46
03072,ES-A,ES-VC,Gaianes,2021-03-15,15,16,0.06,2116.21,2347.12,0.10
03073,ES-A,ES-VC,Gorga,2021-03-15,4,12,0.67,529.29,1552.40,0.66
03074,ES-A,ES-VC,Granja de Rocamora,2021-03-15,67,95,0.29,8734.44,13631.74,0.36
03075,ES-A,ES-VC,el Castell de Guadalest,2021-03-15,5,15,0.67,1425.76,2140.50,0.33
03076,ES-A,ES-VC,Guardamar del Segura,2021-03-15,155,700,0.78,19572.63,112673.73,0.83
03077,ES-A,ES-VC,el Fondó de les Neus / Hondón de las Nieves,2021-03-15,21,140,0.85,3108.72,23925.47,0.87
03078,ES-A,ES-VC,Hondón de los Frailes,2021-03-15,13,47,0.72,1935.67,7015.88,0.72
03079,ES-A,ES-VC,Ibi,2021-03-15,120,418,0.71,13761.94,63717.62,0.78
03080,ES-A,ES-VC,Jacarilla,2021-03-15,15,105,0.86,2231.17,14662.22,0.85
03081,ES-A,ES-VC,Xaló,2021-03-15,18,62,0.71,3222.38,8636.73,0.63
03082,ES-A,ES-VC,Xàbia / Jávea,2021-03-15,669,1449,0.54,112655.90,293874.57,0.62
03083,ES-A,ES-VC,Xixona / Jijona,2021-03-15,68,162,0.58,8353.99,20591.79,0.59
03084,ES-A,ES-VC,l'Orxa / Lorcha,2021-03-15,8,29,0.72,470.57,2908.29,0.84
03085,ES-A,ES-VC,Llíber,2021-03-15,9,21,0.57,734.73,4272.67,0.83
03086,ES-A,ES-VC,Millena,2021-03-15,3,7,0.57,289.57,832.04,0.65
03088,ES-A,ES-VC,Monforte del Cid,2021-03-15,87,332,0.74,15000.34,72396.50,0.79
03089,ES-A,ES-VC,Monòver / Monóvar,2021-03-15,166,394,0.58,32936.42,68412.91,0.52
03090,ES-A,ES-VC,Mutxamel,2021-03-15,160,553,0.71,20444.51,117589.03,0.83
03091,ES-A,ES-VC,Murla,2021-03-15,0,20,1.00,0.00,3244.22,1.00
03092,ES-A,ES-VC,Muro de Alcoy,2021-03-15,57,168,0.66,6427.26,23358.64,0.72
03093,ES-A,ES-VC,Novelda,2021-03-15,48,317,0.85,10930.59,68567.05,0.84
03094,ES-A,ES-VC,la Nucia,2021-03-15,328,536,0.39,66783.26,103938.85,0.36
03095,ES-A,ES-VC,Ondara,2021-03-15,35,155,0.77,2846.86,17415.30,0.84
03096,ES-A,ES-VC,Onil,2021-03-15,115,185,0.38,17723.04,29736.11,0.40
03097,ES-A,ES-VC,Orba,2021-03-15,32,123,0.74,2833.27,23896.73,0.88
03098,ES-A,ES-VC,Orxeta,2021-03-15,22,50,0.56,5437.84,9239.36,0.41
03099,ES-A,ES-VC,Orihuela,2021-03-15,1566,3393,0.54,227197.10,573616.09,0.60
03100,ES-A,ES-VC,Parcent,2021-03-15,8,37,0.78,2332.53,5674.09,0.59
03101,ES-A,ES-VC,Pedreguer,2021-03-15,80,229,0.65,18090.53,53747.48,0.66
03102,ES-A,ES-VC,Pego,2021-03-15,38,246,0.85,6764.65,49903.14,0.86
03103,ES-A,ES-VC,Penàguila,2021-03-15,5,18,0.72,692.15,2026.70,0.66
