id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
04001;ES-AL;ES-AN;Abla;2021-03-15;49;142;0.65;2101.37;10081.90;0.79
04002;ES-AL;ES-AN;Abrucena;2021-03-15;30;33;0.09;4511.97;4693.45;0.04
04003;ES-AL;ES-AN;Adra;2021-03-15;39;627;0.94;4654.84;81444.62;0.94
04004;ES-AL;ES-AN;Albánchez;2021-03-15;18;61;0.70;4138.45;7873.95;0.47
04005;ES-AL;ES-AN;Alboloduy;2021-03-15;7;68;0.90;346.76;5632.12;0.94
04006;ES-AL;ES-AN;Albox;2021-03-15;96;269;0.64;15634.89;40966.70;0.62
04007;ES-AL;ES-AN;Alcolea;2021-03-15;17;70;0.76;741.10;5560.60;0.87
04008;ES-AL;ES-AN;Alcóntar;2021-03-15;12;42;0.71;2212.70;6658.23;0.67
04009;ES-AL;ES-AN;Alcudia de Monteagud;2021-03-15;2;16;0.88;70.35;1435.05;0.95
04010;ES-AL;ES-AN;Alhabia;2021-03-15;3;42;0.93;90.80;3702.74;0.98
04011;ES-AL;ES-AN;Alhama de Almería;2021-03-15;12;111;0.89;1747.82;15136.59;0.88
04012;ES-AL;ES-AN;Alicún;2021-03-15;1;21;0.95;68.72;1631.34;0.96
04013;ES-AL;ES-AN;Almería;2021-03-15;469;3046;0.85;36939.35;395169.35;0.91
04014;ES-AL;ES-AN;Almócita;2021-03-15;2;23;0.91;167.80;2652.76;0.94
04015;ES-AL;ES-AN;Alsodux;2021-03-15;0;12;1.00;0.00;993.33;1.00
04016;ES-AL;ES-AN;Antas;2021-03-15;58;173;0.66;9439.08;23688.38;0.60
04017;ES-AL;ES-AN;Arboleas;2021-03-15;302;367;0.18;42840.73;52705.63;0.19
04018;ES-AL;ES-AN;Armuña de Almanzora;2021-03-15;5;32;0.84;1073.09;3952.50;0.73
04019;ES-AL;ES-AN;Bacares;2021-03-15;10;43;0.77;750.24;3432.67;0.78
04020;ES-AL;ES-AN;Bayárcal;2021-03-15;22;51;0.57;962.90;2782.27;0.65
04021;ES-AL;ES-AN;Bayarque;2021-03-15;1;35;0.97;65.46;3134.13;0.98
04022;ES-AL;ES-AN;Bédar;2021-03-15;46;92;0.50;10888.84;15078.45;0.28
04023;ES-AL;ES-AN;Beires;2021-03-15;1;20;0.95;25.01;1666.05;0.98
04024;ES-AL;ES-AN;Benahadux;2021-03-15;25;144;0.83;1677.90;16879.96;0.90
04026;ES-AL;ES-AN;Benitagla;2021-03-15;0;28;1.00;0.00;1646.50;1.00
04027;ES-AL;ES-AN;Benizalón;2021-03-15;3;41;0.93;151.48;2474.74;0.94
04028;ES-AL;ES-AN;Bentarique;2021-03-15;3;31;0.90;236.48;1982.60;0.88
04029;ES-AL;ES-AN;Berja;2021-03-15;88;204;0.57;9748.52;27186.10;0.64
04030;ES-AL;ES-AN;Canjáyar;2021-03-15;37;39;0.05;4539.47;4730.85;0.04
04031;ES-AL;ES-AN;Cantoria;2021-03-15;104;132;0.21;26208.60;31547.07;0.17
04032;ES-AL;ES-AN;Carboneras;2021-03-15;137;318;0.57;14793.06;44902.07;0.67
04033;ES-AL;ES-AN;Castro de Filabres;2021-03-15;18;53;0.66;1551.18;3832.78;0.60
04034;ES-AL;ES-AN;Cóbdar;2021-03-15;0;21;1.00;0.00;2214.52;1.00
04035;ES-AL;ES-AN;Cuevas del Almanzora;2021-03-15;270;628;0.57;26605.56;76128.62;0.65
04036;ES-AL;ES-AN;Chercos;2021-03-15;0;14;1.00;0.00;2010.68;1.00
04037;ES-AL;ES-AN;Chirivel;2021-03-15;77;110;0.30;12732.17;18491.99;0.31
04038;ES-AL;ES-AN;Dalías;2021-03-15;63;93;0.32;5654.91;9933.97;0.43
04041;ES-AL;ES-AN;Enix;2021-03-15;27;51;0.47;3403.19;5509.52;0.38
04043;ES-AL;ES-AN;Felix;2021-03-15;68;68;0.00;4613.68;4613.68;0.00
04044;ES-AL;ES-AN;Fines;2021-03-15;13;106;0.88;1221.26;22658.18;0.95
04045;ES-AL;ES-AN;Fiñana;2021-03-15;94;103;0.09;13209.67;14381.15;0.08
04046;ES-AL;ES-AN;Fondón;2021-03-15;44;52;0.15;8242.51;9074.88;0.09
04047;ES-AL;ES-AN;Gádor;2021-03-15;62;62;0.00;9715.07;9715.07;0.00
04048;ES-AL;ES-AN;Los Gallardos;2021-03-15;19;93;0.80;1132.78;15243.73;0.93
04049;ES-AL;ES-AN;Garrucha;2021-03-15;20;178;0.89;1261.90;27585.47;0.95
04050;ES-AL;ES-AN;Gérgal;2021-03-15;73;77;0.05;16258.00;19502.04;0.17
04051;ES-AL;ES-AN;Huécija;2021-03-15;0;35;1.00;0.00;3742.89;1.00
04052;ES-AL;ES-AN;Huércal de Almería;2021-03-15;50;504;0.90;3484.28;70157.67;0.95
04053;ES-AL;ES-AN;Huércal-Overa;2021-03-15;381;718;0.47;39534.13;90987.80;0.57
04054;ES-AL;ES-AN;Íllar;2021-03-15;6;41;0.85;163.58;3354.15;0.95
04055;ES-AL;ES-AN;Instinción;2021-03-15;2;58;0.97;646.73;5564.68;0.88
04056;ES-AL;ES-AN;Laroya;2021-03-15;1;18;0.94;12.31;1679.80;0.99
04057;ES-AL;ES-AN;Láujar de Andarax;2021-03-15;5;36;0.86;1315.64;6440.37;0.80
04058;ES-AL;ES-AN;Líjar;2021-03-15;5;33;0.85;269.05;2624.56;0.90
04059;ES-AL;ES-AN;Lubrín;2021-03-15;38;107;0.64;3280.70;8502.02;0.61
04060;ES-AL;ES-AN;Lucainena de las Torres;2021-03-15;22;69;0.68;1958.18;5945.06;0.67
04061;ES-AL;ES-AN;Lúcar;2021-03-15;14;16;0.13;3018.70;3542.47;0.15
04062;ES-AL;ES-AN;Macael;2021-03-15;55;160;0.66;5470.50;17722.33;0.69
04063;ES-AL;ES-AN;María;2021-03-15;82;108;0.24;10909.60;15078.39;0.28
04064;ES-AL;ES-AN;Mojácar;2021-03-15;169;393;0.57;16993.39;68547.48;0.75
04065;ES-AL;ES-AN;Nacimiento;2021-03-15;26;26;0.00;3033.05;3033.05;0.00
04066;ES-AL;ES-AN;Níjar;2021-03-15;309;1295;0.76;31746.13;180992.38;0.82
04067;ES-AL;ES-AN;Ohanes;2021-03-15;2;89;0.98;64.22;7609.17;0.99
04068;ES-AL;ES-AN;Olula de Castro;2021-03-15;6;48;0.88;345.64;3950.11;0.91
04069;ES-AL;ES-AN;Olula del Río;2021-03-15;70;256;0.73;4327.08;25521.36;0.83
04070;ES-AL;ES-AN;Oria;2021-03-15;43;52;0.17;7606.79;8916.01;0.15
04071;ES-AL;ES-AN;Padules;2021-03-15;1;45;0.98;43.60;5272.97;0.99
04072;ES-AL;ES-AN;Partaloa;2021-03-15;14;30;0.53;4024.92;5664.74;0.29
04073;ES-AL;ES-AN;Paterna del Río;2021-03-15;38;38;0.00;3861.77;3861.77;0.00
04074;ES-AL;ES-AN;Pechina;2021-03-15;10;111;0.91;1784.87;13855.72;0.87
04075;ES-AL;ES-AN;Pulpí;2021-03-15;370;732;0.49;40123.49;107604.64;0.63
04076;ES-AL;ES-AN;Purchena;2021-03-15;71;91;0.22;7675.66;10604.48;0.28
04077;ES-AL;ES-AN;Rágol;2021-03-15;1;33;0.97;30.96;2713.54;0.99
04078;ES-AL;ES-AN;Rioja;2021-03-15;2;59;0.97;86.83;6952.67;0.99
04079;ES-AL;ES-AN;Roquetas de Mar;2021-03-15;327;1881;0.83;29225.80;283509.34;0.90
04080;ES-AL;ES-AN;Santa Cruz de Marchena;2021-03-15;5;32;0.84;164.65;2240.66;0.93
04081;ES-AL;ES-AN;Santa Fe de Mondújar;2021-03-15;2;16;0.88;46.01;1612.02;0.97
04082;ES-AL;ES-AN;Senés;2021-03-15;18;51;0.65;1407.93;4907.76;0.71
