id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
05001,ES-AV,ES-CL,Adanero,2021-03-15,22,67,0.67,1681.70,7214.26,0.77
05002,ES-AV,ES-CL,La Adrada,2021-03-15,130,188,0.31,27706.10,37798.06,0.27
05005,ES-AV,ES-CL,Albornos,2021-03-15,3,21,0.86,224.92,2787.58,0.92
05007,ES-AV,ES-CL,Aldeanueva de Santa Cruz,2021-03-15,6,25,0.76,780.90,2219.45,0.65
05008,ES-AV,ES-CL,Aldeaseca,2021-03-15,14,14,0.00,2794.33,2794.33,0.00
05010,ES-AV,ES-CL,La Aldehuela,2021-03-15,4,4,0.00,777.02,777.02,0.00
05012,ES-AV,ES-CL,Amavida,2021-03-15,11,14,0.21,1478.12,1789.47,0.17
05013,ES-AV,ES-CL,El Arenal,2021-03-15,40,46,0.13,5171.36,6155.35,0.16
05014,ES-AV,ES-CL,Arenas de San Pedro,2021-03-15,172,255,0.33,30418.46,41381.65,0.26
05015,ES-AV,ES-CL,Arevalillo,2021-03-15,28,28,0.00,2636.58,2636.58,0.00
05016,ES-AV,ES-CL,Arévalo,2021-03-15,40,290,0.86,4763.97,41767.88,0.89
05017,ES-AV,ES-CL,Aveinte,2021-03-15,20,26,0.23,1603.01,3250.53,0.51
05018,ES-AV,ES-CL,Avellaneda,2021-03-15,10,10,0.00,1020.61,1020.61,0.00
05019,ES-AV,ES-CL,Ávila,2021-03-15,365,1538,0.76,42494.78,226923.19,0.81
05021,ES-AV,ES-CL,El Barco de Ávila,2021-03-15,106,132,0.20,14639.61,18589.13,0.21
05022,ES-AV,ES-CL,El Barraco,2021-03-15,193,353,0.45,12517.92,34446.23,0.64
05023,ES-AV,ES-CL,Barromán,2021-03-15,22,22,0.00,3012.87,3012.87,0.00
05024,ES-AV,ES-CL,Becedas,2021-03-15,32,51,0.37,3264.70,5002.33,0.35
05025,ES-AV,ES-CL,Becedillas,2021-03-15,19,26,0.27,1843.99,2946.45,0.37
05026,ES-AV,ES-CL,Bercial de Zapardiel,2021-03-15,15,15,0.00,2673.75,2673.75,0.00
05027,ES-AV,ES-CL,Las Berlanas,2021-03-15,37,37,0.00,6914.05,6914.05,0.00
05029,ES-AV,ES-CL,Bernuy-Zapardiel,2021-03-15,23,23,0.00,3187.15,3187.15,0.00
05030,ES-AV,ES-CL,Berrocalejo de Aragona,2021-03-15,9,25,0.64,660.62,2311.64,0.71
05033,ES-AV,ES-CL,Blascomillán,2021-03-15,21,21,0.00,3822.58,3822.58,0.00
05034,ES-AV,ES-CL,Blasconuño de Matacabras,2021-03-15,8,8,0.00,857.59,857.59,0.00
05035,ES-AV,ES-CL,Blascosancho,2021-03-15,24,58,0.59,1575.62,4697.31,0.66
05036,ES-AV,ES-CL,El Bohodón,2021-03-15,11,39,0.72,1012.75,4118.30,0.75
05037,ES-AV,ES-CL,Bohoyo,2021-03-15,29,30,0.03,3828.16,3922.72,0.02
05038,ES-AV,ES-CL,Bonilla de la Sierra,2021-03-15,31,39,0.21,4332.53,5655.13,0.23
05039,ES-AV,ES-CL,Brabos,2021-03-15,29,29,0.00,2698.73,2698.73,0.00
05040,ES-AV,ES-CL,Bularros,2021-03-15,20,20,0.00,2719.01,2719.01,0.00
05041,ES-AV,ES-CL,Burgohondo,2021-03-15,70,90,0.22,9694.51,13217.45,0.27
05042,ES-AV,ES-CL,Cabezas de Alambre,2021-03-15,2,24,0.92,185.14,2946.23,0.94
05043,ES-AV,ES-CL,Cabezas del Pozo,2021-03-15,8,19,0.58,744.41,2423.41,0.69
05044,ES-AV,ES-CL,Cabezas del Villar,2021-03-15,45,45,0.00,7692.57,7692.57,0.00
05045,ES-AV,ES-CL,Cabizuela,2021-03-15,5,21,0.76,574.92,2202.21,0.74
05046,ES-AV,ES-CL,Canales,2021-03-15,13,13,0.00,1592.65,1592.65,0.00
05047,ES-AV,ES-CL,Candeleda,2021-03-15,93,182,0.49,11280.88,26229.96,0.57
05048,ES-AV,ES-CL,Cantiveros,2021-03-15,24,24,0.00,2755.63,2755.63,0.00
05049,ES-AV,ES-CL,Cardeñosa,2021-03-15,9,33,0.73,1132.64,4410.38,0.74
05051,ES-AV,ES-CL,La Carrera,2021-03-15,36,37,0.03,3927.93,4011.12,0.02
05052,ES-AV,ES-CL,Casas del Puerto,2021-03-15,14,14,0.00,1921.16,1921.16,0.00
05053,ES-AV,ES-CL,Casasola,2021-03-15,40,40,0.00,3351.46,3351.46,0.00
05054,ES-AV,ES-CL,Casavieja,2021-03-15,20,108,0.81,1342.45,13892.91,0.90
05055,ES-AV,ES-CL,Casillas,2021-03-15,23,50,0.54,1619.10,6611.51,0.76
05056,ES-AV,ES-CL,Castellanos de Zapardiel,2021-03-15,20,21,0.05,2940.01,3100.50,0.05
05057,ES-AV,ES-CL,Cebreros,2021-03-15,65,226,0.71,10382.07,29834.91,0.65
05058,ES-AV,ES-CL,Cepeda la Mora,2021-03-15,23,23,0.00,3257.59,3257.59,0.00
05059,ES-AV,ES-CL,Cillán,2021-03-15,18,18,0.00,2562.68,2562.68,0.00
05060,ES-AV,ES-CL,Cisla,2021-03-15,29,29,0.00,3039.14,3039.14,0.00
05061,ES-AV,ES-CL,La Colilla,2021-03-15,15,15,0.00,2063.54,2063.54,0.00
05062,ES-AV,ES-CL,Collado de Contreras,2021-03-15,6,23,0.74,753.05,4276.90,0.82
05063,ES-AV,ES-CL,Collado del Mirón,2021-03-15,17,17,0.00,1132.15,1132.15,0.00
05064,ES-AV,ES-CL,Constanzana,2021-03-15,19,19,0.00,2267.95,2267.95,0.00
05065,ES-AV,ES-CL,Crespos,2021-03-15,3,74,0.96,140.07,9816.61,0.99
05066,ES-AV,ES-CL,Cuevas del Valle,2021-03-15,14,47,0.70,988.83,5401.92,0.82
05067,ES-AV,ES-CL,Chamartín,2021-03-15,19,19,0.00,2279.30,2279.30,0.00
05069,ES-AV,ES-CL,Donjimeno,2021-03-15,3,15,0.80,263.57,2152.19,0.88
05070,ES-AV,ES-CL,Donvidas,2021-03-15,8,8,0.00,1023.24,1023.24,0.00
05072,ES-AV,ES-CL,Espinosa de los Caballeros,2021-03-15,19,19,0.00,2432.07,2432.07,0.00
05073,ES-AV,ES-CL,Flores de Ávila,2021-03-15,54,54,0.00,6021.88,6021.88,0.00
05074,ES-AV,ES-CL,Fontiveros,2021-03-15,27,66,0.59,2203.56,9562.11,0.77
05075,ES-AV,ES-CL,Fresnedilla,2021-03-15,14,14,0.00,2129.51,2129.51,0.00
05076,ES-AV,ES-CL,El Fresno,2021-03-15,15,15,0.00,2184.42,2184.42,0.00
05077,ES-AV,ES-CL,Fuente el Saúz,2021-03-15,16,16,0.00,3147.87,3147.87,0.00
05078,ES-AV,ES-CL,Fuentes de Año,2021-03-15,15,15,0.00,2583.38,2583.38,0.00
05079,ES-AV,ES-CL,Gallegos de Altamiros,2021-03-15,42,42,0.00,4453.84,4453.84,0.00
05080,ES-AV,ES-CL,Gallegos de Sobrinos,2021-03-15,22,22,0.00,4093.96,4093.96,0.00
05081,ES-AV,ES-CL,Garganta del Villar,2021-03-15,20,20,0.00,2645.78,2645.78,0.00
05082,ES-AV,ES-CL,Gavilanes,2021-03-15,59,61,0.03,5939.96,6261.36,0.05
05083,ES-AV,ES-CL,Gemuño,2021-03-15,28,28,0.00,4225.11,4225.11,0.00
05084,ES-AV,ES-CL,Gilbuena,2021-03-15,18,19,0.05,2036.30,2163.24,0.06
05085,ES-AV,ES-CL,Gil García,2021-03-15,16,16,0.00,1990.74,1990.74,0.00
05086,ES-AV,ES-CL,Gimialcón,2021-03-15,19,19,0.00,2140.48,2140.48,0.00
05087,ES-AV,ES-CL,Gotarrendura,2021-03-15,5,35,0.86,378.20,3363.27,0.89
05088,ES-AV,ES-CL,Grandes y San Martín,2021-03-15,18,18,0.00,2889.04,2889.04,0.00
05089,ES-AV,ES-CL,Guisando,2021-03-15,15,47,0.68,1925.23,4377.13,0.56
05090,ES-AV,ES-CL,Gutierre-Muñoz,2021-03-15,13,13,0.00,1484.96,1484.96,0.00
05092,ES-AV,ES-CL,Hernansancho,2021-03-15,18,18,0.00,2809.08,2809.08,0.00
05093,ES-AV,ES-CL,Herradón de Pinares,2021-03-15,102,194,0.47,11218.25,26495.37,0.58
05094,ES-AV,ES-CL,Herreros de Suso,2021-03-15,3,46,0.93,120.81,5808.31,0.98
05095,ES-AV,ES-CL,Higuera de las Dueñas,2021-03-15,23,23,0.00,4847.23,4847.23,0.00
05096,ES-AV,ES-CL,La Hija de Dios,2021-03-15,36,36,0.00,2997.39,2997.39,0.00
05097,ES-AV,ES-CL,La Horcajada,2021-03-15,75,76,0.01,10179.45,10261.59,0.01
05099,ES-AV,ES-CL,Horcajo de las Torres,2021-03-15,38,67,0.43,2318.08,7015.49,0.67
05100,ES-AV,ES-CL,El Hornillo,2021-03-15,9,9,0.00,1973.75,1973.75,0.00
05101,ES-AV,ES-CL,Hoyocasero,2021-03-15,33,43,0.23,3913.26,6656.27,0.41
05102,ES-AV,ES-CL,El Hoyo de Pinares,2021-03-15,21,271,0.92,754.53,24641.49,0.97
05103,ES-AV,ES-CL,Hoyorredondo,2021-03-15,17,17,0.00,2452.33,2452.33,0.00
05104,ES-AV,ES-CL,Hoyos del Collado,2021-03-15,4,4,0.00,1063.60,1063.60,0.00
05105,ES-AV,ES-CL,Hoyos del Espino,2021-03-15,22,56,0.61,6209.36,10862.69,0.43
05106,ES-AV,ES-CL,Hoyos de Miguel Muñoz,2021-03-15,4,4,0.00,330.32,330.32,0.00
05107,ES-AV,ES-CL,Hurtumpascual,2021-03-15,16,17,0.06,1969.43,2176.99,0.10
05108,ES-AV,ES-CL,Junciana,2021-03-15,21,21,0.00,1792.53,1792.53,0.00
05109,ES-AV,ES-CL,Langa,2021-03-15,16,16,0.00,4189.48,4189.48,0.00
05110,ES-AV,ES-CL,Lanzahíta,2021-03-15,57,66,0.14,9817.69,11908.24,0.18
