id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
12001,ES-CS,ES-VC,Atzeneta del Maestrat,2021-03-15,4,82,0.95,244.97,8667.46,0.97
12002,ES-CS,ES-VC,Aín,2021-03-15,1,38,0.97,15.72,2109.67,0.99
12003,ES-CS,ES-VC,Albocàsser,2021-03-15,11,52,0.79,2836.45,7566.66,0.63
12004,ES-CS,ES-VC,Alcalà de Xivert,2021-03-15,69,344,0.80,11115.19,63078.91,0.82
12005,ES-CS,ES-VC,l'Alcora,2021-03-15,53,417,0.87,6530.87,44101.08,0.85
12006,ES-CS,ES-VC,Alcudia de Veo,2021-03-15,6,77,0.92,184.69,3677.35,0.95
12007,ES-CS,ES-VC,Alfondeguilla,2021-03-15,0,42,1.00,0.00,3503.64,1.00
12008,ES-CS,ES-VC,Algimia de Almonacid,2021-03-15,3,67,0.96,130.54,3711.07,0.96
12009,ES-CS,ES-VC,Almassora,2021-03-15,114,576,0.80,11681.98,92423.71,0.87
12010,ES-CS,ES-VC,Almedíjar,2021-03-15,10,27,0.63,1562.02,3475.16,0.55
12011,ES-CS,ES-VC,Almenara,2021-03-15,56,256,0.78,5510.22,43303.44,0.87
12012,ES-CS,ES-VC,Altura,2021-03-15,2,190,0.99,239.81,18759.10,0.99
12013,ES-CS,ES-VC,Arañuel,2021-03-15,2,9,0.78,187.72,701.30,0.73
12014,ES-CS,ES-VC,Ares del Maestrat,2021-03-15,20,42,0.52,631.15,4078.23,0.85
12015,ES-CS,ES-VC,Argelita,2021-03-15,6,27,0.78,300.25,1839.11,0.84
12016,ES-CS,ES-VC,Artana,2021-03-15,6,125,0.95,721.70,12383.22,0.94
12017,ES-CS,ES-VC,Ayódar,2021-03-15,10,43,0.77,577.68,3956.20,0.85
12018,ES-CS,ES-VC,Azuébar,2021-03-15,0,63,1.00,0.00,4257.87,1.00
12020,ES-CS,ES-VC,Barracas,2021-03-15,2,17,0.88,148.26,2392.98,0.94
12021,ES-CS,ES-VC,Betxí,2021-03-15,31,139,0.78,12747.02,32846.39,0.61
12022,ES-CS,ES-VC,Bejís,2021-03-15,5,43,0.88,190.40,3973.33,0.95
12024,ES-CS,ES-VC,Benafer,2021-03-15,9,33,0.73,3226.97,4901.73,0.34
